model	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	distance	diff_param	diff_hybrid	time
2x2_2C_8b_C2v_L	0	14	2.0097	0.0050108344	-3.3031006	-4.1182941	-0.11787286	-4.1182957	-0.11787084	0.15795643	-3.8356298	9.4	-1.2383504e-05	2.7473734e-06	0.0097340862	-0.17969928	0.0097336427	-0.17969919	-3.8981432e-07	-6.6076909e-06	-0.11706032	-1.1154881	1.7688571	0.040934938	-1.7688581	-0.040930395	0.24321412	-2.3463889	2.1394	1	0.2577	0.12776866	0.27799921	1.9383039	1.7990061	1.5304245	1.7990068	1.5304162	0.020649215	1.5560578	1.0946905	0.0001185211	-1.1112479e-05	0.11250442	1.2400867	0.11250358	1.2401019	1.0319967e-05	1.3355949e-05	1.2218938	0.74144435	-1.5830633	-0.58785923	1.5830607	0.58783491	-0.30582342	2.5503888	0.027823583	0.24637895	0.059908114	0.18296481	0.38362333	0.1829642	0.38362985	0.020865809	0.34403829	0.036975176	4.2148068	5.3643648	5.1176914	5.0147764	5.1176878	5.0147667	4.4008341	6.1345255	5.2507519	2.7420348	3.3635337	5.2772279	3.3635303	5.2772535	3.6626338	3.1802207	-74.670739	R0:S0:1	-59.1224	uncorrelated	b7fd39a	v1.0.3	 1.83e+02	 3.72e-03	 1.00e+06	2022-07-21@11:38
2x2_2C_8b_C2v_L	0	14	2.0097	0.0050121032	-3.2852067	-4.1177983	-0.11874924	-4.1172585	-0.11866122	0.15868698	-3.8348231	9.4	0.00036366276	1.277245e-05	0.009724346	-0.18013825	0.0097146011	-0.18010273	4.5061388e-06	-6.2980291e-08	-0.1169896	-1.1128261	1.768736	0.040597885	-1.7686048	-0.040581263	0.2436254	-2.3459635	2.1394	1	0.2577	0.12779498	0.2752197	1.9383601	1.7991234	1.5366831	1.7991212	1.5365187	0.020556844	1.5568056	1.0948096	-0.0034563967	1.651431e-05	0.11235997	1.2352568	0.11233293	1.2355065	-5.1143702e-05	-1.2105202e-05	1.2187437	0.74020243	-1.5828693	-0.58369281	1.582801	0.5835997	-0.30574934	2.5487295	0.027828714	0.24477019	0.059865321	0.18291786	0.38065323	0.18291829	0.38074759	0.020775161	0.34369188	0.036952795	4.1972983	5.3683382	5.1209448	5.007571	5.1209717	5.0076444	4.4014012	6.1312675	5.2485279	2.7409606	3.3679577	5.2630646	3.367773	5.2633964	3.6627163	3.1824225	-74.631617	R0:S0:1	-59.1224	uncorrelated	b7fd39a	v1.0.3	 1.83e+02	 3.83e-04	 1.34e-03	2022-07-21@12:18
2x2_2C_8b_C2v_L	0	14	2.0097	0.0046203605	-3.2837901	-4.1172167	-0.11872995	-4.116666	-0.11867653	0.15883121	-3.8348164	9.41	0.00027124864	4.0854101e-06	0.0098111481	-0.17989531	0.0098314174	-0.1798571	-1.8111934e-05	9.2340599e-06	-0.11697072	-1.1126782	1.7687111	0.04101372	-1.7685775	-0.041058467	0.24339807	-2.3460942	2.1394	1	0.2577	0.12804237	0.27297143	1.9384694	1.7992784	1.5399651	1.7992564	1.5399515	0.020378794	1.557307	1.0952411	-0.0025855755	2.2656597e-05	0.11222874	1.2313905	0.11218944	1.2311355	8.1277892e-05	-1.1675174e-05	1.216429	0.73936601	-1.5823502	-0.58394826	1.5824177	0.5842184	-0.30495223	2.5477671	0.027874668	0.24319771	0.059768963	0.18281992	0.37877709	0.18283817	0.37879437	0.020592857	0.34350577	0.036948726	4.1840433	5.3718947	5.1234857	5.0065404	5.1235675	5.0067682	4.4002214	6.1297857	5.247932	2.7392242	3.3688942	5.2533438	3.3689464	5.2530868	3.6636996	3.1829077	-74.670592	R0:S0:1	-59.2024	uncorrelated	b7fd39a	v1.0.3	 1.82e+02	 2.69e-03	 1.00e+06	2022-07-21@14:35
2x2_2C_8b_C2v_L	0	14	2.0097	0.004100111	-3.287322	-4.1250725	-0.11803357	-4.1236477	-0.11788314	0.15790715	-3.8415204	9.41	4.1345558e-05	2.2112198e-05	0.0099486387	-0.17916217	0.0099355158	-0.1790791	-5.0201119e-06	4.231658e-06	-0.1167567	-1.1126084	1.7691378	0.041769383	-1.7688265	-0.041773201	0.24240273	-2.3460256	2.1394	1	0.2577	0.12794637	0.27085672	1.9387548	1.8003863	1.5426751	1.80034	1.5426189	0.02021959	1.5594462	1.0954012	-0.00039790804	-3.5699812e-05	0.11143323	1.2261406	0.1114345	1.2257795	4.9710828e-05	1.8513609e-05	1.2120935	0.73813685	-1.5784778	-0.5850879	1.578597	0.58520193	-0.30412922	2.5423244	0.027857095	0.24161531	0.059505649	0.18193474	0.3769196	0.18197334	0.37700347	0.020425655	0.34247637	0.036855909	4.1736489	5.372278	5.1217287	5.0083586	5.1219272	5.0085803	4.3993472	6.120807	5.2482339	2.7402559	3.3710511	5.2449563	3.3711251	5.2445704	3.664198	3.1895294	-74.711709	R0:S0:1	-59.2024	uncorrelated	b7fd39a	v1.0.3	 1.81e+02	 4.16e-04	 4.00e-03	2022-07-21@14:57
2x2_2C_8b_C2v_L	0	14	2.0097	0.0031042601	-3.2919063	-4.1321508	-0.1158349	-4.1310798	-0.11589876	0.15615138	-3.8482811	9.42	0.00088035027	5.4192927e-05	0.010281528	-0.17721858	0.010236036	-0.17721014	-2.1108523e-05	7.3127657e-06	-0.11634041	-1.1130291	1.76976	0.043940824	-1.7695586	-0.043949069	0.24042704	-2.346734	2.1394	1	0.2577	0.12808904	0.2704333	1.9388674	1.8011483	1.5388131	1.801125	1.5388965	0.020014775	1.5604322	1.0957815	-0.0086115315	-9.209827e-05	0.11101679	1.2238654	0.11112215	1.2238316	3.1392457e-05	-4.1917744e-05	1.2100871	0.73809238	-1.5757121	-0.59611208	1.5757011	0.59620949	-0.30240786	2.5399747	0.027883367	0.24064831	0.059393196	0.18128078	0.37783602	0.18130031	0.37775716	0.020205739	0.34203126	0.036814829	4.1743863	5.3710574	5.1178087	5.0218117	5.1179823	5.0218957	4.397099	6.1172065	5.2514703	2.739791	3.3673051	5.2487157	3.3672005	5.2484176	3.6649487	3.1914574	-74.795931	R0:S0:1	-59.2824	uncorrelated	b7fd39a	v1.0.3	 1.81e+02	 1.54e-03	 1.00e+06	2022-07-21@16:41
2x2_2C_8b_C2v_L	0	14	2.0097	0.0036951635	-3.2991825	-4.1329381	-0.11604162	-4.1319294	-0.115768	0.15604585	-3.8487095	9.42	0.00067294406	2.9190283e-05	0.010162296	-0.17772361	0.010135208	-0.17762222	3.613321e-05	-8.3500768e-07	-0.11647356	-1.1139806	1.769712	0.043448869	-1.7694874	-0.043303501	0.24090391	-2.3465588	2.1394	1	0.2577	0.12807507	0.26970718	1.9389796	1.801306	1.5392904	1.8012964	1.5388278	0.020055194	1.5608596	1.0958092	-0.0065104558	9.87849e-06	0.11078474	1.223872	0.11073442	1.2244985	-0.00020639352	-6.6449622e-07	1.2089239	0.73772844	-1.5752138	-0.59314778	1.57512	0.59250415	-0.30296008	2.5387989	0.027880904	0.24005571	0.059291295	0.18116242	0.37798738	0.18116709	0.37831889	0.0202472	0.34183128	0.036800873	4.1711307	5.3714762	5.1181151	5.0191553	5.1181424	5.0191136	4.3969131	6.1154547	5.2518486	2.740182	3.3683185	5.2471485	3.3679625	5.2481329	3.665366	3.1927788	-74.814459	R0:S0:1	-59.2824	uncorrelated	b7fd39a	v1.0.3	 1.81e+02	 1.75e-04	 1.76e-03	2022-07-21@17:13
2x2_2C_8b_C2v_L	0	14	2.0097	0.0042066669	-3.3173048	-4.1406115	-0.11506195	-4.1398291	-0.11505946	0.1551652	-3.8558874	9.43	0.0016144965	-7.5028984e-05	0.0099898864	-0.1771324	0.010154929	-0.17706362	-0.00013374808	-1.689674e-06	-0.11628062	-1.1161681	1.7700621	0.043154967	-1.7697827	-0.043647986	0.24023289	-2.3465784	2.1394	1	0.2577	0.12822812	0.26158036	1.9397277	1.8028149	1.5480393	1.8027426	1.5482858	0.019649926	1.5645093	1.0965228	-0.015297046	0.00031203705	0.10946191	1.2130392	0.10915176	1.2112859	0.00060584839	-4.8741317e-05	1.1971135	0.73401306	-1.5700273	-0.58569656	1.5703922	0.58815333	-0.30154135	2.5297874	0.027909964	0.23404194	0.058611433	0.18000696	0.37387465	0.18006883	0.37366501	0.019831065	0.34012035	0.036669934	4.128665	5.3788255	5.1210448	5.0119656	5.1212408	5.0134088	4.3945209	6.1008751	5.2515915	2.7392969	3.3745755	5.221674	3.3751002	5.2198396	3.6675521	3.2028237	-74.930904	R0:S0:1	-59.3624	uncorrelated	b7fd39a	v1.0.3	 1.79e+02	 2.56e-03	 1.00e+06	2022-07-21@17:22
2x2_2C_8b_C2v_L	0	14	2.0097	0.0027051381	-3.3054003	-4.139723	-0.11525355	-4.1406317	-0.11524492	0.15558958	-3.8567992	9.43	0.0020433351	7.0031308e-05	0.010398366	-0.17620526	0.010352488	-0.17624286	0.00011686762	-9.9085654e-06	-0.11606296	-1.1146387	1.7703202	0.044981409	-1.7705519	-0.04471865	0.23929148	-2.3475413	2.1394	1	0.2577	0.12826398	0.26352447	1.9395061	1.8024345	1.5482772	1.8025096	1.5478044	0.019559537	1.5636436	1.0964615	-0.020017676	-4.4630576e-05	0.11003534	1.2104245	0.11007283	1.2123077	-0.00080401416	-0.00010414524	1.2002116	0.73478433	-1.5714706	-0.59560755	1.5710172	0.59428756	-0.30037314	2.532315	0.027916267	0.23577082	0.058812384	0.18030631	0.37257417	0.18023841	0.3728104	0.019738696	0.34053189	0.036703152	4.136817	5.3778859	5.1207293	5.0189531	5.120471	5.0183605	4.395054	6.1043974	5.2503115	2.7384895	3.3733904	5.2210717	3.3725356	5.2232264	3.6665104	3.1999762	-74.911972	R0:S0:1	-59.3624	uncorrelated	b7fd39a	v1.0.3	 1.79e+02	 5.06e-04	 4.06e-03	2022-07-21@17:31
2x2_2C_8b_C2v_L	0	14	2.0097	0.00078893799	-3.307499	-4.1462183	-0.11303193	-4.1488431	-0.11269751	0.15312645	-3.862309	9.44	-0.00026302542	1.8216282e-05	0.010964232	-0.17421519	0.010927212	-0.1742335	-3.0238072e-05	3.56547e-05	-0.1159488	-1.1145784	1.7706717	0.048128051	-1.7712204	-0.048046487	0.2370859	-2.3477638	2.1394	1	0.2577	0.1283595	0.26908207	1.9391815	1.8029596	1.5363414	1.8030191	1.5356896	0.019584559	1.563158	1.0965987	0.0026901886	7.323621e-06	0.11004642	1.2157898	0.10986254	1.2167556	0.00031059644	7.903888e-05	1.2062575	0.73762887	-1.5690518	-0.61488415	1.5689826	0.6142104	-0.2993307	2.5333059	0.027933299	0.23880406	0.05909208	0.17977722	0.37670376	0.17972352	0.37714482	0.019750855	0.34078093	0.03671034	4.1711748	5.3697397	5.1123255	5.0437721	5.1118265	5.0434657	4.392559	6.1068783	5.2549358	2.7396579	3.3627825	5.2452138	3.3626311	5.2471951	3.6670339	3.1976019	-74.988472	R0:S0:1	-59.4424	uncorrelated	b7fd39a	v1.0.3	 1.79e+02	 2.78e-03	 1.00e+06	2022-07-21@17:38
2x2_2C_8b_C2v_L	0	14	2.0097	0.0030940819	-3.3192953	-4.1478979	-0.11280282	-4.1459303	-0.11282948	0.15278409	-3.8614416	9.44	0.00027983216	-2.8942768e-05	0.010327757	-0.17559864	0.010355268	-0.17548969	-0.00011111118	2.7959334e-05	-0.1160274	-1.1159485	1.7703922	0.045023615	-1.7699385	-0.045301543	0.23848079	-2.3464879	2.1394	1	0.2577	0.12833085	0.26353289	1.9396889	1.8036798	1.541093	1.8035613	1.5416098	0.019626302	1.5653286	1.096837	-0.0027005697	5.9316149e-05	0.10860311	1.2142611	0.10862718	1.212066	0.00059072231	-2.4547963e-05	1.1971595	0.73501838	-1.5667105	-0.59561683	1.5672537	0.59729339	-0.30070589	2.5275463	0.027928691	0.2347866	0.058636128	0.17924676	0.37648973	0.17935062	0.37622247	0.019796166	0.33974343	0.036629348	4.1416417	5.3748415	5.115492	5.02724	5.1159308	5.0281999	4.391973	6.0979683	5.2561387	2.7400301	3.3688631	5.2336741	3.369686	5.2310811	3.6687229	3.2043876	-75.002655	R0:S0:1	-59.4424	uncorrelated	b7fd39a	v1.0.3	 1.78e+02	 9.62e-04	 6.27e-03	2022-07-21@17:46
