model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.6206817	0	0	7.5	0	-0.09734541	-2.6957882	-4.0366617	0.20373628	-3.2802939	-0.01937531	-0.019375016	-3.2802893	0	2.5	10.6372	-2.6812208e-06	5.3266261e-06	-9.6397395e-06	-5.1331443e-07	-1.3434432e-05	4.2952933e-08	-0.15416942	4.34487e-06	-0.22099293	0.22105372	1.0044118	-1.0026194	2.1820947	2.1832702	0.29244577	-0.29248573	-0.13419458	2.1014936	-2.2372981e-05	2.7115896e-05	2.4271031e-05	2.6925808e-05	2.0972989	-0.021038787	-0.22102124	0.22095589	-1.0036438	1.005445	2.1825908	2.1814142	0.29245318	-0.29241371	2.097306	0.021042246	3.0525364e-05	-2.8649074e-05	2.1530664e-05	1.6194078e-05	0.13419609	2.1014836	2.1	1	0.2	1.1543616e-06	-2.2636233e-05	-5.5643193e-06	7.9486306e-06	2.5310899e-06	-0.15417057	-7.125873e-07	1.743125e-05	-1.279764e-08	-2.7371417e-06	0.55159624	1.2510765	1.8026728	-0.48433676	-0.25799237	0.10484433	0.73244102	1.1730254	1.9971391	1.3548823	0.30684231	1.9011343	1.7729321	1.7729323	1.9011451	1.727924	5.4379238e-06	-6.4903841e-06	1.3671663e-05	-1.4806512e-06	2.5944213e-05	2.9800765e-06	1.848549	-1.0391884e-05	0.54962867	-0.54965444	-0.0066394699	0.0058567099	-0.71287698	-0.71293293	-0.31989397	0.31993996	0.010506382	-0.16453629	5.559004e-05	-6.745227e-05	-6.0400119e-05	-6.6206162e-05	-0.16418876	0.0016465679	0.54965637	-0.54962756	0.0063120042	-0.0070947975	-0.71291111	-0.71285767	-0.31990347	0.31985821	-0.16420909	-0.0016480309	-7.7097748e-05	6.9681547e-05	-5.247774e-05	-4.0900316e-05	-0.010506066	-0.16452227	-1.2128838e-05	2.731962e-05	6.5542864e-06	-5.0313339e-06	1.3214635e-06	1.8485509	1.1331722e-05	-3.5341928e-05	2	2	0	0	-84.056264	R0:S0:1	1.727924	-65.0976	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:00
2x2_2C_8b_C2v_L	5.6018436	0	0	7.5	0	-0.095574568	-2.6882354	-4.0282115	0.20440789	-3.2767063	-0.020694696	-0.020688451	-3.2760522	0	2.5	10.6272	-1.0911864e-06	2.3523122e-05	2.9298776e-05	9.4640097e-06	9.5552012e-06	-1.6317559e-06	-0.15458295	3.9166401e-06	-0.22001096	0.22003807	1.0033381	-1.0020437	2.1815815	2.182451	0.29302371	-0.29305645	-0.13475902	2.1014504	-6.6075869e-05	1.36546e-05	3.0918677e-05	-2.8081379e-05	2.0970397	-0.0225946	-0.22000176	0.21997009	-1.0030139	1.0043249	2.1818147	2.1809363	0.2930098	-0.29297176	2.0972566	0.022569075	3.3198754e-05	-9.2475175e-05	-4.4884294e-05	5.3686601e-06	0.13473527	2.1012485	2.1	1	0.2	1.190602e-06	4.1751917e-05	-1.7174771e-05	-4.5230203e-06	8.1804774e-06	-0.15458254	1.9810193e-06	-4.9138328e-06	1.3876598e-08	-2.2767969e-06	0.55098374	1.2506846	1.8016683	-0.48645982	-0.25889011	0.10512763	0.73111803	1.1745163	1.9970879	1.3530406	0.30901067	1.8997238	1.7696551	1.7696658	1.8997159	1.7265565	2.0688799e-06	-2.5497336e-05	-3.5404024e-05	-1.1678856e-05	-2.0803322e-05	1.7552549e-05	1.8591897	-2.9281231e-06	0.54763842	-0.54765407	-0.0066468692	0.0060808284	-0.7145568	-0.71460042	-0.31992034	0.31997312	0.010694798	-0.16680423	0.0001676908	-2.9749221e-05	-7.2151924e-05	6.5327e-05	-0.16647055	0.0018014034	0.54766302	-0.54764934	0.0065148873	-0.0070810401	-0.71458152	-0.71453545	-0.31991776	0.31986378	-0.16648102	-0.0017837388	-8.6316545e-05	0.00022131887	0.00011878286	-1.9943476e-05	-0.010698193	-0.16681054	-1.1653693e-05	-5.1100633e-05	2.6781367e-05	9.2555919e-06	-3.0191711e-05	1.8592255	-2.7448232e-05	4.9849044e-06	2	2	0	0	-83.946267	R0:S0:1	1.7265565	-65.0176	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:07
2x2_2C_8b_C2v_L	5.582883	0	0	7.5	0	-0.094254627	-2.6814132	-4.0204848	0.2046727	-3.2724174	-0.021784536	-0.021776655	-3.2722069	0	2.5	10.6172	3.3546778e-06	3.029382e-05	6.0491174e-06	9.7496415e-06	-7.7055669e-06	-2.74756e-07	-0.15485904	3.0329242e-06	-0.21915134	0.21916986	1.0025204	-1.00152	2.181122	2.1817987	0.29356201	-0.29355911	-0.13395757	2.1012004	3.0466984e-05	-3.2686621e-05	1.6986544e-05	1.599893e-05	2.0969691	-0.022700606	-0.21914249	0.21912182	-1.0023991	1.0034163	2.1812217	2.1805546	0.29355459	-0.29355612	2.0970513	0.022702353	-4.656807e-05	4.7555208e-05	2.8667714e-05	3.5195132e-05	0.13395765	2.1011214	2.1	1	0.2	-8.0040191e-07	1.3107562e-05	-1.6306916e-05	-2.8684222e-06	-7.0021699e-07	-0.15486163	3.1448947e-06	5.5388548e-06	2.4599335e-08	-1.6643905e-06	0.55036564	1.2502898	1.8006554	-0.48859741	-0.25979109	0.1054111	0.72978972	1.1764699	1.9970356	1.3511755	0.31090572	1.898324	1.766488	1.766486	1.898329	1.7251836	-6.613453e-06	-3.6357366e-05	-7.2002786e-06	-7.7585574e-06	1.2815931e-05	1.2017933e-06	1.869293	-8.4607604e-06	0.5456822	-0.54570401	-0.006710653	0.006268268	-0.71630928	-0.71634354	-0.31975783	0.31975727	0.010772609	-0.16903238	-7.5583167e-05	7.922829e-05	-4.3868209e-05	-3.7756717e-05	-0.16869057	0.0018281916	0.54569772	-0.54567048	0.0066658805	-0.0071083634	-0.71632594	-0.71630078	-0.31975925	0.31975177	-0.16870511	-0.0018242373	0.00011948158	-0.00011337588	-7.5606775e-05	-8.0037381e-05	-0.010780322	-0.16902228	6.9349566e-06	-1.6664473e-05	2.2862745e-05	1.3447012e-06	-8.6985026e-06	1.8692906	-2.5101998e-05	-1.167062e-05	2	2	0	0	-83.838144	R0:S0:1	1.7251836	-64.9376	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:15
2x2_2C_8b_C2v_L	5.5638743	0	0	7.5	0	-0.093263926	-2.674241	-4.0132964	0.20473834	-3.2679254	-0.022671132	-0.022666828	-3.2676172	0	2.5	10.6072	-2.5538526e-06	3.3962747e-05	-2.9779241e-06	1.0165064e-05	4.2523752e-06	9.0560377e-07	-0.15503544	2.587228e-06	-0.21833128	0.21837967	1.0027114	-1.0008308	2.1799898	2.181249	0.29408261	-0.29409322	-0.12970117	2.1007833	6.3799797e-07	-3.1338809e-05	3.2140045e-06	-3.3235963e-05	2.0968016	-0.023559484	-0.21837517	0.21831081	-1.0006022	1.0024885	2.181382	2.1801617	0.29410017	-0.29409464	2.0969039	0.023551537	-3.3868215e-05	9.4890049e-06	-2.5498844e-05	1.4207182e-06	0.12969303	2.1006772	2.1	1	0.2	3.3506151e-06	-5.8122686e-06	-1.9151735e-05	2.7160858e-06	-1.9256895e-06	-0.15503751	-2.7511208e-06	-1.7988974e-06	3.3035393e-08	-2.580675e-06	0.54974428	1.2498938	1.7996381	-0.49074129	-0.26069173	0.10569392	0.72846917	1.178773	1.9969822	1.3493085	0.31255511	1.8969542	1.7634	1.763406	1.8969578	1.7238188	5.0680875e-06	-4.0736978e-05	4.9783526e-06	-8.7578694e-06	-1.0917201e-05	8.9894365e-06	1.8788381	-1.4278944e-05	0.54375216	-0.54378231	-0.0072630949	0.0064346157	-0.71807315	-0.71814942	-0.31944356	0.31944356	0.01057199	-0.17120398	-4.4953011e-06	7.7895076e-05	2.9339485e-06	7.5522379e-05	-0.17086864	0.0019204778	0.54378363	-0.54372468	0.0063305544	-0.0071591547	-0.71812867	-0.71809353	-0.3194772	0.31945836	-0.17088063	-0.0019188021	8.7427655e-05	-1.5771476e-05	6.4355443e-05	-8.3721938e-06	-0.010566304	-0.17119111	-3.6348872e-05	6.1555308e-06	2.6386971e-05	-2.8733409e-06	-4.7688117e-06	1.87886	2.7304704e-05	-5.5225115e-08	2	2	0	0	-83.727774	R0:S0:1	1.7238188	-64.8576	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:24
2x2_2C_8b_C2v_L	5.5450553	0	0	7.5	0	-0.09253674	-2.6664945	-4.0065364	0.20494946	-3.2638439	-0.023355964	-0.023350469	-3.2637959	0	2.5	10.5972	2.7763886e-06	-1.2825397e-05	-3.790869e-06	-1.1249822e-05	2.0931995e-05	-1.7049935e-06	-0.15513989	1.2754085e-05	-0.21763298	0.21764108	1.0003291	-0.99987275	2.1805015	2.1807933	0.2947206	-0.29474914	-0.13369184	2.1003458	-2.1796514e-05	-1.7000092e-05	1.2183895e-05	-2.9036418e-05	2.0962137	-0.023756334	-0.21756238	0.21756494	-1.0010916	1.0015528	2.1800207	2.1797129	0.29471295	-0.29469727	2.0962221	0.023749981	-2.5782954e-05	-6.8707844e-06	-1.6922795e-05	2.8222031e-05	0.13368078	2.1003252	2.1	1	0.2	9.5924866e-06	-2.7822489e-06	-2.5266576e-06	3.3685715e-06	2.9369644e-06	-0.15514149	4.9195602e-07	-3.0235555e-05	6.685303e-08	-3.2387573e-07	0.54912742	1.2495014	1.7986288	-0.49286449	-0.26158079	0.10597289	0.72715956	1.1814723	1.9969285	1.3474626	0.31384705	1.8956366	1.7604192	1.7604258	1.8956365	1.7224654	-5.7049652e-06	1.5256841e-05	7.8357367e-06	2.388102e-06	-3.7714751e-05	-3.9274442e-06	1.887983	-5.2215195e-05	0.5419138	-0.54190868	-0.0067362514	0.0065297489	-0.7199279	-0.71992103	-0.31898829	0.31903861	0.011031033	-0.17328477	5.3374917e-05	4.5064238e-05	-2.4006241e-05	6.850429e-05	-0.17294794	0.0019629664	0.54188622	-0.54190376	0.0070756961	-0.0072822608	-0.7199103	-0.71988763	-0.31901314	0.31899206	-0.17295055	-0.0019564736	6.8559356e-05	2.256238e-05	3.8232919e-05	-6.4312722e-05	-0.011028646	-0.17328555	-0.00010408574	2.0006871e-06	-5.2855505e-07	-3.786021e-06	-1.8144824e-05	1.8880048	-1.5039453e-05	6.3418007e-05	2	2	0	0	-83.618777	R0:S0:1	1.7224654	-64.7776	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:31
2x2_2C_8b_C2v_L	5.5262565	0	0	7.5	0	-0.092192562	-2.6612083	-4.0010569	0.20521387	-3.2599295	-0.023800129	-0.023806269	-3.2598742	0	2.5	10.5872	-2.2646672e-06	2.4135846e-06	-1.5928566e-06	-2.677688e-06	7.6480736e-06	1.5650067e-06	-0.15522166	-1.4304025e-06	-0.21708915	0.21712823	1.0018674	-1.0001816	2.1790266	2.1801472	0.29529615	-0.29532082	-0.12983888	2.1000074	3.8722409e-05	-1.6346612e-05	-7.247223e-06	1.067754e-05	2.096073	-0.021565692	-0.21720406	0.21716222	-0.99844185	1.0001333	2.181292	2.1801711	0.29537471	-0.29534427	2.0960987	0.021572592	-1.1126686e-05	2.6995817e-05	3.5024595e-06	-1.3474826e-05	0.12984883	2.0999849	2.1	1	0.2	2.2025861e-07	-6.8572566e-06	-2.7174705e-06	3.5917911e-06	-7.0976367e-06	-0.15521593	-1.7863973e-06	-6.3293911e-06	-2.0354879e-08	-2.4137945e-06	0.54851039	1.2491083	1.7976187	-0.49498421	-0.26246869	0.10625143	0.72578935	1.1851515	1.9968727	1.345664	0.3142706	1.8942614	1.7573508	1.7573353	1.894271	1.7210487	4.4475995e-06	-4.1743109e-06	3.0177137e-06	1.6476232e-06	-1.4667411e-05	-2.93936e-06	1.8973149	-4.5701482e-06	0.54023219	-0.54025643	-0.007781817	0.0070353051	-0.72170055	-0.72175521	-0.31811467	0.31815387	0.010844532	-0.17546739	-8.8906613e-05	4.4663288e-05	1.901602e-05	-2.8778925e-05	-0.17512155	0.0017955202	0.54026601	-0.54024172	0.0062580117	-0.0070046531	-0.72179189	-0.72174239	-0.31820434	0.31815814	-0.17513091	-0.0018086989	2.3795585e-05	-7.0240024e-05	-1.0198202e-05	3.5337688e-05	-0.01085216	-0.17544347	-2.4135301e-06	8.2199666e-06	1.0368515e-06	-1.4061346e-06	2.8313857e-05	1.8972626	1.5810259e-05	1.3182077e-05	2	2	0	0	-83.517757	R0:S0:1	1.7210487	-64.6976	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:39
2x2_2C_8b_C2v_L	5.5074516	0	0	7.5	0	-0.091859039	-2.6539442	-3.9965366	0.20580865	-3.2558801	-0.024167319	-0.024163353	-3.2556683	0	2.5	10.5772	-2.0622816e-07	-3.3451546e-05	-1.5609039e-05	-1.1493934e-05	3.0815598e-06	3.3376899e-06	-0.15526061	2.3929993e-06	-0.21663757	0.21665375	1.0001901	-0.99933566	2.1795746	2.1801482	0.29604878	-0.29607309	-0.13045882	2.0993917	3.2338311e-06	1.0793587e-06	3.7255548e-05	4.7433249e-05	2.0954175	-0.024802766	-0.21670382	0.21669723	-0.99818409	0.99904533	2.1809035	2.1803302	0.29609108	-0.29607107	2.0954772	0.024810652	1.9203857e-05	-1.1853268e-05	3.1058366e-05	2.168733e-05	0.1304518	2.0993316	2.1	1	0.2	-1.0664059e-05	-2.6413291e-05	1.0559204e-05	7.3287442e-06	7.9290827e-06	-0.15526481	1.6330651e-06	-1.1553762e-06	3.1720682e-09	-9.6734866e-07	0.54789187	1.248715	1.7966069	-0.49710576	-0.26335403	0.10652919	0.72444687	1.1887571	1.9968178	1.344023	0.31459909	1.8929368	1.7543518	1.7543556	1.892932	1.7196604	4.1493126e-07	4.2314172e-05	2.1447057e-05	3.0905677e-06	-3.6988196e-06	-2.8225311e-05	1.9061751	4.9664089e-06	0.53866846	-0.53867256	-0.0075806569	0.0071979949	-0.72347065	-0.72348919	-0.31731688	0.31735853	0.011037117	-0.17755039	-1.2465101e-05	-6.399794e-06	-9.5688024e-05	-0.0001139454	-0.17722755	0.0020966514	0.53868777	-0.53868973	0.0066836779	-0.0070663195	-0.72352161	-0.72349308	-0.31736446	0.31732951	-0.1772201	-0.0020992957	-4.773516e-05	2.7599193e-05	-7.3710198e-05	-5.5854559e-05	-0.011029569	-0.17754751	0.00011383462	3.1255822e-05	-1.3810227e-05	-7.1478041e-06	-2.7911422e-05	1.9061919	-3.21266e-06	5.2283378e-06	2	2	0	0	-83.413279	R0:S0:1	1.7196604	-64.6176	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:46
2x2_2C_8b_C2v_L	5.4887438	0	0	7.5	0	-0.09150945	-2.6484547	-3.9916337	0.20649515	-3.2523892	-0.024390632	-0.024382227	-3.2521438	0	2.5	10.5672	2.6362615e-07	-1.8796329e-06	3.7513271e-05	2.7850961e-06	1.4776869e-06	3.6218295e-06	-0.15528447	-4.2454222e-06	-0.21619961	0.21626644	1.0002435	-0.9980835	2.1791559	2.1805827	0.29673362	-0.2967908	-0.12951872	2.0990325	-1.0685772e-05	-2.7990574e-05	-2.0405739e-05	-4.9320851e-05	2.0950716	-0.022059587	-0.21631604	0.21624734	-0.99679813	0.99897605	2.181417	2.1799908	0.2968269	-0.2967787	2.0951607	0.022057696	-5.3963078e-05	8.0222693e-06	-2.9040108e-05	1.1636655e-05	0.12949677	2.0989549	2.1	1	0.2	-5.9553189e-07	7.1323115e-05	-6.4130243e-07	-2.2779354e-05	-1.0941791e-05	-0.15529128	7.3744794e-07	-1.7784557e-05	-2.643921e-08	-3.1855094e-06	0.54727517	1.248323	1.7955982	-0.4992161	-0.26423347	0.10680467	0.72308124	1.1926602	1.9967612	1.3423269	0.31467697	1.8915685	1.7512724	1.75129	1.8915766	1.718248	-6.0454788e-07	4.6711905e-06	-5.3216696e-05	-4.4189934e-06	1.7876994e-06	-4.8720531e-05	1.9152344	1.2602776e-05	0.53711396	-0.53714041	-0.0080179729	0.0070545637	-0.72521885	-0.72528317	-0.3163366	0.31641351	0.011097817	-0.1797143	2.9055607e-05	6.776416e-05	3.8873789e-05	0.0001296242	-0.17937505	0.0018902972	0.53713908	-0.53711244	0.0064770411	-0.0074406265	-0.72531299	-0.72523854	-0.3164483	0.31638782	-0.17939187	-0.0018867833	0.00012555413	-2.8779411e-05	7.1826219e-05	-2.5548177e-05	-0.011079041	-0.17969442	7.7785502e-06	-8.2749504e-05	4.1126639e-06	2.1165832e-05	3.376742e-05	1.9152947	-7.8159673e-06	3.9878044e-05	2	2	0	0	-83.313783	R0:S0:1	1.718248	-64.5376	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:52
2x2_2C_8b_C2v_L	5.4701543	0	0	7.5	0	-0.091194327	-2.6435634	-3.9870714	0.20717947	-3.2486765	-0.024468573	-0.024468317	-3.2487933	0	2.5	10.5572	1.8139023e-06	8.8440633e-06	-1.5273093e-05	5.7393321e-06	-5.3349104e-06	2.5289105e-07	-0.15529075	-2.746259e-06	-0.21589485	0.21594795	0.99880607	-0.99686158	2.1799131	2.1812004	0.29747962	-0.2975128	-0.13064614	2.0985411	6.7868901e-05	-5.088727e-05	9.7418591e-06	2.8919487e-05	2.0946576	-0.025126757	-0.21593917	0.21587915	-0.99718223	0.99912929	2.1809956	2.1797055	0.29750626	-0.29746844	2.0946311	0.025114679	-4.8058364e-05	6.2639022e-05	2.0569821e-05	2.8036105e-06	0.13065004	2.0985795	2.1	1	0.2	-6.4543285e-06	-3.5018351e-05	-3.1712227e-06	1.4261403e-05	-1.081134e-05	-0.15529085	7.6032649e-07	7.8420555e-06	-1.5577981e-08	-3.2827864e-06	0.54666096	1.2479328	1.7945938	-0.50131289	-0.2651057	0.10707729	0.72169344	1.1966638	1.9967033	1.340672	0.31462293	1.890162	1.7481228	1.7481281	1.8901776	1.7168124	-3.5281963e-06	-9.5574786e-06	2.3601801e-05	-3.9487179e-06	1.032582e-05	-5.3714223e-07	1.9244468	3.5635831e-06	0.53559422	-0.53562453	-0.0077257375	0.006860506	-0.72698354	-0.72704916	-0.3153797	0.31542662	0.011324428	-0.18192633	-0.00017110414	0.00012730398	-2.4942256e-05	-6.8757721e-05	-0.18156906	0.0021817865	0.53562572	-0.53559332	0.0070069635	-0.0078721976	-0.72704238	-0.72697937	-0.31541906	0.31536852	-0.18159561	-0.0021734821	0.00011500941	-0.00015668749	-5.4448718e-05	-8.0460477e-06	-0.01132704	-0.18190858	6.7789163e-05	4.061812e-05	6.5457226e-06	-1.0053775e-05	3.3527455e-05	1.9244613	-2.1239288e-05	-1.475678e-05	2	2	0	0	-83.215888	R0:S0:1	1.7168124	-64.4576	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:01
2x2_2C_8b_C2v_L	5.451357	0	0	7.5	0	-0.09083668	-2.63748	-3.9822825	0.20787262	-3.2452651	-0.02440168	-0.024382977	-3.2453696	0	2.5	10.5472	-5.4584447e-06	3.1451013e-05	1.5448846e-05	1.0950927e-05	-7.1222474e-06	6.3392673e-06	-0.15524228	2.4675042e-05	-0.21546016	0.21549506	0.99719966	-0.99607109	2.180491	2.1812306	0.29822195	-0.29824018	-0.12943825	2.0980123	-3.5384775e-05	-2.6954631e-05	6.0587137e-05	-1.5927628e-05	2.094159	-0.022371949	-0.21546801	0.2154405	-0.99721587	0.99833328	2.1804712	2.1797345	0.2981984	-0.29818994	2.0941264	0.022355883	-6.5385228e-05	7.9112079e-06	2.4168015e-05	9.4599546e-05	0.12941182	2.0980321	2.1	1	0.2	-1.1852268e-06	3.7831844e-05	-1.8594725e-05	-1.445231e-05	-1.8999122e-06	-0.15525179	2.749887e-07	1.0151971e-05	7.8521359e-08	-1.5338791e-06	0.54603813	1.2475385	1.7935766	-0.50343532	-0.26598353	0.10735214	0.72034385	1.2004261	1.9966455	1.3390363	0.31473667	1.8888099	1.7450572	1.7450849	1.8888222	1.7154164	1.0831608e-05	-3.6035021e-05	-2.2809289e-05	-1.0630392e-05	4.1455701e-06	-5.3106732e-05	1.9332039	-9.3570398e-05	0.53403674	-0.53405692	-0.00747583	0.0069726014	-0.72872791	-0.72875576	-0.31450747	0.31453305	0.011369892	-0.18406541	9.0172846e-05	7.2344454e-05	-0.00013678924	3.299843e-05	-0.18371834	0.001965099	0.53406634	-0.53404898	0.0074923341	-0.0079952595	-0.72874103	-0.72870196	-0.31447384	0.31446111	-0.18373492	-0.0019588378	0.00017333468	-8.6498258e-06	-6.6110973e-05	-0.00023185649	-0.011339951	-0.18405023	1.5255964e-05	-4.6073337e-05	2.7311568e-05	6.6717628e-06	5.4900789e-06	1.933293	5.6507838e-06	-3.0302031e-05	2	2	0	0	-83.11427	R0:S0:1	1.7154164	-64.3776	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:07
