model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tpprime	ave_M_1	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tpprime_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	distance	diff_hybrid	time	
3bands	5.6370275	0	0	12	0	-1.3309999	-7.2861854	-7.253354	0.34955965	-6.1429799	-0.39159428	-0.39152663	-10.876093	0	2.5	12.88	-0.19854996	-1.3638261e-05	-4.9120303e-06	3.9163046e-07	-5.6919868e-06	0.21691172	-3.1414445e-07	4.594623e-07	-4.8661998e-05	-4.7228493e-05	2.4547051	2.5418088	-1.5367349	0.98556878	0.081934701	-0.376958	0.00019731455	2.307276	1.0736208e-06	-7.507414e-07	1.2306996e-06	8.3146538e-06	3.3949397	-0.00025631446	-2.8418571e-05	-4.9599672e-05	2.5092691	2.404674	1.0653914	-1.6135212	0.37693031	-0.081958836	2.3072783	0.00020656439	3.6236311e-06	-1.4210302e-06	1.1419681e-06	4.0398532e-06	-0.00025142199	3.3949339	2.1	1	0.2	5.5677251e-05	7.1590144e-06	9.8800962e-07	-2.1132976e-08	-2.3889077e-06	-2.0544167e-07	0.21689207	1.4879903e-05	-6.3946063e-07	0.24997599	0.39656922	1.2699662	1.6665354	-0.5492566	-0.15610447	0.068185348	0.18200443	1.9986973	1.6518489	1.9127032	0.0098459892	1.9933164	1.9955893	1.9955903	1.7181902	1.175993	0.12971648	3.8078034e-06	3.2998947e-06	1.032302e-06	3.7880395e-06	-0.23972416	2.6092372e-06	1.9647358e-05	7.0323554e-05	1.3548495e-05	-1.0115041	-0.17485132	0.492461	0.070301454	0.035924516	0.1712611	-9.4624754e-05	-0.021336683	-2.1561661e-05	-7.9270486e-07	1.4249385e-05	-1.4672906e-06	-0.97189744	1.7256939e-06	1.2111346e-05	7.567173e-05	-0.17699123	-0.99540533	0.0647206	0.52429475	-0.17125312	-0.035921217	-0.021336783	-9.9370953e-05	7.9008787e-07	2.2901478e-05	6.6710913e-07	-3.0582964e-05	1.9619104e-06	-0.97189691	-3.3350443e-05	-2.3628981e-06	1.0850467e-06	-4.7379722e-07	3.8202925e-06	2.161051e-06	-0.23969915	-4.1113725e-06	2	2	0	0	-127.09196	R0:S0:1	1.175993	-83.04	uncorrelated	2	ffd36c5	v2.0.4	YY	3	sharp_wc_2.0_b_50	 1.36e+03	 6.98e-05	CDMFT_Supra_AF_8b.py	2023-06-28@11:00
3bands	5.6372072	0	0	12	0	-1.3600275	-7.302463	-7.2555631	0.33625878	-6.1167988	-0.37529999	-0.37526431	-10.893018	0	2.5	12.89	-0.20217572	6.1001884e-06	-2.7126571e-05	1.4300333e-06	-0.00013317776	0.21551956	1.1406064e-06	2.8981949e-06	0.00021287766	-0.00022772374	2.455395	2.5434289	-1.5375184	0.98386831	0.082043674	-0.37588667	-0.00017650794	2.3001188	6.5425177e-05	9.237926e-05	-9.5177476e-05	6.4085028e-05	3.3947445	8.9979772e-05	0.0002671284	-0.00019177134	2.5113203	2.4059572	1.0626559	-1.6133128	0.37587621	-0.082027626	2.3001024	-7.7816461e-05	-4.5109063e-05	-5.3848649e-05	-4.6011093e-05	2.5681783e-05	0.00021868338	3.3947562	2.1	1	0.2	4.1229133e-07	0.00025002537	-2.4050529e-06	-4.0765338e-06	1.815491e-05	6.9700626e-06	0.21551897	0.00017750942	-3.6917355e-05	0.2500029	0.39656524	1.2699706	1.6665358	-0.54923915	-0.15609101	0.068179521	0.18194076	1.9986621	1.6521348	1.912473	0.0097944369	1.9933118	1.9956322	1.9956319	1.7184701	1.1759372	0.13155746	-9.3906129e-06	1.8304115e-05	-3.2834825e-06	7.4639942e-05	-0.23835831	1.7591531e-06	0.0013557071	-0.00033073921	5.5627476e-05	-1.0110703	-0.17474113	0.49335265	0.070395704	0.035789679	0.17080921	8.5218934e-05	-0.021306297	-0.0014754734	-6.6973524e-05	0.0016029491	-6.2237238e-05	-0.97151565	-1.225746e-07	-6.2074951e-05	0.00029687793	-0.17685786	-0.99515849	0.064885576	0.52479759	-0.17080567	-0.035788106	-0.021306031	3.8086123e-05	6.1129299e-05	0.0014461978	6.4253405e-05	-0.001326619	-1.6024015e-06	-0.97151774	3.992031e-06	-8.2478241e-05	4.5416079e-06	1.249552e-05	0.00013830212	-5.0612607e-06	-0.23836361	-6.4617108e-05	2	2	0	0	-127.14216	R0:S0:1	1.1759372	-83.12	uncorrelated	2	ffd36c5	v2.0.4	YY	1	sharp_wc_2.0_b_50	 1.33e+03	 4.22e-03	CDMFT_Supra_AF_8b.py	2023-06-28@10:55
3bands	5.6369012	0	0	12	0	-1.2993631	-7.2667626	-7.2520718	0.36031386	-6.1636831	-0.40492261	-0.40493845	-10.853434	0	2.5	12.87	-0.19493874	-4.190224e-06	9.1036394e-09	2.224642e-06	-2.4266335e-05	0.2178127	7.5630604e-06	-1.4985588e-06	-0.00011867	7.74441e-05	2.4513306	2.5395932	-1.5394516	0.98664534	0.081629679	-0.37732405	0.00038933284	2.31319	-5.4332917e-06	8.1114832e-06	-1.0791683e-06	-2.0987677e-06	3.3939263	0.00090792977	-9.7843658e-05	7.6781639e-05	2.5079234	2.4026082	1.064448	-1.6142779	0.37731695	-0.081642527	2.3131904	-0.00075219971	7.4535468e-06	-2.2538093e-06	3.9383878e-06	-1.540148e-06	-0.00047026541	3.3939235	2.1	1	0.2	2.9646801e-05	-0.00010481621	4.9280114e-06	-4.2478495e-06	8.1532464e-07	-7.96912e-06	0.21782052	2.9798926e-05	2.6051865e-07	0.24995616	0.39657223	1.2699638	1.6665361	-0.54927019	-0.15611295	0.068189192	0.18210722	1.998731	1.6517485	1.9126806	0.0098750425	1.9933252	1.9955577	1.9955571	1.7178355	1.1760952	0.12792164	3.8746786e-06	-1.8603204e-07	-8.9193318e-06	1.349443e-05	-0.24069941	-1.2674019e-05	-5.5562926e-06	0.00017762291	-2.1710428e-05	-1.0113539	-0.17493257	0.49295597	0.070238983	0.036031514	0.17149435	-0.0001830654	-0.021348137	2.5160222e-05	-5.5328605e-07	6.5790146e-07	5.715258e-07	-0.97239245	-7.6923234e-06	3.187866e-05	-0.00011833352	-0.17701753	-0.99566426	0.064804478	0.52394757	-0.17149334	-0.036029068	-0.021348203	0.00035805398	-9.8229958e-07	2.7398307e-06	-4.3946007e-07	1.3705744e-05	5.8512385e-06	-0.97239223	-1.8014001e-05	3.3680325e-05	-4.3351328e-06	1.5330576e-05	-1.041561e-06	1.4852952e-05	-0.24071396	-9.3064021e-06	2	2	0	0	-126.99678	R0:S0:1	1.1760952	-82.96	uncorrelated	2	ffd36c5	v2.0.4	YY	3	sharp_wc_2.0_b_50	 1.38e+03	 1.01e-04	CDMFT_Supra_AF_8b.py	2023-06-28@11:05
3bands	5.6367465	0	0	12	0	-1.275512	-7.2502386	-7.2489062	0.37109644	-6.1823628	-0.41831698	-0.41822582	-10.825942	0	2.5	12.86	-0.19219852	5.3832283e-06	-3.5628083e-06	-3.1576156e-07	-2.1866778e-06	0.21867493	5.2954774e-06	-3.7241155e-06	-6.3186138e-05	9.6881051e-05	2.4512418	2.5378231	-1.5377864	0.98805098	0.081336104	-0.37764005	0.00047244797	2.3186952	-1.0256407e-06	-5.1239424e-06	8.9240332e-06	-5.5114105e-06	3.3921143	-6.442772e-05	-5.7308731e-05	9.32101e-05	2.5053829	2.4014895	1.0676292	-1.6143588	0.37763355	-0.081340858	2.3187014	5.5993622e-05	4.4859961e-06	1.6741174e-06	2.9838086e-06	4.4661555e-06	-0.00059363462	3.3921018	2.1	1	0.2	1.5998491e-05	-8.7635514e-05	-1.8221875e-06	2.6539404e-07	-5.751053e-06	-8.678944e-06	0.21864982	-2.6404605e-06	1.1119736e-07	0.24993339	0.39657576	1.2699609	1.6665366	-0.54928673	-0.15612328	0.068193843	0.18222454	1.9987557	1.6513879	1.9129583	0.0099011509	1.9933323	1.9955266	1.9955278	1.7173893	1.1762103	0.12657853	-3.1092797e-06	2.5668263e-06	1.0926757e-06	2.0135352e-06	-0.24166038	-7.1066654e-06	-2.3223646e-06	9.6313098e-05	-2.6640346e-05	-1.0119766	-0.17504035	0.49176104	0.070158985	0.036129615	0.17170537	-0.00022360501	-0.021362151	8.363795e-06	7.5177708e-07	-3.5281771e-05	6.9319727e-08	-0.97301571	-7.6293566e-07	1.7639374e-05	-0.00014486368	-0.17716696	-0.99595539	0.064600469	0.52344988	-0.17170281	-0.036129651	-0.021362367	-2.8105224e-05	-2.7170148e-07	-1.2055242e-05	-7.6123655e-07	-9.4982884e-06	5.3767019e-06	-0.9730139	-1.0379969e-05	2.8419753e-05	1.5039259e-06	-8.7564752e-07	3.2600699e-06	1.1085152e-05	-0.24162852	2.8714928e-06	2	2	0	0	-126.90572	R0:S0:1	1.1762103	-82.88	uncorrelated	2	ffd36c5	v2.0.4	YY	3	sharp_wc_2.0_b_50	 1.37e+03	 9.61e-05	CDMFT_Supra_AF_8b.py	2023-06-28@11:10
3bands	5.6373544	0	0	12	0	-1.3602982	-7.3153616	-7.2616178	0.32783439	-6.0997367	-0.36487523	-0.36506962	-10.917911	0	2.5	12.9	-0.20357175	-2.8537149e-07	1.3015706e-05	1.3870081e-06	-1.6989928e-05	0.2149428	-5.3652354e-06	1.1637953e-05	2.8075563e-05	-9.3921632e-06	2.4547136	2.5454338	-1.5395038	0.98025821	0.08202339	-0.37568751	-0.0015233904	2.2951094	0.00016036983	0.00017047217	-0.00016227861	0.00014856155	3.396362	0.00051827094	3.4573558e-05	-2.1275503e-05	2.5130402	2.4045771	1.0599949	-1.6161168	0.37566107	-0.08203782	2.2951157	-0.00040047391	-0.00016174543	-0.00016051935	-0.00014548809	0.00014797014	0.0018943008	3.3963662	2.1	1	0.2	4.2787087e-05	3.2885591e-05	1.0509457e-06	-9.2762933e-08	3.8241173e-05	9.0994767e-06	0.21501133	2.1509061e-05	-0.00015163283	0.25001589	0.3965638	1.2699736	1.6665374	-0.54922365	-0.15608123	0.068175218	0.18186117	1.998647	1.6525948	1.9120407	0.0097780495	1.9932998	1.9956274	1.9956237	1.7188493	1.1758611	0.13232523	5.8821457e-06	-9.4213182e-06	-5.3794789e-06	1.0704367e-05	-0.23772763	1.4588607e-05	0.0055389077	-4.4739876e-05	5.0110462e-06	-1.0105353	-0.17458224	0.49445295	0.0706389	0.03573853	0.17065064	0.00073655566	-0.021308589	-0.0058360642	-0.00025805265	0.0058402309	-0.0002567677	-0.97096943	-1.3786749e-06	-8.3280436e-06	2.8966792e-05	-0.17673122	-0.99439506	0.065066596	0.52625725	-0.17064349	-0.035734182	-0.021308719	0.00019707373	0.00025688476	0.0058382059	0.00025743748	-0.0057845129	-1.5340877e-05	-0.97097058	-2.2771531e-05	-1.0557609e-05	-4.035091e-06	1.928805e-06	0.00058502316	-1.1485364e-05	-0.23782596	-8.7100522e-06	2	2	0	0	-127.19459	R0:S0:1	1.1758611	-83.2	uncorrelated	2	ffd36c5	v2.0.4	YY	4	sharp_wc_2.0_b_50	 1.29e+03	 2.54e-04	CDMFT_Supra_AF_8b.py	2023-06-28@10:53
3bands	5.636577	0	0	12	0	-1.2470288	-7.2325998	-7.2470711	0.38187112	-6.2033371	-0.43173833	-0.43174166	-10.793175	0	2.5	12.85	-0.18931482	7.3854366e-06	7.1603727e-06	-1.4081973e-06	6.6418678e-06	0.21949474	-5.5579965e-06	1.0638716e-07	5.4831444e-05	-5.1964234e-05	2.44993	2.5350912	-1.5378918	0.99132864	0.080896672	-0.37782424	-0.00056303809	2.324625	9.4959785e-07	-2.5922209e-06	8.4524239e-07	3.3946907e-06	3.3894479	-0.00048154543	8.4654586e-05	6.5863577e-06	2.5032879	2.4013071	1.0692508	-1.6129133	0.3778344	-0.08090277	2.3246244	0.00039996557	5.9879718e-07	2.9022984e-06	2.6531075e-06	1.3924357e-06	0.00067462728	3.3894516	2.1	1	0.2	-1.0182851e-05	5.2693952e-05	-1.150669e-06	-7.4184719e-06	-2.0161539e-06	5.5247841e-06	0.21949556	-6.4067163e-06	1.0061224e-08	0.2499062	0.39657969	1.2699579	1.6665375	-0.54930535	-0.15613416	0.068198796	0.18237202	1.9987808	1.6509811	1.9132616	0.009924433	1.9933396	1.9954968	1.9954967	1.7168407	1.1763567	0.12519502	-2.798231e-06	-5.5759435e-06	3.5570298e-06	-3.4802342e-06	-0.24259754	9.4267409e-06	-2.9162428e-06	-9.2448532e-05	2.2611862e-06	-1.0123076	-0.1752149	0.49119244	0.069952489	0.036239505	0.17188165	0.00026505036	-0.021378374	-2.2892692e-07	3.5181941e-07	-4.935239e-06	-4.6677396e-08	-0.97377891	5.3414486e-06	-1.7787853e-05	2.2613227e-06	-0.17729206	-0.99664858	0.064509928	0.52220865	-0.17188634	-0.03623894	-0.021378305	-0.00018713846	9.464451e-08	-1.1425068e-05	-3.4167533e-07	-2.5373964e-06	-6.1185532e-06	-0.97377944	5.4884883e-06	-1.6615341e-05	2.8920693e-07	2.3857262e-05	1.2034499e-06	-1.1247626e-05	-0.24260127	2.0551471e-06	2	2	0	0	-126.80011	R0:S0:1	1.1763567	-82.8	uncorrelated	2	ffd36c5	v2.0.4	YY	3	sharp_wc_2.0_b_50	 1.35e+03	 7.19e-05	CDMFT_Supra_AF_8b.py	2023-06-28@11:14
3bands	5.636402	0	0	12	0	-1.2152911	-7.2144568	-7.2450093	0.39224902	-6.2200176	-0.44449648	-0.44448961	-10.752476	0	2.5	12.84	-0.18646406	1.8260058e-06	-2.4345952e-05	-5.7479761e-06	-2.3181514e-05	0.22014568	-6.70235e-06	-2.5197793e-06	-0.00013022096	0.00013045784	2.4464815	2.5312481	-1.5412679	0.99701567	0.080310827	-0.37782018	-0.00026811243	2.3296521	-3.8031124e-06	-1.6745796e-06	7.4779044e-08	1.3403429e-06	3.3854066	-0.00032838225	-0.00012601465	0.00015963595	2.5024596	2.4025761	1.0674708	-1.6091547	0.37782757	-0.080308222	2.3296644	0.00027146332	1.0405348e-05	3.3235146e-06	-6.7220667e-06	-5.6652337e-06	0.00032319523	3.3854048	2.1	1	0.2	-1.4158458e-05	-0.00018751202	-3.904783e-06	-2.4133313e-06	-2.2649221e-06	-6.606964e-08	0.22014498	2.723124e-05	2.9242073e-07	0.24987797	0.3965839	1.2699552	1.6665391	-0.54932535	-0.15614477	0.068203731	0.1825594	1.9988041	1.6506179	1.9135072	0.009943303	1.9933463	1.9954706	1.9954706	1.7161495	1.1765453	0.12387355	-1.2796948e-07	1.7883643e-05	1.9179585e-05	1.3052788e-05	-0.24342767	7.9843129e-06	-1.4046226e-05	0.0002049025	-4.4406975e-05	-1.0119951	-0.17546115	0.49197992	0.069582703	0.036352049	0.1720164	0.00012527131	-0.021391617	2.5357257e-05	4.5725797e-07	-1.144723e-05	6.1925921e-07	-0.97474565	3.4236035e-06	3.743849e-05	-0.00024598657	-0.17733573	-0.99785252	0.064661147	0.52001825	-0.17201734	-0.03635434	-0.021391962	-0.00012673781	-1.352506e-06	-2.1401738e-05	-3.3712097e-07	3.4050262e-05	-3.2882617e-06	-0.97474516	7.1850304e-06	5.9352515e-05	3.2765229e-06	7.0670243e-06	-8.295741e-08	-3.7712319e-06	-0.24342721	-7.4198471e-06	2	2	0	0	-126.65861	R0:S0:1	1.1765453	-82.72	uncorrelated	2	ffd36c5	v2.0.4	YY	2	sharp_wc_2.0_b_50	 1.31e+03	 5.82e-04	CDMFT_Supra_AF_8b.py	2023-06-28@11:18
3bands	5.6362767	0	0	12	0	-1.172981	-7.1912116	-7.2471644	0.40307103	-6.2387322	-0.45780847	-0.4580497	-10.722357	0	2.5	12.83	-0.18259532	3.6329e-06	3.6055344e-05	3.6911152e-08	-7.7358622e-05	0.22092345	-3.1019676e-06	7.1414868e-06	5.4159001e-05	-5.6320508e-05	2.44502	2.5237691	-1.5402529	1.0095314	0.079633721	-0.3778869	-0.00099502667	2.3351545	3.04144e-06	2.6054744e-05	-1.8142169e-05	3.5845927e-06	3.3831085	0.0002581888	5.3517903e-05	-3.4192317e-05	2.498479	2.4068833	1.0710238	-1.5996532	0.37791152	-0.079607392	2.3351529	-0.00018754839	1.854231e-05	3.8464834e-06	-2.5789754e-06	-3.770858e-06	0.0012228686	3.3831245	2.1	1	0.2	-4.914229e-05	5.605445e-05	-3.1177668e-06	-3.1614754e-06	2.9427646e-06	7.7639944e-06	0.22098745	8.1395216e-05	-1.1386975e-07	0.24985558	0.39658742	1.2699535	1.6665409	-0.54934003	-0.15615218	0.068207268	0.18271592	1.9988375	1.6493762	1.9145452	0.0099651964	1.9933543	1.9954413	1.9954383	1.715656	1.176705	0.12200332	-7.5557322e-06	-2.740235e-05	9.187914e-08	4.4601095e-05	-0.24432819	4.047247e-06	-1.641094e-06	-8.5727369e-05	1.1779102e-05	-1.0128004	-0.17586349	0.49067634	0.068730129	0.036482415	0.17217432	0.00046438235	-0.021402799	-1.2835745e-05	-2.1597686e-06	6.5062833e-05	-2.8941734e-08	-0.97543314	-1.6909782e-06	-1.5680408e-05	6.0154302e-05	-0.17748642	-1.0005235	0.064431534	0.51516803	-0.17217983	-0.036487412	-0.021402388	8.8436163e-05	-8.1023116e-07	-7.2698229e-06	5.7773833e-08	8.7688908e-06	-1.1246774e-05	-0.97543525	2.9100284e-05	-1.9332289e-05	4.5769581e-06	9.7212216e-06	-8.0129443e-07	-1.4781462e-05	-0.24440373	-2.8639841e-05	2	2	0	0	-126.52194	R0:S0:1	1.176705	-82.64	uncorrelated	2	ffd36c5	v2.0.4	YY	3	sharp_wc_2.0_b_50	 1.28e+03	 1.27e-04	CDMFT_Supra_AF_8b.py	2023-06-28@11:22
3bands	5.6347264	0	0	12	0	-1.1246739	-7.0716363	-7.512056	0.42056373	-6.249438	-0.46367116	-0.46380189	-10.660926	0	2.5	12.82	-0.16562219	-2.1347499e-05	1.3223849e-05	2.6547648e-05	-0.00011081705	0.22095237	-1.4809448e-05	-1.8666939e-06	-6.2535205e-06	-5.3175152e-05	2.858175	1.6185522	-0.15561349	2.2226415	0.082147184	-0.38546428	-0.00010159519	2.3389195	3.2932056e-05	3.9611358e-05	1.4227749e-05	-3.6859819e-06	3.3753912	-0.00037759033	5.1151992e-05	-0.00031891182	1.6496313	2.8601522	2.1981685	-0.11283123	0.38550432	-0.082040025	2.338941	0.00033292885	3.5094559e-05	3.6821901e-05	4.8068106e-06	-5.002533e-07	0.00014900937	3.3753544	2.1	1	0.2	-0.00026793428	0.0001041922	6.0668064e-06	-9.2199597e-06	3.2357071e-06	-1.3705476e-05	0.22095543	9.5718497e-05	6.7238759e-07	0.24947898	0.39661978	1.2699276	1.6665474	-0.54951418	-0.15624719	0.068250132	0.18395933	1.9990171	1.566658	1.9930918	0.010393218	1.9932102	1.9953854	1.9953858	1.714675	1.17794	0.11218671	-8.065682e-06	-9.5689382e-06	-7.668734e-05	6.9753402e-05	-0.24567983	1.6186702e-05	-2.168276e-05	1.573312e-06	7.7724886e-05	-1.1269731	-0.18783445	-0.061654765	-0.03263781	0.037120539	0.17601213	4.2506177e-05	-0.0218847	-7.8793075e-05	7.3168723e-07	-5.5765171e-05	-7.3428713e-07	-0.97654634	6.2589691e-07	-1.6268669e-06	0.00046049993	-0.18826427	-1.1259654	-0.02996313	-0.077665791	-0.17600676	-0.037122069	-0.021883624	-0.0001582521	-1.4261298e-06	-0.00012900332	-2.8123661e-06	2.1723585e-05	-5.2950288e-06	-0.97654088	0.00018711326	-3.6410798e-05	-3.913306e-06	1.3245597e-05	-5.3437944e-06	1.1805119e-05	-0.24566952	-2.7022426e-05	2	2	0	0	-126.58445	R0:S0:1	1.17794	-82.56	uncorrelated	2	ffd36c5	v2.0.4	YY	19	sharp_wc_2.0_b_50	 1.25e+03	 3.68e-04	CDMFT_Supra_AF_8b.py	2023-06-28@11:52
3bands	5.6343985	0	0	12	0	-1.0950926	-7.0494703	-7.5249953	0.43239232	-6.2642703	-0.47599395	-0.4760355	-10.619448	0	2.5	12.81	-0.1621103	7.4266166e-06	8.7048686e-06	-2.8864014e-06	-4.8782968e-06	0.22152712	-1.2199955e-05	5.2224571e-07	-2.4427179e-07	-2.2989068e-06	2.8554136	1.6151799	-0.15258903	2.2274865	0.08196783	-0.38637259	-0.00029908274	2.3435888	-8.1453473e-07	3.6918498e-06	-8.9641733e-06	1.4049407e-06	3.3711172	7.0997605e-05	3.1794814e-05	6.9544929e-05	1.6452045	2.857299	2.2038298	-0.11119891	0.38642392	-0.081862314	2.3435984	-6.2082231e-05	-1.0436366e-05	-1.3516735e-06	3.0276345e-06	-7.0437471e-06	0.00036112091	3.3711024	2.1	1	0.2	-0.00027376868	-6.427284e-06	-2.5756211e-06	-5.2620435e-06	5.1672405e-06	-7.790055e-06	0.22153927	1.7328956e-05	1.7001125e-08	0.24941739	0.39662682	1.2699218	1.6665486	-0.54955026	-0.156268	0.068259501	0.18422031	1.999047	1.5663185	1.9930268	0.01045787	1.9932015	1.9953585	1.9953578	1.7139704	1.178197	0.11036202	-2.4839975e-06	-6.4426585e-06	8.0690034e-06	2.0065366e-06	-0.24650102	1.2283765e-05	1.2115819e-06	-7.6612046e-06	-1.5939304e-05	-1.1271688	-0.18806698	-0.062887487	-0.032819015	0.037278838	0.1765426	0.00013917917	-0.021944713	1.8103585e-06	-5.7734861e-07	2.9156264e-05	2.2188572e-07	-0.97749582	4.793397e-07	-2.3215998e-06	-9.7977808e-05	-0.18848367	-1.1261825	-0.03023626	-0.07833333	-0.17654209	-0.037278528	-0.021943072	3.0103924e-05	2.5380733e-07	6.3682504e-06	2.4858445e-07	2.0450384e-05	-2.8081765e-06	-0.9774937	0.00019226893	2.4287551e-06	2.0198606e-06	1.776589e-05	-3.1655841e-06	5.7908288e-06	-0.24651848	-7.0028122e-06	2	2	0	0	-126.46154	R0:S0:1	1.178197	-82.48	uncorrelated	2	ffd36c5	v2.0.4	YY	3	sharp_wc_2.0_b_50	 1.23e+03	 8.25e-05	CDMFT_Supra_AF_8b.py	2023-06-28@11:57
