model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.2419684	0	0	10.75	0	0.074815073	-3.4477584	-5.6366309	0.29355071	-4.8987373	-0.19961784	-0.19956774	-5.2063587	0	2.5	11.865	1.8490017e-06	-5.5913478e-06	1.5941647e-06	-3.9494196e-06	3.2315421e-05	2.5830951e-05	-0.1866617	-0.00038655017	2.2628333e-06	-7.416988e-06	1.3452755	-0.62700247	2.0759323	2.4762217	0.17241198	-0.3408609	0.021228629	2.2614024	0.00089583905	-0.0005884003	-0.0011359868	-0.00056333158	2.4394986	0.012182582	7.3028961e-06	5.3885526e-06	-0.62654047	1.3448832	2.4764071	2.0763416	0.34086634	-0.1724278	2.2613415	-0.012391145	-0.00056264724	0.00089062999	-0.00056486931	-0.0011488231	-0.020886774	2.4395668	2.1	1	0.2	-0.12082691	1.0921543e-05	2.2436892e-06	-8.6910594e-06	-0.00023855128	-0.18668707	-2.185009e-05	-1.5742536e-05	0.0010016147	0.083560502	0.44568002	1.258348	1.704028	-0.57837719	-0.2006778	0.083613733	0.42440742	0.16720938	1.8991558	1.5423391	0.10369023	1.9095122	1.3658974	1.3658187	1.7733502	1.4176811	-4.2904456e-06	7.4406281e-06	-3.528999e-06	1.1893295e-05	8.6546103e-06	-0.00014323657	2.4039779	-0.006153418	2.4335049e-06	2.0860476e-05	-0.39474706	-0.12501639	-0.82267639	-0.56014364	0.076891486	0.31675568	-0.0051653673	-0.23324252	-0.0070385445	0.001365621	0.0073927299	0.0014936356	-0.56762369	-0.0012359339	-6.8427582e-06	-1.4268828e-05	-0.12516513	-0.39452015	-0.56011209	-0.82277292	-0.31677842	-0.076875246	-0.23323539	0.0029942512	0.0013389692	-0.0070141889	0.0015105701	0.0074155017	0.0020841629	-0.56764278	1.2208363	-5.9934497e-06	-5.9308546e-06	1.3081242e-05	-0.001400893	2.4039539	0.00014583283	3.0358982e-05	2	2	0	0	-95.518432	R0:S0:1	1.4176811	-74.92	uncorrelated	2	8eae08f	v2.2.3	YY	28	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2023-10-19@16:40
model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.2423644	0	0	10.75	0	0.074610827	-3.448881	-5.6368514	0.29346068	-4.8987588	-0.19942936	-0.19934122	-5.2055791	0	2.5	11.865	-6.4438765e-07	-6.4543086e-06	9.6483965e-09	-1.7892405e-07	1.8154606e-05	2.4740492e-05	-0.18661157	-0.00034449749	4.3731455e-06	-4.1151676e-06	1.3461291	-0.62576118	2.0752311	2.4768933	0.17240972	-0.34082274	0.02676286	2.2614836	0.00084757465	-0.00056735118	-0.0011041703	-0.00055535765	2.4391889	0.012420719	-1.9595905e-06	5.7783645e-06	-0.62584406	1.3461946	2.4768555	2.0751482	0.34083054	-0.17241093	2.2613625	-0.01264909	-0.00057959703	0.00087640123	-0.00053320085	-0.0010487528	-0.026337282	2.4393114	2.1	1	0.2	-0.12080073	5.6410969e-06	5.3232003e-06	-4.5044356e-06	-0.0002297912	-0.18665455	-2.4730722e-05	-2.8981035e-05	0.00096491938	0.083437667	0.44570909	1.2583543	1.7040634	-0.57832367	-0.2006725	0.083606263	0.42440562	0.16744785	1.8990185	1.542499	0.10379215	1.9094056	1.3658208	1.3656999	1.7733935	1.4176794	9.1501402e-06	1.2308329e-05	-5.3445202e-06	-2.4933749e-06	2.940958e-05	-0.0001567774	2.4041215	-0.0059614177	-8.3662335e-07	9.613907e-06	-0.39487891	-0.12537532	-0.82232077	-0.56027166	0.076778453	0.31674881	-0.0065151962	-0.23348979	-0.0067208418	0.0013145469	0.0071078136	0.0014727532	-0.5674755	-0.0012656131	3.8658009e-06	-8.4294838e-06	-0.12534783	-0.39491336	-0.56027464	-0.82230051	-0.31676084	-0.076768731	-0.23347609	0.0030517895	0.0013599094	-0.0067924093	0.0014236273	0.0070243136	0.0026258168	-0.56750796	1.2212508	-1.8328679e-06	-2.358753e-06	9.0631027e-06	-0.0013588308	2.4040878	0.00016127816	4.652528e-05	2	2	0	0	-95.518701	R0:S0:1	1.4176794	-74.92	uncorrelated	2	8eae08f	v2.2.3	YY	28	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2023-10-19@16:40
2x2_2C_8b_C2v_L	5.2412864	0	0	10.75	0	0.074843825	-3.4478309	-5.6357321	0.29370922	-4.8986934	-0.19984424	-0.19974251	-5.205018	0	2.5	11.8646	1.2209418e-07	1.4315042e-05	9.1310755e-06	-8.780321e-07	7.8322436e-05	2.4971284e-05	-0.18665634	-0.00023447939	-3.0561367e-06	1.5890437e-06	1.3453008	-0.62647625	2.0759011	2.4762645	0.17240187	-0.34086248	0.025400117	2.2613976	0.00055365412	-0.00038560826	-0.00075166876	-0.00035072669	2.4392299	0.012038649	-2.7893792e-07	-5.9900818e-06	-0.626592	1.3454048	2.4762154	2.0758017	0.34086377	-0.1724033	2.2612943	-0.012255223	-0.00033626575	0.00055934144	-0.00035364881	-0.00066661119	-0.024994583	2.4393422	2.1	1	0.2	-0.12079414	1.6731831e-05	-7.2452907e-06	-7.410641e-06	-0.00014896173	-0.18670372	-2.7697619e-05	-7.7308053e-05	0.00062419788	0.083660383	0.44562542	1.2583367	1.7039622	-0.57846984	-0.20068522	0.083627626	0.42436237	0.1668674	1.8990617	1.5423347	0.10356703	1.909552	1.3658266	1.3656818	1.7732583	1.4176354	-7.0770901e-06	-9.0085627e-06	-6.5416965e-06	1.9172828e-06	-6.7823461e-05	-0.00014990358	2.4038807	-0.003876131	-2.0389668e-06	-2.0959455e-06	-0.39487589	-0.12520663	-0.8228567	-0.56001917	0.077027899	0.31673765	-0.0061882713	-0.23314801	-0.0043805573	0.00084568943	0.0046617678	0.00095088248	-0.56780257	-0.0012305637	-7.3764024e-07	6.7409699e-06	-0.12516855	-0.39493491	-0.56002396	-0.82283499	-0.31673733	-0.077028789	-0.23313108	0.0029530183	0.00084888014	-0.0044133511	0.00093131252	0.0045948754	0.0024864808	-0.56783698	1.2199003	-1.1167477e-05	6.5480507e-06	6.6916329e-06	-0.00087411083	2.4038156	0.00017153846	0.0001028979	2	2	0	0	-95.512423	R0:S0:1	1.4176354	-74.9168	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2023-10-19@16:42
2x2_2C_8b_C2v_L	5.2412004	0	0	10.75	0	0.074900097	-3.4479589	-5.6360228	0.29382844	-4.8989608	-0.20002986	-0.19988782	-5.2055866	0	2.5	11.8645	1.1676604e-06	-4.9345203e-06	-7.1473324e-07	-6.020675e-06	2.3898091e-05	2.7923992e-05	-0.18668906	-0.00018476484	5.2282219e-06	1.5317805e-06	1.3453132	-0.6266434	2.0760183	2.4762726	0.1724308	-0.34089342	0.025358107	2.2614658	0.00044575737	-0.00029322995	-0.00056860583	-0.00028338445	2.4393992	0.011896156	3.4736751e-06	-1.0048222e-05	-0.6266518	1.3453078	2.4762608	2.0760054	0.34089528	-0.17242722	2.2613684	-0.012116628	-0.00028802313	0.00045411787	-0.00029324518	-0.00056479069	-0.02496775	2.4394962	2.1	1	0.2	-0.12081396	4.8022548e-06	-4.257295e-06	-2.4400909e-06	-0.00011785388	-0.18675115	-2.5013102e-05	-1.8926573e-05	0.0005024443	0.083673603	0.44561817	1.2583346	1.7039527	-0.57847977	-0.20068803	0.083629094	0.42436609	0.1667888	1.8990786	1.542332	0.1035272	1.9095675	1.3659021	1.3657046	1.7732963	1.4176386	-3.7056644e-06	6.7562948e-06	4.0775545e-06	1.0059624e-05	-3.4303966e-06	-0.00017765879	2.4040038	-0.0031421141	-1.0105065e-05	-9.1728384e-06	-0.3948792	-0.12516751	-0.82288659	-0.56000902	0.077070391	0.31673644	-0.0061819242	-0.23311148	-0.0035450129	0.00068944405	0.0037322652	0.00076324632	-0.56775604	-0.0012223631	-1.8705411e-06	1.930031e-05	-0.12516511	-0.39487551	-0.56000836	-0.82288345	-0.31674252	-0.077069679	-0.23311137	0.0029127591	0.00068602332	-0.0035475135	0.00076299544	0.0037253714	0.0024788126	-0.56776852	1.2198046	-4.8885703e-06	5.6080549e-06	-5.9702956e-07	-0.00071335048	2.4038897	0.00014631464	2.7134407e-05	2	2	0	0	-95.515175	R0:S0:1	1.4176386	-74.916	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2023-10-19@16:55
2x2_2C_8b_C2v_L	5.2428443	0	0	10.75	0	0.074565437	-3.4488185	-5.6360694	0.29319346	-4.8981192	-0.19914742	-0.19901311	-5.2046306	0	2.5	11.8654	-1.2818206e-06	-1.4995504e-05	-9.5833381e-07	2.9847181e-06	5.1817123e-05	2.5269367e-05	-0.18653702	-0.00017472787	4.9817904e-06	-6.3148422e-06	1.3458006	-0.62632869	2.0752956	2.476428	0.17235128	-0.34075064	0.024260664	2.2612828	0.00041255653	-0.00028798714	-0.00052975035	-0.00024743323	2.4389322	0.0089487549	1.3488084e-05	1.3108249e-05	-0.62615638	1.3456507	2.4765098	2.0754596	0.3407662	-0.1723697	2.2611819	-0.0091006158	-0.00023822317	0.00041230048	-0.00025230373	-0.00049198351	-0.023881588	2.4390328	2.1	1	0.2	-0.12077957	7.548987e-06	1.9556773e-05	-1.1737758e-05	-0.00010895824	-0.18659404	-2.3374324e-05	-4.6045741e-05	0.0004502498	0.083402057	0.44574427	1.2583625	1.7041068	-0.57825979	-0.20066517	0.083595819	0.4244448	0.16762471	1.8991209	1.5423911	0.10386941	1.9093993	1.3658191	1.3656029	1.7733531	1.4177204	2.1886844e-05	1.0468766e-05	-2.0111237e-06	1.8758307e-06	-4.1608633e-05	-0.00016025959	2.4041701	-0.0027668942	8.932314e-06	2.9455269e-05	-0.39468299	-0.125185	-0.82237444	-0.56032835	0.076710686	0.3167393	-0.0059176019	-0.23348793	-0.0031909053	0.00063108341	0.0033375685	0.00066219068	-0.56752153	-0.00093415336	-1.1317555e-05	-2.6503883e-05	-0.12523835	-0.39459128	-0.5603249	-0.82240566	-0.31677445	-0.076673314	-0.23348504	0.0021741873	0.00061044349	-0.0031875503	0.00066904917	0.0033234158	0.0023702622	-0.56752894	1.221596	-3.2311144e-06	-2.4687419e-05	1.5363465e-05	-0.00062876707	2.4040372	0.00013616704	6.6092723e-05	2	2	0	0	-95.51452	R0:S0:1	1.4177204	-74.9232	uncorrelated	2	8eae08f	v2.2.3	YY	11	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2023-10-19@17:11
2x2_2C_8b_C2v_L	5.2409973	0	0	10.75	0	0.074919119	-3.4474909	-5.6362742	0.29389231	-4.899204	-0.20006869	-0.19999079	-5.2056888	0	2.5	11.8644	5.8626153e-07	1.4742823e-05	-7.3578396e-06	2.8319328e-06	-5.1986182e-06	2.5973334e-05	-0.18671316	-0.00018783819	-3.6302044e-06	1.206038e-05	1.3450933	-0.62657303	2.0762194	2.4763568	0.17247227	-0.34090671	0.025225048	2.261549	0.00044450932	-0.00028785239	-0.00055046827	-0.00028324793	2.4394352	0.012013749	-2.6469846e-06	-9.3544172e-06	-0.62678154	1.3452691	2.476266	2.0760335	0.34089962	-0.17245706	2.2614483	-0.012227239	-0.00028535876	0.00043462082	-0.00027826071	-0.00057165712	-0.024821515	2.4395372	2.1	1	0.2	-0.12083181	-4.3823978e-06	-7.8464205e-06	-9.6740129e-07	-0.00011836919	-0.18675426	-2.6773028e-05	1.1017781e-05	0.00049445674	0.083676295	0.44560719	1.2583319	1.7039391	-0.57850812	-0.2006904	0.083634149	0.42436157	0.1667837	1.8990892	1.5423361	0.10351284	1.9095626	1.3658479	1.3657523	1.7733106	1.4176336	-1.6014819e-05	-5.1095834e-06	1.4596476e-05	-1.2705181e-05	3.178272e-05	-0.00015911411	2.404002	-0.0030639545	-6.2386957e-08	-2.6559129e-05	-0.39479287	-0.12518226	-0.82289465	-0.5600158	0.077041594	0.31673075	-0.0061384724	-0.23313523	-0.0034861416	0.00067711205	0.0036502203	0.00074303286	-0.56772481	-0.0012220247	9.3109349e-08	2.2548329e-05	-0.12511602	-0.39489756	-0.56002634	-0.82285499	-0.31671034	-0.07706517	-0.23312386	0.0029515105	0.00066749421	-0.0034682632	0.00075165831	0.0036738711	0.002474931	-0.56774995	1.2198372	-1.5402316e-06	1.3813586e-05	-6.7071423e-06	-0.00069283823	2.403988	0.00016151046	-9.1075366e-06	2	2	0	0	-95.515234	R0:S0:1	1.4176336	-74.9152	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2023-10-19@17:13
2x2_2C_8b_C2v_L	5.2431949	0	0	10.75	0	0.074449491	-3.4482357	-5.6366763	0.29318144	-4.8980985	-0.19907614	-0.19897107	-5.2049307	0	2.5	11.8655	-2.2129347e-06	7.2339297e-06	6.9273741e-06	-3.8080764e-06	3.4344709e-05	2.39912e-05	-0.18654883	-0.0001976317	3.5488053e-06	4.079367e-06	1.3458509	-0.62612312	2.0751645	2.4766681	0.17239995	-0.34074281	0.024330639	2.2613483	0.00045128667	-0.00030170509	-0.00059553084	-0.0002863051	2.4389392	0.0089793288	-3.2720692e-06	3.6177622e-06	-0.62588998	1.3456532	2.4767677	2.0753732	0.34075277	-0.1724153	2.261237	-0.0091396804	-0.00028096162	0.00045357881	-0.00028255616	-0.00055882298	-0.023954484	2.439048	2.1	1	0.2	-0.12079131	1.202815e-05	-7.4575664e-06	-2.6118693e-06	-0.00012313423	-0.18660316	-2.4290187e-05	-3.9999209e-05	0.00049905864	0.083288171	0.44577609	1.2583682	1.7041443	-0.57821136	-0.20066301	0.083589818	0.4244839	0.1678848	1.8991361	1.5424353	0.10395767	1.9093194	1.3658147	1.3656856	1.7734603	1.4177594	2.4688719e-05	-1.2902979e-06	-8.830209e-06	4.2391472e-06	-1.8601472e-05	-0.00014118905	2.4043914	-0.0030717982	-7.3211367e-06	-4.5826939e-07	-0.394588	-0.1252087	-0.82212979	-0.56050244	0.076567774	0.31672978	-0.0059215319	-0.23368578	-0.0035215043	0.00068191323	0.0037343984	0.00076050111	-0.56726341	-0.00092550913	9.3811352e-06	-1.946522e-06	-0.12528345	-0.39447088	-0.56049107	-0.82217424	-0.31675382	-0.076540608	-0.2336709	0.0021950261	0.00068206081	-0.0035369362	0.00075228853	0.00370292	0.0023900871	-0.56728821	1.2222395	-5.860565e-06	8.9981901e-06	5.672228e-06	-0.000691809	2.4043601	0.00015233542	5.5516879e-05	2	2	0	0	-95.515547	R0:S0:1	1.4177594	-74.924	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2023-10-19@17:22
2x2_2C_8b_C2v_L	5.2408494	0	0	10.75	0	0.07494674	-3.447802	-5.6360291	0.29389854	-4.8988708	-0.2000885	-0.19998118	-5.2054363	0	2.5	11.8643	-1.9320421e-06	4.3721622e-06	8.5829381e-06	5.3365346e-07	2.5958311e-05	2.6939025e-05	-0.18669364	-0.00016414362	-5.7397309e-06	-2.193052e-06	1.3453388	-0.6266138	2.0760134	2.4762919	0.17242979	-0.34089903	0.025378213	2.2614581	0.00040582833	-0.0002707576	-0.00051294668	-0.00025039652	2.4393994	0.01181058	6.5180527e-06	1.2181057e-05	-0.62660331	1.3453222	2.4762998	2.076028	0.34090252	-0.17243567	2.2613561	-0.012020384	-0.00025549251	0.00039453689	-0.00025300066	-0.00049461818	-0.02498127	2.4395053	2.1	1	0.2	-0.12082364	1.5891925e-05	-1.2403372e-06	-3.8227271e-06	-0.00010712836	-0.18674379	-2.8154724e-05	-2.2724967e-05	0.00045185927	0.083721898	0.44559236	1.2583294	1.7039218	-0.57852868	-0.2006909	0.083636709	0.42433313	0.16666719	1.8990493	1.5423461	0.10347515	1.909585	1.3658199	1.3656738	1.7732537	1.4176051	1.8447045e-05	-3.0781401e-06	-9.0550529e-06	2.5118386e-06	-8.3357543e-06	-0.00016619061	2.4038817	-0.002794088	1.7066218e-05	1.5246464e-05	-0.3949741	-0.12518079	-0.82293149	-0.55994559	0.077123756	0.31671943	-0.006181553	-0.23307457	-0.0031663729	0.00062206087	0.003316685	0.00066971067	-0.56785526	-0.001208908	-1.1353525e-05	-2.3130877e-05	-0.12518508	-0.39496285	-0.55994713	-0.82293097	-0.31672885	-0.077109771	-0.23306486	0.0028946116	0.00061278132	-0.0031600886	0.00067413964	0.0033117706	0.0024860448	-0.56787766	1.2195259	-9.3752892e-06	-3.3956827e-06	5.675036e-06	-0.00063409139	2.4038179	0.0001644887	3.4074816e-05	2	2	0	0	-95.513588	R0:S0:1	1.4176051	-74.9144	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2023-10-19@17:23
2x2_2C_8b_C2v_L	5.2276132	0	0	10.75	0	0.076625609	-3.4403538	-5.648739	0.30037994	-4.9094117	-0.20637002	-0.20628158	-5.2134371	0	2.5	11.855	-2.3003559e-06	-1.3440437e-05	-1.1947763e-06	-1.0349243e-05	2.1064505e-05	2.4753558e-05	-0.18769352	-0.0003922636	1.0621178e-05	-6.5067677e-06	1.3461783	-0.62543041	2.0790085	2.4804938	0.17379971	-0.34221008	0.017016475	2.2648127	0.00092306367	-0.00059377322	-0.001178365	-0.00058261224	2.4431148	0.010948556	4.8072212e-06	-1.0641112e-05	-0.62493724	1.3457641	2.4806976	2.0794343	0.3422247	-0.17382203	2.2647794	-0.01114231	-0.00057518198	0.00091988983	-0.00057317082	-0.0011868041	-0.016740014	2.4431476	2.1	1	0.2	-0.12134446	5.264311e-06	3.162469e-06	-7.3856502e-06	-0.00023774377	-0.18772612	-1.8698495e-05	-9.9013153e-06	0.0011469712	0.08520883	0.44458312	1.2581062	1.7026893	-0.58031162	-0.20085767	0.083921648	0.42335058	0.16170974	1.8981989	1.5432118	0.10112727	1.9101906	1.3654149	1.3652543	1.7731087	1.4165858	4.1026768e-05	1.3677531e-05	7.4339437e-07	2.3559773e-05	1.9673942e-05	-0.00014008648	2.4035129	-0.0071797614	-1.762826e-05	7.0120138e-06	-0.39776349	-0.12582443	-0.82394376	-0.55835271	0.07885313	0.31598798	-0.0041510996	-0.23197245	-0.0078164512	0.0014562616	0.0082027157	0.0016106201	-0.56905072	-0.0011155614	-4.1912382e-07	1.4068622e-05	-0.12598071	-0.39751652	-0.55832829	-0.8240355	-0.31602608	-0.078811721	-0.23197785	0.0026817383	0.0014421915	-0.0078056133	0.0016163961	0.0082136389	0.0016508555	-0.56904743	1.2093108	-3.4692386e-06	-4.1622957e-06	9.6446759e-06	-0.0016268359	2.4033848	0.00011337764	2.167765e-05	2	2	0	0	-95.53957	R0:S0:1	1.4165858	-74.84	uncorrelated	2	8eae08f	v2.2.3	YY	12	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2023-10-19@17:25
