model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	6.3167784	0	0	10	0	-0.24438324	-4.2489868	-5.6702881	0.64628659	-4.9307616	-0.49789743	-0.49792543	-5.7862402	0	3	11.195	-2.6815026e-05	-2.2418103e-07	-1.4851633e-07	-1.6215272e-05	-7.1875339e-05	1.016696e-05	-0.26458086	3.9904313e-06	1.7595699e-05	4.8688398e-06	2.5350938	0.82095511	0.77040508	2.6286853	0.13408303	-0.51191382	0.0011069244	2.3475668	9.366878e-06	3.7247399e-05	5.7154917e-05	1.3785557e-05	2.8699993	0.0024202897	-2.0759106e-05	-3.2449675e-05	0.81966415	2.5354695	2.6292304	0.76873231	0.51194927	-0.13398705	2.3475634	-0.0025124849	-1.9722442e-05	-1.6838682e-05	-2.8039869e-06	-5.4459128e-05	-0.0010549401	2.8700051	2.1	1	0.2	-0.12175092	-5.6165856e-06	-6.3858071e-06	6.6552478e-06	7.9535108e-06	-0.26456412	-1.6200308e-05	8.837604e-05	-3.5286364e-08	0.19740162	0.43003733	1.2363388	1.6663761	-0.65624689	-0.2465602	0.10627564	0.30695507	1.998563	1.4125452	1.8791202	0.037454801	1.9850008	1.9802301	1.9802268	1.464527	1.295093	2.836461e-05	8.759855e-06	-1.9399391e-06	2.4926293e-05	5.0886693e-05	-3.7851804e-05	0.50116127	-1.7995902e-06	-2.668127e-05	1.4224497e-05	-1.1627855	-0.32147781	-0.48820533	-0.17603271	0.086085139	0.31389815	-0.00054261381	-0.039381434	-2.0509572e-05	-6.8126132e-06	-0.00014782582	2.5675406e-06	-1.2285068	-4.2212578e-05	-4.6059224e-06	5.9422032e-05	-0.32138507	-1.1630676	-0.17621116	-0.4875794	-0.31390707	-0.086099056	-0.039382032	0.00123066	5.7322173e-06	4.4457622e-05	-3.9726177e-06	0.00013750883	1.7938281e-05	-1.2285072	0.12451923	2.7195599e-06	8.2159566e-06	-6.3566355e-06	-9.0133581e-06	0.50112163	3.9878496e-05	-6.5483905e-05	2	2	0	0	-98.987137	R0:S0:1	1.295093	-65.56	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_ep=three_up_down.py	2023-10-10@08:14
model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	6.3167777	0	0	10	0	-0.24447017	-4.248967	-5.6703421	0.64627901	-4.9308939	-0.49792111	-0.49793069	-5.7863156	0	3	11.195	-2.8172828e-05	3.247448e-07	7.8680953e-06	-8.8766546e-06	-6.4915929e-05	1.0675578e-05	-0.26458355	1.4699101e-06	-6.2909645e-06	1.5446305e-05	2.5350903	0.82097155	0.77039075	2.6286877	0.13406994	-0.51190176	0.0011374574	2.347598	7.399747e-06	2.4131143e-05	4.8050354e-05	1.291651e-05	2.8700223	0.002408662	1.2124703e-05	-2.6035454e-05	0.81967272	2.5354707	2.6292428	0.76871385	0.51193864	-0.13397116	2.3475922	-0.0025018688	-9.3063428e-06	-2.2388161e-05	5.895448e-06	-5.4022867e-05	-0.0010892402	2.8700232	2.1	1	0.2	-0.12177652	5.6259765e-06	-6.8233689e-06	-2.0555379e-06	7.8662055e-06	-0.26457264	-1.2930051e-05	8.2017111e-05	-2.5291242e-07	0.19740151	0.43003733	1.2363387	1.6663761	-0.65624692	-0.24656029	0.10627567	0.30695445	1.9985625	1.4125401	1.8791237	0.037454044	1.9850008	1.9802294	1.9802267	1.4645308	1.2950923	2.9723484e-05	5.3222424e-06	-9.923631e-06	1.3646056e-05	4.4811869e-05	-3.8021782e-05	0.50116394	1.1629002e-05	3.9627944e-06	8.678751e-06	-1.1627884	-0.32148052	-0.48819799	-0.17603027	0.086086428	0.31389405	-0.00055678414	-0.039381626	-1.1646267e-05	-5.8263466e-06	-0.00012877758	1.3791664e-06	-1.2285042	-4.2278191e-05	-2.0382566e-07	4.1108359e-05	-0.32138725	-1.1630719	-0.17620973	-0.48756926	-0.31390382	-0.086100462	-0.039382698	0.0012251494	5.3151044e-06	6.1623692e-05	-4.9505464e-06	0.00013302358	1.9353585e-05	-1.2285041	0.12454364	-1.5410761e-06	1.0127812e-05	7.5928615e-06	-9.4722608e-06	0.50113186	3.3737062e-05	-6.0838228e-05	2	2	0	0	-98.987864	R0:S0:1	1.2950923	-65.56	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_ep=three_up_down.py	2023-10-10@08:14
2x2_2C_8b_C2v_L	6.3165125	0	0	10	0	-0.25088013	-4.2426847	-5.6676128	0.65184949	-4.9321342	-0.50299202	-0.50285875	-5.7713486	0	3	11.19	-4.5875877e-05	-3.2802802e-06	-3.6054248e-05	1.3385196e-05	3.5475538e-05	5.7016492e-06	-0.26453714	-1.1249959e-05	-6.6405631e-05	3.7625264e-07	2.5339741	0.81822399	0.7737269	2.6304553	0.13402374	-0.51208179	0.0021871748	2.3489442	1.6031999e-05	1.1424717e-05	-4.1742712e-05	2.0157683e-06	2.8676121	-0.0010676979	6.977647e-06	1.7628386e-05	0.81708068	2.5343066	2.6309281	0.77224677	0.51212749	-0.13389601	2.3489283	0.0010959662	2.9416476e-05	1.0245583e-05	-7.2403398e-06	7.0872733e-06	-0.0021192586	2.8676023	2.1	1	0.2	-0.1222508	-4.7440579e-05	8.4282241e-06	7.2259465e-07	6.2767242e-06	-0.26458471	-9.7694842e-06	-3.5941381e-05	7.3710598e-07	0.19735402	0.43004339	1.2363331	1.6663765	-0.65627266	-0.24657928	0.10628373	0.30709205	1.9985512	1.4130726	1.8785579	0.037503484	1.9849962	1.9802089	1.9802168	1.4639491	1.2952244	4.760922e-05	-9.2510878e-06	4.0039914e-05	-1.7435658e-05	-2.7011705e-05	-1.8101319e-05	0.50141762	-4.3801675e-05	0.00012352363	-8.508692e-06	-1.1621849	-0.32147427	-0.48937183	-0.17653035	0.086179957	0.31407361	-0.0010700318	-0.039414918	-6.9549269e-05	2.4681611e-06	0.00013651814	1.3604991e-07	-1.2288784	1.9100318e-05	2.9225102e-05	-3.6208264e-05	-0.32139033	-1.1624338	-0.17668612	-0.48881966	-0.31408098	-0.086201335	-0.039415282	-0.00053562437	-1.9613263e-06	-5.8057633e-05	2.6230514e-06	1.2467651e-05	3.6800703e-05	-1.2288778	0.12500942	1.5672438e-05	-1.1796587e-05	-3.8176167e-06	-1.1130475e-05	0.50151567	1.9127588e-05	2.6108722e-05	2	2	0	0	-98.954841	R0:S0:1	1.2952244	-65.52	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_ep=three_up_down.py	2023-10-10@08:22
2x2_2C_8b_C2v_L	6.3169515	0	0	10	0	-0.23623482	-4.2533743	-5.672842	0.64116348	-4.9296004	-0.49267901	-0.49284551	-5.7985245	0	3	11.2	-3.2004967e-05	1.6771284e-06	1.4665713e-06	-2.4972362e-06	7.3375139e-05	-2.4830285e-06	-0.26453631	5.1805968e-06	7.7683206e-07	5.0453972e-07	2.5342211	0.81900937	0.77336932	2.6288678	0.13479319	-0.51214877	-0.00072010191	2.3462096	-2.428712e-06	-2.99548e-05	-1.8824979e-05	2.6809173e-06	2.871724	0.0010539196	-1.1284646e-05	-2.9081692e-06	0.81729158	2.5347307	2.6295785	0.77112092	0.51217892	-0.13465305	2.3462013	-0.0010813466	2.2943161e-05	1.3984872e-06	-5.7514944e-06	4.9713456e-05	0.00070438718	2.8717215	2.1	1	0.2	-0.12056246	-5.6269622e-06	-2.9336143e-06	4.1170896e-06	-5.7502315e-07	-0.26449265	-6.2738924e-06	-6.9973731e-05	-4.9166169e-07	0.19743484	0.43003322	1.2363424	1.6663756	-0.65623002	-0.24654775	0.10627035	0.30685763	1.9985885	1.413004	1.8786909	0.037434273	1.9850035	1.98025	1.9802442	1.464957	1.2949982	3.4334453e-05	-5.7945934e-06	-1.2933232e-06	4.1196716e-06	-5.7451877e-05	-2.3575599e-06	0.50083622	2.6317918e-05	4.0096722e-06	1.3328827e-06	-1.1623617	-0.32122195	-0.48937899	-0.17619996	0.085894139	0.3138496	0.00035455209	-0.039354655	2.7663576e-05	2.9557504e-06	3.1532949e-05	-1.8053492e-06	-1.2282294	-1.712289e-05	2.1443572e-06	4.7212725e-06	-0.32109927	-1.162742	-0.17643786	-0.48853805	-0.31384561	-0.085920278	-0.039355263	0.00053163246	-6.2346282e-06	1.6173444e-05	1.9767234e-06	-0.0001496325	-1.091832e-05	-1.2282291	0.12337983	3.3477586e-06	1.7097568e-06	-6.4876923e-06	6.436175e-06	0.50076116	7.3363003e-06	4.6197559e-05	2	2	0	0	-99.006624	R0:S0:1	1.2949982	-65.6	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_ep=three_up_down.py	2023-10-10@08:22
2x2_2C_8b_C2v_L	6.3172258	0	0	10	0	-0.22962871	-4.2586261	-5.6723644	0.63558233	-4.9267988	-0.48751106	-0.48756396	-5.810758	0	3	11.205	7.5368852e-05	-9.5864058e-07	-6.0210039e-06	1.2347085e-05	3.2211373e-05	4.3636343e-06	-0.26438972	-2.6890995e-06	-3.4885778e-05	-3.7184541e-05	2.5346577	0.81578813	0.77151802	2.6287879	0.13497455	-0.51202747	-0.0015093963	2.3444321	1.43643e-05	-1.0961498e-05	-1.3303643e-05	-2.5453774e-07	2.8734068	0.0024551063	-9.1206775e-06	-4.2452634e-06	0.81848482	2.533862	2.6276349	0.77503279	0.51193255	-0.13522145	2.3444283	-0.002539197	1.4116757e-05	-1.7516457e-05	-1.1605707e-06	-1.1665322e-05	0.0014558395	2.8734149	2.1	1	0.2	-0.11973217	-2.479208e-05	7.4038589e-06	1.2847437e-05	1.733521e-06	-0.26435589	-1.5940254e-06	-2.131316e-05	5.866849e-07	0.19748115	0.43002695	1.2363491	1.6663761	-0.65620535	-0.24652648	0.1062615	0.30675708	1.998607	1.4132718	1.8784757	0.037375044	1.9850128	1.9802811	1.9802727	1.4653996	1.2949065	-7.9546415e-05	-3.0032361e-08	4.6218171e-06	-1.942089e-05	-3.1216347e-05	-1.8867019e-06	0.50034955	-2.355452e-05	7.0117326e-05	9.1990276e-06	-1.162701	-0.32080826	-0.48889818	-0.17652133	0.085747114	0.31363136	0.0007447743	-0.039307268	-5.1463855e-05	1.8221002e-06	5.3115013e-05	1.1750705e-06	-1.227956	-4.0768848e-05	1.8357538e-05	2.2635371e-05	-0.32100272	-1.162105	-0.17614601	-0.49021554	-0.3136105	-0.085710934	-0.039304328	0.0012492581	1.5946804e-06	2.3503645e-05	-9.0361447e-07	4.2853432e-05	-2.1915123e-05	-1.2279558	0.12256279	1.2021865e-05	-7.2384657e-06	-1.5906717e-05	-7.523024e-06	0.50024849	1.6035618e-05	6.541518e-06	2	2	0	0	-99.020808	R0:S0:1	1.2949065	-65.64	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_ep=three_up_down.py	2023-10-10@08:31
2x2_2C_8b_C2v_L	6.3162581	0	0	10	0	-0.25706689	-4.2335416	-5.6576277	0.65668008	-4.9344745	-0.50780602	-0.50846716	-5.7572577	0	3	11.185	-7.9614227e-05	-4.3386394e-06	6.0563667e-06	1.5141986e-05	-0.00012260474	1.6527207e-05	-0.26474659	-8.3976805e-06	-6.2673964e-05	-3.1667403e-05	2.5300331	0.81094439	0.78520593	2.6321327	0.13411013	-0.51192887	-0.0035120309	2.3505814	4.2314358e-05	4.2243537e-05	5.119035e-05	5.8901721e-07	2.8654489	0.0062604395	2.6988481e-05	1.387463e-05	0.8074559	2.531061	2.6335939	0.7806992	0.51203118	-0.13382021	2.3506072	-0.0064568387	-5.294138e-05	-2.2954557e-05	-2.1065635e-06	-7.0725423e-05	0.0034316911	2.8654283	2.1	1	0.2	-0.12261924	-4.7680054e-06	7.8536067e-06	8.6967349e-06	-6.7543641e-06	-0.26454316	-7.9870102e-06	0.00011939552	3.1216638e-07	0.19731223	0.43004872	1.236328	1.6663767	-0.65629809	-0.24659691	0.10629132	0.30723906	1.9985412	1.4147217	1.8767936	0.037525444	1.984989	1.9802002	1.9801712	1.4634116	1.2953679	8.3974161e-05	-1.9800531e-06	-9.4627479e-06	-2.0906208e-05	9.0791087e-05	-5.499881e-05	0.5021262	-2.0556001e-05	0.00010241339	-6.7616362e-07	-1.1601987	-0.32113249	-0.49388305	-0.17759165	0.086173272	0.314094	0.0017178426	-0.03944766	-0.00011600564	-8.3317056e-06	-0.00011301683	4.9639048e-06	-1.2292278	-0.00010721665	2.2815356e-05	-1.6063737e-05	-0.32087741	-1.1609674	-0.17807124	-0.49219754	-0.31411629	-0.08621735	-0.039454008	0.0031555299	1.0538302e-05	3.5680281e-05	-3.3414321e-06	0.0001957507	-5.7358171e-05	-1.2292242	0.12540676	3.9634655e-06	-1.0050167e-05	-6.159361e-06	5.3302576e-06	0.50175703	1.1713376e-05	-8.5554606e-05	2	2	0	0	-98.905747	R0:S0:1	1.2953679	-65.48	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_ep=three_up_down.py	2023-10-10@08:32
2x2_2C_8b_C2v_L	6.3174472	0	0	10	0	-0.22175363	-4.2631093	-5.6741239	0.63013745	-4.924796	-0.48199039	-0.48237711	-5.8237809	0	3	11.21	-3.0786274e-05	-4.8098637e-06	-1.1798537e-05	-2.1284983e-07	7.6274777e-05	5.5138375e-06	-0.26432014	1.50176e-05	-3.404692e-05	2.9505003e-06	2.5332325	0.81542789	0.7769877	2.6280542	0.13579839	-0.51204972	-0.0023070759	2.3428447	3.6254376e-06	-2.8640882e-05	-7.1572207e-06	1.3972412e-06	2.8752876	0.0045020227	-2.3251629e-05	1.2696229e-05	0.81413194	2.5336254	2.6285875	0.77527725	0.51207585	-0.13567379	2.3428598	-0.0046343989	4.4473086e-05	6.3727146e-06	6.3564138e-06	6.149539e-05	0.0022665508	2.8752902	2.1	1	0.2	-0.11857102	-1.6937647e-05	2.0033528e-06	-6.5810988e-07	1.2016125e-06	-0.2641991	-5.9440589e-06	-7.0862136e-05	-7.3388557e-07	0.19752151	0.43002163	1.236354	1.6663757	-0.65618438	-0.24651009	0.10625457	0.30664757	1.9986317	1.4137843	1.8780086	0.037339364	1.9850176	1.9803118	1.9802927	1.465879	1.2948019	3.2962019e-05	-6.2239853e-06	1.3319912e-05	3.5209326e-06	-6.0257409e-05	-2.5527707e-05	0.49997335	2.254901e-06	7.9911652e-05	-6.7516182e-06	-1.1618508	-0.3206397	-0.49104415	-0.17644349	0.085515243	0.31350193	0.0011384496	-0.039267309	1.0531582e-05	1.3061748e-06	3.3112092e-06	-1.0698002e-06	-1.2276489	-7.4562409e-05	2.0958739e-05	-2.9233322e-05	-0.32054699	-1.1621416	-0.17662406	-0.49040371	-0.31349598	-0.085539199	-0.039269232	0.0022838012	-8.8433312e-06	6.556892e-07	2.6094428e-06	-0.00018201732	-3.6087153e-05	-1.227648	0.12144306	6.7499264e-06	-6.9078005e-06	-3.3087285e-07	8.1220668e-06	0.4997315	1.594487e-05	4.7018065e-05	2	2	0	0	-99.038294	R0:S0:1	1.2948019	-65.68	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_ep=three_up_down.py	2023-10-10@08:39
2x2_2C_8b_C2v_L	6.3159561	0	0	10	0	-0.26368987	-4.2296996	-5.6630729	0.66283424	-4.9352988	-0.51293593	-0.5127721	-5.7431431	0	3	11.18	-3.4259201e-05	8.8845075e-06	-3.1426826e-05	-1.5066871e-05	-2.4349186e-05	1.2872966e-05	-0.2645967	-2.33082e-06	-3.4654247e-07	-5.7085659e-05	2.5324495	0.81434762	0.77665999	2.6334995	0.13344985	-0.51237889	0.0030470069	2.3518353	1.5772717e-05	2.0433499e-06	1.9934515e-05	8.7775478e-06	2.8632224	-0.00028633266	-3.9240399e-05	-7.9050376e-05	0.81469962	2.5323601	2.6333381	0.77710495	0.51239624	-0.13339329	2.3518324	0.00029560279	-7.7464012e-06	-1.4275391e-05	-5.6013011e-06	-1.7233463e-05	-0.0029283715	2.8632116	2.1	1	0.2	-0.123532	-8.1066381e-05	-1.3307975e-05	2.413249e-05	1.0093898e-06	-0.2646483	-1.3147017e-05	3.9700966e-05	-8.4162104e-08	0.19725662	0.43005599	1.2363208	1.6663768	-0.6563256	-0.24662009	0.10630096	0.30735936	1.9985208	1.4135583	1.8779128	0.037618296	1.9849801	1.9801636	1.9801721	1.4628706	1.2954791	3.4864482e-05	-3.1244235e-06	3.1971953e-05	2.1366807e-05	1.5911602e-05	-3.2159662e-05	0.50221446	1.0481694e-05	1.4503142e-05	4.6859673e-05	-1.1616262	-0.32159404	-0.49027307	-0.17729851	0.086472304	0.31448947	-0.0014896573	-0.039498455	-3.0296251e-05	-2.4238204e-06	-5.2444358e-05	8.8155353e-07	-1.2295609	1.0751432e-06	7.9923087e-06	0.00016885618	-0.32161774	-1.1615503	-0.17724827	-0.49043968	-0.31448459	-0.086485735	-0.039497922	-0.0001479451	2.2737861e-06	3.7378918e-05	-1.3463231e-06	4.0223971e-05	4.7500222e-05	-1.2295603	0.12629357	3.0350325e-05	1.6140764e-05	-3.6453384e-05	-8.1580745e-08	0.50232257	3.5537409e-05	-2.7688428e-05	2	2	0	0	-98.894328	R0:S0:1	1.2954791	-65.44	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_ep=three_up_down.py	2023-10-10@08:40
2x2_2C_8b_C2v_L	6.315759	0	0	10	0	-0.26877468	-4.2218434	-5.6548333	0.66751067	-4.9366545	-0.51794453	-0.51819861	-5.7309669	0	3	11.175	-7.4650739e-05	7.3714818e-07	-4.5113157e-06	2.494627e-07	5.8236377e-05	1.9119698e-06	-0.26475517	6.4352207e-06	1.8530671e-05	-1.9592335e-05	2.5292471	0.80938239	0.78657309	2.6346717	0.13393633	-0.51235344	-0.0024017377	2.3532512	-9.2553861e-06	-1.793103e-05	-2.159476e-05	-9.7683365e-06	2.8615145	0.0035894163	-1.827867e-05	6.4750754e-06	0.80660362	2.5300811	2.6358489	0.782946	0.51244599	-0.13366944	2.353259	-0.0037273886	3.4612787e-05	2.0419737e-05	5.6799096e-06	3.7826147e-05	0.0023237477	2.8615137	2.1	1	0.2	-0.12337846	-7.8023267e-06	4.7685007e-07	8.4282462e-06	5.3666378e-06	-0.26466245	-8.2091659e-06	-6.6027202e-05	3.4410233e-07	0.19722284	0.43006014	1.2363168	1.666377	-0.65634528	-0.24663372	0.1063068	0.30747049	1.9985229	1.4148827	1.8765341	0.037630537	1.9849757	1.980153	1.9801377	1.4624422	1.2955871	7.9141319e-05	-1.0715735e-06	5.1425945e-06	-9.3171677e-07	-4.3807363e-05	-1.8840948e-05	0.50276167	-2.5854747e-05	-2.4979023e-05	1.2916048e-06	-1.1599037	-0.32137445	-0.49412618	-0.17803787	0.08639327	0.31449502	0.0011720618	-0.039527195	1.5641493e-05	3.6147341e-06	6.2005205e-05	-2.2933981e-07	-1.2298359	-6.0100067e-05	-4.2772408e-06	-2.0322649e-06	-0.32117259	-1.1605242	-0.17842543	-0.4927694	-0.31451002	-0.086434877	-0.039529794	0.001818112	-5.3243535e-06	-5.4408391e-05	3.0406899e-06	-8.9591448e-05	-3.8359978e-05	-1.2298359	0.12616355	3.6723527e-06	-1.6261008e-06	-1.4085513e-05	-4.9625268e-06	0.50257038	9.8426145e-06	4.4400919e-05	2	2	0	0	-98.85115	R0:S0:1	1.2955871	-65.4	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_ep=three_up_down.py	2023-10-10@08:48
