model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.2124486	0	0	8	0	-0.080619866	-2.6152508	-4.1187132	0.22442452	-3.3603033	-0.031694055	-0.031690794	-3.3595788	0	2.5	10.6372	-6.1492021e-06	3.6666153e-06	1.4876146e-05	5.8335494e-06	-2.168498e-06	-1.2463195e-06	-0.15536029	-4.2486017e-06	-0.19914052	0.19921612	0.98093791	-0.97872581	2.1898684	2.1913535	0.29884525	-0.29889618	-0.13189306	2.1034922	4.3880493e-05	-3.8920565e-05	2.2864147e-05	2.3051602e-05	2.0993024	-0.027047277	-0.19931762	0.19923478	-0.97698169	0.97919761	2.1924964	2.1910123	0.29896439	-0.29890405	2.0995198	0.027046817	1.6505724e-05	-1.7965827e-05	-3.872741e-05	-4.8231793e-05	0.13187512	2.103262	2.1	1	0.2	5.4009227e-06	3.2202911e-05	2.1735974e-06	-1.2349284e-05	-1.0828442e-05	-0.15536645	1.6791052e-06	2.1968841e-05	-7.4598447e-08	-7.4519173e-06	0.52837422	1.2449798	1.7733541	-0.53799195	-0.26649209	0.10654264	0.67128227	1.296223	1.9938438	1.3430256	0.29906768	1.8579711	1.6549441	1.6549597	1.8579774	1.6654488	1.1351948e-05	-2.9824497e-06	-2.2520524e-05	-2.9524503e-06	2.7763572e-06	9.3256558e-06	2.1841574	6.7404374e-06	0.5078345	-0.5078763	-0.014407721	0.013377572	-0.75330259	-0.75341421	-0.28728149	0.28735474	0.015423266	-0.24598192	-0.00012455745	0.00011496191	-5.6815654e-05	-6.4424302e-05	-0.24548252	0.0031701882	0.50788331	-0.50783631	0.012542385	-0.013572739	-0.75345429	-0.75335376	-0.28742413	0.28733704	-0.24549821	-0.0031552307	-5.7835693e-05	4.9632776e-05	0.00010959054	0.00012573132	-0.01541993	-0.24592907	-5.185419e-05	-3.4673849e-05	1.8967734e-08	9.8159455e-06	4.3267906e-05	2.1842034	-4.0404313e-06	-4.4914562e-05	2	2	0	0	-82.908	R0:S0:1	1.6654488	-65.0976	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@08:57
2x2_2C_8b_C2v_L	5.2291279	0	0	8	0	-0.081159664	-2.6205339	-4.1241642	0.22419019	-3.3623149	-0.031742789	-0.031747672	-3.3622478	0	2.5	10.6472	-4.4566036e-06	8.6260747e-06	-2.481774e-05	8.2963298e-06	-1.1430523e-05	7.9634332e-07	-0.1554339	1.8311396e-06	-0.19992945	0.19992339	0.97954327	-0.97927622	2.1911897	2.1913902	0.29840607	-0.29837319	-0.13197444	2.1035403	-6.8828329e-06	-8.3543287e-06	-7.493327e-08	-8.340641e-06	2.0995242	-0.027043953	-0.19990848	0.19991125	-0.9795217	0.97980142	2.1912201	2.1910301	0.29836098	-0.29839321	2.0995608	0.027050544	-4.7631311e-05	3.5678262e-05	3.4385046e-05	3.6202248e-05	0.13198149	2.103492	2.1	1	0.2	-4.473162e-06	-4.864425e-05	3.8526361e-08	1.7808386e-05	-5.0432602e-06	-0.15543074	-2.6079205e-06	2.4259085e-06	-1.759477e-08	-2.0267202e-06	0.52900345	1.2453286	1.7743321	-0.536077	-0.26578033	0.10631598	0.67292341	1.2930478	1.9939539	1.3444433	0.29878265	1.8596224	1.6590404	1.6590285	1.8596388	1.667145	8.2719191e-06	-8.0347388e-06	3.7227552e-05	-4.9394755e-06	2.1191491e-05	7.2770812e-06	2.1756223	-2.5089596e-06	0.50975778	-0.50978513	-0.013255807	0.013133402	-0.751939	-0.75196472	-0.28823075	0.28818624	0.015253811	-0.24318334	9.6859199e-06	1.4392292e-05	-9.9371536e-07	2.4777062e-05	-0.24268773	0.0031208528	0.50979114	-0.50975433	0.01325404	-0.013376846	-0.75195182	-0.75193976	-0.28817943	0.28821331	-0.24271363	-0.0031325219	0.00013017256	-0.00010221363	-8.7319563e-05	-0.0001116213	-0.015258685	-0.24315354	4.3345238e-05	5.1283927e-05	3.9777884e-06	-1.6928073e-05	1.5104913e-05	2.1755921	2.734379e-05	-4.854553e-06	2	2	0	0	-83.003503	R0:S0:1	1.667145	-65.1776	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:10
2x2_2C_8b_C2v_L	5.2469731	0	0	8	0	-0.081946883	-2.6257601	-4.1298912	0.22376925	-3.3652996	-0.031527525	-0.03153284	-3.3650471	0	2.5	10.6572	3.2395463e-07	1.8246974e-05	1.4319475e-05	1.2782351e-05	2.310292e-06	1.4310368e-06	-0.15543523	-1.0711954e-05	-0.20069906	0.2006447	0.97959958	-0.98027527	2.1915847	2.1911531	0.29787556	-0.297829	-0.13099737	2.1038027	-1.9644676e-05	1.9612779e-05	-1.6978704e-05	-1.9831591e-05	2.0997568	-0.0237168	-0.20062491	0.20068446	-0.98064638	0.97997087	2.1909048	2.1913313	0.297812	-0.29786941	2.0998514	0.023727014	-1.219293e-05	9.9593362e-06	1.6923382e-05	1.394394e-05	0.13100156	2.1037066	2.1	1	0.2	-4.0967308e-06	1.9541971e-05	-4.5246526e-06	-3.5211136e-06	-2.1330629e-06	-0.15543563	1.097803e-07	-1.8772693e-05	-1.6686598e-07	1.0373997e-06	0.52967298	1.2456999	1.7753729	-0.53402632	-0.26501822	0.10607345	0.67454514	1.2901343	1.9940589	1.3458634	0.29829452	1.8612917	1.6631117	1.6631068	1.8612894	1.6688216	-7.4210248e-07	-1.813445e-05	-1.9031125e-05	-8.6629551e-06	-5.106533e-07	-1.1087324e-05	2.1669089	5.2942388e-05	0.51169373	-0.51170057	-0.012795907	0.013112699	-0.75055454	-0.75052006	-0.28898031	0.28893742	0.014967589	-0.24038042	5.883072e-05	-5.4469001e-05	4.897747e-05	4.7323391e-05	-0.23992935	0.0027075804	0.51169463	-0.51169561	0.013289224	-0.012972331	-0.7505169	-0.75053598	-0.28891465	0.2889784	-0.23993441	-0.0027134805	3.2659109e-05	-2.9222718e-05	-4.0793311e-05	-4.5754253e-05	-0.01496944	-0.24038118	3.9190983e-05	-2.0130552e-05	1.1250984e-05	7.5726944e-06	8.1998207e-06	2.1668996	4.6450228e-07	3.8442478e-05	2	2	0	0	-83.100784	R0:S0:1	1.6688216	-65.2576	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:19
2x2_2C_8b_C2v_L	5.2640825	0	0	8	0	-0.082840684	-2.6307761	-4.1360527	0.22317834	-3.367523	-0.031087994	-0.031083389	-3.3673971	0	2.5	10.6672	-8.0579706e-07	-2.9189336e-05	-2.7748351e-05	-4.0103003e-06	5.6454591e-06	-5.0407895e-06	-0.15533271	3.7727729e-06	-0.20131363	0.20141246	0.9816716	-0.97957988	2.1906638	2.1920571	0.29729886	-0.29735032	-0.13018647	2.1035959	6.7936304e-06	-9.4481475e-06	2.166105e-06	4.0109279e-06	2.0996881	-0.026015063	-0.20139417	0.20129599	-0.97971033	0.98179351	2.1919796	2.1905954	0.29733349	-0.29729308	2.0997268	0.025998521	9.3470967e-06	-3.2963326e-06	-6.8173497e-06	-1.9020031e-06	0.13017875	2.1035605	2.1	1	0.2	3.500722e-06	-5.3643546e-05	2.0113469e-05	1.5662819e-05	-5.3867368e-06	-0.15533482	1.459028e-06	-6.1762871e-06	-1.0999693e-08	-6.2548246e-06	0.53031345	1.2460568	1.7763703	-0.53206328	-0.2642829	0.10583963	0.6761935	1.287129	1.994162	1.3473083	0.29792925	1.8629693	1.6672875	1.6673019	1.8629874	1.6705261	1.5231439e-06	3.3172829e-05	3.827757e-05	5.9408032e-06	-6.7151571e-06	4.3039152e-05	2.157655	-2.2928136e-05	0.51354997	-0.51360345	-0.013284361	0.012319267	-0.74907343	-0.74917351	-0.28972227	0.28977426	0.014695553	-0.23754085	-1.8466725e-05	1.79081e-05	-1.1328106e-05	-1.432419e-05	-0.23706136	0.0029485604	0.5136064	-0.5135481	0.012379592	-0.013344703	-0.7491698	-0.74907139	-0.28976254	0.28971897	-0.23709919	-0.0029245256	-1.5858366e-05	1.2701693e-05	1.6843687e-05	1.7197003e-05	-0.01470257	-0.23750793	-3.3233112e-05	5.9467164e-05	-2.4832543e-05	-1.2911957e-05	2.8434549e-05	2.1576917	-1.289103e-05	1.8445409e-05	2	2	0	0	-83.19473	R0:S0:1	1.6705261	-65.3376	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:28
2x2_2C_8b_C2v_L	5.281075	0	0	8	0	-0.08366056	-2.6349931	-4.1418817	0.22251937	-3.370903	-0.03052687	-0.030534764	-3.3707615	0	2.5	10.6772	-4.9295155e-07	9.4918892e-06	1.8016707e-05	5.0354601e-06	6.6040862e-06	8.7598738e-08	-0.15517535	-4.6948791e-06	-0.20191635	0.20191914	0.98145882	-0.9799436	2.1910087	2.1920572	0.29679713	-0.29680813	-0.12652003	2.1036153	4.404568e-05	-2.8570584e-06	-4.4621586e-05	-1.1965914e-06	2.0999506	-0.029529503	-0.20189063	0.20188554	-0.98074901	0.98224759	2.1915328	2.190487	0.29679362	-0.29678264	2.1000107	0.02953333	-4.5043261e-05	8.4190847e-05	4.0383786e-05	4.9373457e-06	0.12653009	2.1035469	2.1	1	0.2	-7.1648822e-07	3.3863622e-05	-4.3964716e-06	-8.4258019e-06	-4.320892e-06	-0.15517528	2.716861e-07	-1.7180541e-05	4.2954287e-08	-4.9717949e-06	0.5309469	1.2464115	1.7773585	-0.53011603	-0.26354811	0.1056064	0.67786649	1.2838294	1.9942641	1.3487351	0.29785086	1.864723	1.6715895	1.6715879	1.8647481	1.6722568	8.1592062e-07	-9.6381209e-06	-2.3794573e-05	-4.3202882e-06	-1.7014702e-05	4.2975118e-06	2.1481386	2.8355312e-06	0.51535716	-0.51538482	-0.01278036	0.012082571	-0.74768238	-0.74775303	-0.29063658	0.29068338	0.014105169	-0.2345991	-0.00011905061	8.658643e-06	0.00011964128	3.1253189e-06	-0.23415296	0.0032945168	0.51538404	-0.51535297	0.012464869	-0.013162289	-0.74773556	-0.74766818	-0.29066834	0.29061909	-0.23419866	-0.0032917581	0.00012603582	-0.00023869232	-0.00011634376	-6.7283264e-06	-0.014113291	-0.23455426	4.2430948e-06	-3.8106275e-05	7.6648263e-06	6.9332971e-06	7.0081959e-06	2.1481356	-7.5099573e-06	3.0708834e-05	2	2	0	0	-83.28957	R0:S0:1	1.6722568	-65.4176	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:42
2x2_2C_8b_C2v_L	5.2979404	0	0	8	0	-0.084567611	-2.6394021	-4.1473371	0.22156214	-3.3726036	-0.029818476	-0.02983531	-3.3731445	0	2.5	10.6872	3.7828297e-06	7.3123205e-05	-1.476491e-05	2.0419512e-05	6.1476444e-06	-2.357368e-06	-0.15495258	-1.3266835e-05	-0.20247534	0.20247274	0.98239536	-0.98128162	2.1905902	2.1913705	0.29617614	-0.29618882	-0.12295046	2.1032226	-2.8411997e-05	4.7973456e-05	-5.2391518e-05	-2.6656068e-05	2.0999537	-0.02814851	-0.20248788	0.20248174	-0.98079167	0.98189464	2.191699	2.1909327	0.29621866	-0.2962108	2.099801	0.028152822	7.5721373e-05	-5.7292717e-05	-5.0856529e-05	-7.8154487e-05	0.12297077	2.1033499	2.1	1	0.2	1.3746756e-05	-3.0906589e-05	-3.9355353e-05	9.4700306e-06	6.1117705e-06	-0.15493753	-2.2506846e-06	8.7791249e-06	-6.1735297e-08	-3.7209768e-06	0.53157405	1.2467632	1.7783375	-0.5281837	-0.26281701	0.10537393	0.67952981	1.2805674	1.9943629	1.3501025	0.2978004	1.8663928	1.6758	1.6757699	1.8664352	1.6739772	-7.026504e-06	-8.2014583e-05	2.060092e-05	-1.7142093e-05	-1.4568525e-05	2.6595935e-05	2.1384987	4.418033e-05	0.51710952	-0.51712235	-0.012793014	0.012281192	-0.74629649	-0.74635602	-0.2914875	0.29152404	0.013535471	-0.23175466	7.9824604e-05	-0.00013878888	0.00013733167	7.6715563e-05	-0.23131489	0.0030929825	0.51711481	-0.51708744	0.0120448	-0.012556692	-0.74635963	-0.74631638	-0.2915779	0.29153608	-0.23135513	-0.0031097947	-0.00021295696	0.00015193216	0.00014864302	0.00021234494	-0.013556678	-0.23168783	-0.00013580769	3.3435088e-05	5.3225438e-05	-8.8231324e-06	-1.2510952e-05	2.1384082	1.9588852e-05	-2.0515967e-05	2	2	0	0	-83.378231	R0:S0:1	1.6739772	-65.4976	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:54
2x2_2C_8b_C2v_L	5.3151949	0	0	8	0	-0.085454138	-2.645046	-4.1521942	0.220411	-3.3748837	-0.02895473	-0.028951781	-3.3752133	0	2.5	10.6972	6.223103e-07	4.0332047e-07	3.2885879e-06	3.4228483e-06	-1.7276421e-07	-4.4380291e-06	-0.15463724	-1.2778821e-05	-0.20300959	0.20303509	0.9830316	-0.98255965	2.1904862	2.1908064	0.29554104	-0.29554018	-0.1257036	2.1030208	4.3177266e-06	-4.3969287e-05	-1.6819251e-05	-5.2106746e-05	2.0995266	-0.028479974	-0.20307312	0.20304335	-0.98164803	0.98211061	2.1914307	2.1911094	0.29558098	-0.29557658	2.0994368	0.028479502	-4.3719393e-05	6.0452345e-06	-4.6890075e-05	-8.6643155e-06	0.12571122	2.1030948	2.1	1	0.2	6.952239e-06	1.1828561e-05	-1.4373001e-07	-1.9910563e-06	-1.4904651e-05	-0.15463921	-5.7347045e-07	-4.8138024e-06	-9.9422661e-08	-2.7138158e-06	0.53221336	1.2471222	1.7793356	-0.52620659	-0.26206719	0.10513616	0.68117609	1.2772666	1.9944588	1.3513857	0.29786691	1.8680388	1.6799018	1.6799028	1.8680672	1.6756801	-1.1592818e-06	1.2185103e-06	-2.6745266e-06	-3.7333636e-06	1.60856e-06	5.2091936e-05	2.1287344	4.8083e-05	0.51874389	-0.51877223	-0.012540888	0.012334356	-0.744963	-0.74500401	-0.29239872	0.29238816	0.013679229	-0.22894142	-7.9307827e-06	0.00011618361	3.9553899e-05	0.00014188958	-0.22849723	0.0031030269	0.51877151	-0.51873809	0.011901522	-0.012108138	-0.74502402	-0.74499569	-0.29244325	0.29244261	-0.22852044	-0.0030969696	0.00012577357	-1.7423909e-05	0.00013212699	2.776198e-05	-0.013684909	-0.22889114	-6.9577428e-05	-1.4508459e-05	2.6434347e-06	-3.2661808e-07	3.7914575e-05	2.1287373	2.6595001e-05	1.1033354e-05	2	2	0	0	-83.468073	R0:S0:1	1.6756801	-65.5776	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:02
2x2_2C_8b_C2v_L	5.3321037	0	0	8	0	-0.086078633	-2.6489294	-4.1570057	0.21940718	-3.3777664	-0.028224351	-0.028237128	-3.3775615	0	2.5	10.7072	1.291347e-06	1.1917509e-05	8.8638616e-06	5.5237081e-06	5.8540688e-06	5.2958212e-07	-0.15434962	8.3175264e-07	-0.20334599	0.20336456	0.98385791	-0.98306965	2.1898737	2.1904036	0.2949151	-0.29492489	-0.12411015	2.1028647	-1.1329796e-05	9.3949246e-06	-2.4395651e-05	-2.4041438e-05	2.0993004	-0.026063139	-0.20344102	0.20341912	-0.98151473	0.98230697	2.1914435	2.1908975	0.29498468	-0.29497346	2.0993675	0.026070274	1.2172634e-05	-1.9825546e-05	-2.8152341e-05	-2.831383e-05	0.1241181	2.1027929	2.1	1	0.2	4.9011555e-06	1.235259e-05	-3.9458792e-06	2.5277098e-08	-8.0094964e-07	-0.15434141	3.1228437e-06	-1.0285025e-05	3.173442e-08	-2.4936321e-06	0.53283851	1.2474746	1.7803132	-0.5242717	-0.26132832	0.10490104	0.68288383	1.2733758	1.9945573	1.3527382	0.29836805	1.869789	1.6842147	1.6841961	1.8697953	1.6774468	-2.5239079e-06	-1.3130346e-05	-9.8161588e-06	-3.1568565e-06	-8.193867e-06	-2.5344355e-05	2.118579	-1.5235281e-05	0.52034418	-0.52036906	-0.012566257	0.012203273	-0.74355789	-0.7435864	-0.29348978	0.29351619	0.013328666	-0.22597249	3.2726034e-05	-2.5669577e-05	6.5308279e-05	6.9361228e-05	-0.22559723	0.0027982045	0.52036274	-0.52034722	0.011467799	-0.011830697	-0.74363391	-0.74358828	-0.29357508	0.29356215	-0.22560061	-0.0028037443	-4.1660879e-05	4.6959227e-05	8.3494544e-05	7.5687939e-05	-0.013346473	-0.22594267	-4.7369327e-05	-1.3891118e-05	6.6762496e-06	2.643936e-06	7.5924589e-06	2.1185259	-4.792551e-05	2.1629572e-05	2	2	0	0	-83.555487	R0:S0:1	1.6774468	-65.6576	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:14
2x2_2C_8b_C2v_L	5.3490077	0	0	8	0	-0.086727261	-2.6539174	-4.1614754	0.21826553	-3.3796102	-0.027382157	-0.027401112	-3.3799274	0	2.5	10.7172	1.6573746e-06	-7.1356459e-06	-4.0956232e-07	-5.7362269e-06	-1.0704604e-05	1.7840103e-06	-0.1540057	1.8729729e-06	-0.20376838	0.2037998	0.98416173	-0.98338628	2.1897219	2.1902452	0.29427088	-0.29428191	-0.12555705	2.1024419	1.3438872e-05	-3.4368818e-06	-1.7155693e-05	-1.3349048e-05	2.098964	-0.027104	-0.20383491	0.20379779	-0.98234217	0.98312377	2.1909218	2.190414	0.29430611	-0.29430236	2.0988605	0.027114306	6.9148616e-06	-4.1130657e-06	-3.1171167e-05	-2.6175317e-05	0.12556919	2.1025317	2.1	1	0.2	7.4609595e-06	-2.5985403e-06	-5.2465002e-07	3.4169121e-06	3.7858969e-06	-0.15399748	8.7852982e-07	6.2325785e-06	1.0549289e-07	-1.6298036e-06	0.53346175	1.2478264	1.7812882	-0.52233765	-0.26058773	0.10466612	0.68457081	1.2695757	1.9946536	1.3540483	0.29881005	1.8714568	1.6883976	1.6883853	1.8714719	1.6791916	-3.0183632e-06	7.6386793e-06	2.4856335e-06	2.1557698e-06	2.555775e-05	-2.0485037e-05	2.108397	-1.8385048e-05	0.52192743	-0.52194431	-0.012246419	0.011886226	-0.7421773	-0.74221172	-0.29458288	0.29458756	0.013321952	-0.22311375	-2.8832943e-05	1.8169438e-05	4.5060598e-05	3.8767941e-05	-0.22272471	0.0028710892	0.52194448	-0.52191693	0.011390002	-0.011750245	-0.74222758	-0.74220037	-0.29462602	0.29462283	-0.22273234	-0.0028821797	-1.6824114e-05	1.055464e-05	7.7935722e-05	8.592027e-05	-0.013326602	-0.22308873	-7.5575681e-05	2.9552358e-06	-1.4316814e-06	-8.3642568e-07	-2.278302e-05	2.1083567	-9.0807144e-06	-6.4719759e-06	2	2	0	0	-83.6422	R0:S0:1	1.6791916	-65.7376	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:28
2x2_2C_8b_C2v_L	5.3659575	0	0	8	0	-0.08735677	-2.6590129	-4.1663714	0.21714738	-3.3819683	-0.026535433	-0.026531416	-3.3819853	0	2.5	10.7272	-9.6853714e-07	1.1285878e-06	-6.4235193e-06	4.2450009e-06	7.5287401e-07	-1.4396549e-06	-0.15363884	5.0983066e-06	-0.20416316	0.20418965	0.9851509	-0.98410772	2.1891962	2.189926	0.2935928	-0.2936142	-0.12302408	2.1022081	-9.2208239e-06	5.0744087e-05	-6.7020989e-06	3.311187e-05	2.0987447	-0.02519034	-0.20426734	0.20424308	-0.98247664	0.98352977	2.1910086	2.1902946	0.29368447	-0.29366012	2.0987535	0.025186908	4.4785846e-05	-9.185727e-07	4.4899044e-05	-4.0492209e-07	0.12302786	2.1021976	2.1	1	0.2	-2.7777574e-06	-1.725592e-05	4.0659104e-06	6.6125209e-06	1.733061e-05	-0.15364158	-5.93257e-07	-5.4403657e-06	8.5866409e-08	-3.8186902e-06	0.53408524	1.2481787	1.7822638	-0.52039834	-0.25984365	0.10442932	0.68625477	1.265721	1.9947491	1.3554131	0.29925543	1.8731267	1.6925708	1.692574	1.8731475	1.680933	1.7805123e-06	-8.3556958e-07	9.5124181e-06	-6.7136561e-07	5.2555126e-07	2.2610269e-05	2.0980579	-1.5019573e-05	0.52351838	-0.52353873	-0.01224199	0.0117653	-0.74073409	-0.7407953	-0.29563552	0.29566789	0.012887908	-0.2202755	2.2855063e-05	-0.00014274001	2.0976434e-05	-9.6022339e-05	-0.2198729	0.002641989	0.52353921	-0.5235114	0.010999698	-0.011476753	-0.74083075	-0.7407854	-0.29575362	0.29570502	-0.219893	-0.0026361318	-0.00012156464	9.4277213e-07	-0.00011790265	-2.4027903e-06	-0.012890604	-0.22022813	2.6595945e-05	1.9887638e-05	-3.0324281e-06	-3.0967765e-06	-5.636505e-05	2.0980687	8.8500142e-06	1.2728867e-05	2	2	0	0	-83.730378	R0:S0:1	1.680933	-65.8176	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:46
