model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	4.7579432	0	0	9.25	0	-0.074990244	-4.509522	-2.9236514	0.25725184	-4.0241935	-0.15153622	-0.15180567	-4.0789973	0	2.5	10.8242	-2.5515394e-06	-1.6541053e-06	-9.1068376e-06	-1.638795e-05	-2.7432074e-05	-1.5607814e-05	-0.20057098	-1.1353861e-05	-0.20872627	0.10265498	2.1878005	2.2881428	-1.0950969	0.88406155	0.21913047	-0.35690857	-0.12010851	2.2090472	-2.8650668e-05	6.5716335e-05	-1.8959834e-05	-4.1513051e-05	2.2985181	0.018588364	-0.10262968	0.20871969	2.2879632	2.1875555	0.88440198	-1.0954278	0.35691457	-0.21912827	2.2060717	-0.019073842	4.1704618e-05	-3.1409705e-05	-4.3820544e-05	-7.0520483e-05	0.11681836	2.3016187	2.1	1	0.2	2.5333502e-05	-3.8310844e-06	-1.5020762e-05	2.2950826e-06	7.1174613e-06	-0.20042934	1.5931988e-05	3.6524565e-05	3.0883294e-07	0.045465454	0.47435449	1.2415772	1.7159317	-0.61136676	-0.25447686	0.10192534	0.49982328	1.6311558	1.3888296	1.9564511	0.20224462	1.8624094	1.370456	1.370699	1.7376889	1.4905939	3.0504625e-06	-3.1259593e-06	2.1633321e-05	2.2376915e-05	4.0839431e-05	0.00011009745	2.5470585	-1.432075e-05	0.5065823	-0.27209015	-0.87534937	-0.6712287	0.19245249	0.042505151	-0.017195574	0.36004005	0.028761908	-0.29270732	7.6268978e-05	-9.9835837e-05	0.00010508707	7.8664214e-05	-0.5445488	-0.0023936697	0.2720737	-0.50658213	-0.67123756	-0.87530512	0.042366704	0.19262985	-0.36004904	0.017202431	-0.29231588	0.004611298	-0.00010412635	9.7066581e-05	9.2229692e-05	0.00014643898	-0.015325174	-0.54528714	-0.00013658222	1.5413043e-06	2.2285941e-05	-3.5580505e-06	1.8594069e-05	2.5469689	-0.00011243104	-6.1008966e-05	2	2	0	0	-85.70119	R0:S0:1	1.4905939	-66.5936	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_U=nine.twofive_up_down.py	2023-10-10@08:25
model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	4.7579371	0	0	9.25	0	-0.074959961	-4.5093171	-2.9237544	0.25724125	-4.0239023	-0.15149049	-0.15174886	-4.0786633	0	2.5	10.8242	-1.0629784e-07	-4.3932408e-06	7.6634075e-06	-9.4699805e-06	4.5689124e-06	-1.5372342e-05	-0.20054248	1.3175741e-07	-0.20869026	0.10263504	2.1877184	2.2879611	-1.0951871	0.88431769	0.21913596	-0.35689348	-0.12014474	2.2089635	-1.2990842e-05	5.2805228e-05	-4.2690018e-05	-4.4148267e-05	2.2984173	0.018564742	-0.10262842	0.20869824	2.2879416	2.1876867	0.88434479	-1.0952189	0.35689318	-0.21911626	2.2059867	-0.019052724	4.8819907e-05	-5.6206e-05	-3.257297e-05	-3.5612401e-05	0.11684887	2.301516	2.1	1	0.2	2.5174711e-05	1.7381651e-06	-1.3588294e-05	-1.0491769e-06	1.4663945e-05	-0.2004062	1.5645843e-05	-3.0536542e-06	1.5368153e-06	0.045472481	0.474353	1.2415772	1.7159302	-0.61136796	-0.25447621	0.10192522	0.49981922	1.631166	1.3888021	1.9564605	0.20224485	1.8624052	1.3704262	1.3706642	1.7376511	1.4905902	-2.9753073e-07	8.066928e-06	-1.7601219e-05	4.4896356e-06	-5.3559205e-06	0.00011272242	2.5469966	-4.4934471e-05	0.50655434	-0.27206285	-0.8753626	-0.6712301	0.19249628	0.042410857	-0.01722597	0.36002549	0.028774105	-0.29270545	8.0096607e-05	-9.0251107e-05	0.00010496177	7.7190888e-05	-0.54460238	-0.0023917136	0.27206046	-0.50656174	-0.67122978	-0.87535704	0.042401278	0.1925141	-0.36001155	0.017203326	-0.29231084	0.0046058452	-0.00010240575	0.00010112709	8.8859107e-05	0.0001165632	-0.015329973	-0.54534209	-0.00014580036	-1.9328801e-07	1.8322341e-05	2.4591693e-06	-7.440502e-06	2.546906	-0.00010789421	4.2676698e-06	2	2	0	0	-85.699333	R0:S0:1	1.4905902	-66.5936	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_U=nine.twofive_up_down.py	2023-10-10@08:29
2x2_2C_8b_C2v_L	4.7507601	0	0	9.25	0	-0.075523488	-4.5075134	-2.9291078	0.25867207	-4.0301498	-0.1541088	-0.15439247	-4.0830597	0	2.5	10.8192	-5.2576108e-06	-2.0564659e-06	-8.0696571e-06	-1.9506379e-05	2.6987448e-05	-1.552492e-05	-0.20146061	2.387696e-06	-0.21000621	0.10078553	2.1904827	2.2871264	-1.0936201	0.88654125	0.21919727	-0.35770089	-0.11935489	2.210546	-4.5228624e-05	5.3409672e-05	-5.413474e-05	-4.9246583e-05	2.3010709	0.019653238	-0.10075112	0.20996691	2.2864439	2.1896448	0.88771487	-1.0947642	0.35765749	-0.21914724	2.2076175	-0.020186734	8.877486e-05	-3.8617107e-05	-5.4792837e-05	-1.0990581e-05	0.11598175	2.3041116	2.1	1	0.2	3.4148452e-05	-2.70606e-05	-1.1324988e-05	-3.3760823e-06	1.3708308e-05	-0.20131466	1.3546707e-05	-3.9482559e-05	-7.8498358e-07	0.046556628	0.47395226	1.2414324	1.7153846	-0.61224999	-0.25467754	0.10204147	0.4989984	1.634329	1.388406	1.9562622	0.20141301	1.8635268	1.3695937	1.3698584	1.7365855	1.4897324	1.4231755e-05	2.8252988e-07	1.8119234e-05	2.5953466e-05	-3.4855415e-05	0.00011779538	2.5468384	-5.0649953e-05	0.50670683	-0.26931191	-0.87814658	-0.6692533	0.19312898	0.042363171	-0.015074476	0.3611509	0.028690817	-0.29077527	0.00013959843	-0.00012028017	0.00011723509	9.6078622e-05	-0.54732852	-0.0025126284	0.26934038	-0.50667296	-0.66925747	-0.87803404	0.04189886	0.19376817	-0.36108228	0.014972514	-0.29038233	0.0048982089	-0.00013039389	0.00013235498	9.6252999e-05	9.0758467e-05	-0.015103157	-0.54807658	-0.00018823763	9.175024e-06	-3.9551622e-06	6.8589298e-06	1.8764246e-05	2.5467777	-8.8989936e-05	6.7358011e-05	2	2	0	0	-85.715863	R0:S0:1	1.4897324	-66.5536	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_U=nine.twofive_up_down.py	2023-10-10@08:40
2x2_2C_8b_C2v_L	4.765313	0	0	9.25	0	-0.074275194	-4.5102649	-2.9177019	0.25566467	-4.0164964	-0.14852805	-0.14886069	-4.0723857	0	2.5	10.8292	1.8597191e-06	-6.59064e-06	8.8090418e-06	-8.1858231e-06	-1.7253731e-05	-1.413418e-05	-0.19949633	-6.7265545e-06	-0.20732951	0.10454207	2.1856432	2.2884433	-1.0952658	0.88243503	0.21919359	-0.3558269	-0.11686068	2.2071893	-4.6840695e-05	6.5034991e-05	-3.0076583e-05	-4.9420662e-05	2.2953049	0.019789688	-0.10455786	0.20734054	2.2885202	2.1857365	0.88229408	-1.0951476	0.3558377	-0.2191996	2.2043761	-0.020286658	6.5674437e-05	-3.5770484e-05	-4.1076096e-05	-4.5825903e-05	0.11376353	2.2982265	2.1	1	0.2	2.9879187e-05	-4.0888204e-07	-7.4826568e-06	1.5005358e-07	1.1080417e-05	-0.1993326	1.3575004e-05	1.7231935e-05	-1.8196109e-06	0.044288019	0.4747602	1.2417262	1.7164864	-0.61046447	-0.25426414	0.10180828	0.50065405	1.6276467	1.3890676	1.9568325	0.20317104	1.861067	1.3710129	1.3713403	1.7387115	1.4914642	-2.4054085e-06	1.8322537e-05	-2.1039504e-05	-1.3545964e-08	2.5887156e-05	0.00011288896	2.5470772	-1.0426673e-05	0.50623613	-0.27507551	-0.87246712	-0.67348199	0.19085678	0.042206648	-0.019846904	0.35854867	0.027906445	-0.29503574	0.00013204168	-0.00012555281	0.00010187515	9.0041544e-05	-0.54179258	-0.00255901	0.27507852	-0.50624038	-0.67348174	-0.87248307	0.042259339	0.1907896	-0.35855302	0.0198556	-0.29465353	0.0048992376	-0.00011979727	0.00012834896	8.6750434e-05	0.00010935474	-0.015033	-0.54248608	-0.00018177277	-3.6187344e-07	-1.2294873e-05	-5.6471489e-07	2.0481032e-05	2.5470615	-9.5076287e-05	-2.7066173e-05	2	2	0	0	-85.671383	R0:S0:1	1.4914642	-66.6336	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_U=nine.twofive_up_down.py	2023-10-10@08:50
2x2_2C_8b_C2v_L	4.7432834	0	0	9.25	0	-0.076438346	-4.5072933	-2.936007	0.26055381	-4.0382278	-0.15723661	-0.1575485	-4.0902997	0	2.5	10.8142	-3.3122317e-06	9.0313531e-06	7.5407795e-08	1.567317e-05	-5.0223373e-05	-1.4921554e-05	-0.20257357	-8.4772048e-06	-0.21146041	0.09882224	2.192203	2.2865815	-1.0944695	0.888806	0.21912301	-0.35890415	-0.12135916	2.2123528	5.1479672e-05	-5.0710797e-05	6.5801047e-05	4.9754125e-05	2.3046255	0.020652359	-0.098809073	0.21145183	2.2864714	2.1920595	0.88899878	-1.0946734	0.35890478	-0.21911164	2.2093602	-0.021222976	-8.5280666e-05	3.7162063e-05	4.9561854e-05	-1.161739e-05	0.11782239	2.3077459	2.1	1	0.2	-2.9763838e-05	-2.392628e-05	1.1689838e-05	-3.360977e-06	-1.2965566e-05	-0.20241888	1.4476368e-05	5.6951427e-05	1.046253e-06	0.047819739	0.47353533	1.2412816	1.7148169	-0.61316886	-0.25488737	0.102162	0.49815677	1.638219	1.3882134	1.9558325	0.20025322	1.8649958	1.3690748	1.369362	1.7355178	1.4888513	1.0510648e-05	-1.7031137e-05	-9.017717e-07	-1.9443622e-05	7.5840053e-05	8.6783454e-05	2.5465347	6.1403443e-05	0.50701697	-0.26624909	-0.88112095	-0.66680032	0.19536629	0.042511181	-0.012194517	0.36265676	0.029281483	-0.28818457	-0.00016002852	0.00012531775	-0.00012215334	-0.00010511675	-0.55025353	-0.002614607	0.26624638	-0.507011	-0.66680536	-0.88109836	0.042430466	0.19547538	-0.36265498	0.012181743	-0.28780906	0.0051677138	0.00011398626	-0.00012041434	-7.8170099e-05	-5.2603065e-05	-0.015193851	-0.55098441	0.0001682515	7.4728987e-06	4.0473144e-06	4.1527156e-06	-2.0028385e-05	2.5464915	-0.00011679602	-8.7537121e-05	2	2	0	0	-85.751953	R0:S0:1	1.4888513	-66.5136	uncorrelated	2	8eae08f	v2.2.3	YY	8	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_U=nine.twofive_up_down.py	2023-10-10@09:00
2x2_2C_8b_C2v_L	4.7727994	0	0	9.25	0	-0.073442273	-4.5106623	-2.9109037	0.25408408	-4.0079372	-0.14522503	-0.14550003	-4.064423	0	2.5	10.8342	3.4455547e-06	5.9182891e-06	7.8762128e-06	1.3403822e-05	-7.087146e-06	-1.7157336e-05	-0.19823075	1.4753138e-05	-0.20585634	0.10658579	2.1837642	2.2889278	-1.0946872	0.88040268	0.21943976	-0.3545642	-0.11898883	2.2052753	4.5528652e-05	-8.6922561e-05	7.3511985e-05	6.7344593e-05	2.2912749	0.012758713	-0.10655413	0.20584335	2.2887517	2.183538	0.88071662	-1.0950021	0.35454801	-0.21942225	2.2022952	-0.013054028	-7.1806317e-05	5.055124e-05	7.2506951e-05	8.2886445e-05	0.115945	2.2943708	2.1	1	0.2	-4.1512087e-05	4.3438453e-06	1.086636e-05	-8.5145358e-07	-1.3147465e-05	-0.1980878	1.5023945e-05	3.2416631e-06	-2.3640528e-06	0.04300574	0.47516695	1.2418778	1.7170447	-0.60955088	-0.25404255	0.10169041	0.5014847	1.6238226	1.389284	1.9572975	0.20413344	1.8594728	1.3714314	1.3716882	1.7397638	1.4923364	-4.9787638e-06	-1.6473312e-05	-1.9065667e-05	-4.9950409e-06	9.7974852e-06	0.00013198756	2.5471245	4.7861815e-05	0.50568036	-0.27841618	-0.86935539	-0.67600441	0.18866328	0.041931108	-0.022974773	0.35668544	0.028297276	-0.29779506	-0.00012423216	0.00015722258	-0.0002213723	-0.00014840027	-0.53882941	-0.0016555015	0.27841435	-0.50567906	-0.67600784	-0.86932228	0.041804056	0.18883673	-0.3566631	0.022943829	-0.29738457	0.0031526785	0.00015873149	-0.00012822146	-0.00015083573	-0.00022430537	-0.015492013	-0.53957512	0.00025008081	-2.205733e-06	1.3001364e-05	9.804585e-07	-1.5801571e-05	2.5470523	-0.00010440199	1.2705699e-06	2	2	0	0	-85.632394	R0:S0:1	1.4923364	-66.6736	uncorrelated	2	8eae08f	v2.2.3	YY	8	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_U=nine.twofive_up_down.py	2023-10-10@09:18
2x2_2C_8b_C2v_L	4.7358063	0	0	9.25	0	-0.077327202	-4.5067086	-2.9430548	0.26227448	-4.0447234	-0.16002324	-0.16031083	-4.0954624	0	2.5	10.8092	7.1347408e-08	7.8699166e-06	-4.1133998e-06	2.0530128e-05	1.6303547e-05	-1.4623771e-05	-0.20349887	1.0907418e-05	-0.21290329	0.096933534	2.1943097	2.285936	-1.0946167	0.89118707	0.21909012	-0.35993904	-0.12006042	2.2138114	5.2632602e-05	-8.8021876e-05	6.3625984e-05	5.5906134e-05	2.3076575	0.019970801	-0.09691945	0.21290126	2.2860043	2.1943871	0.89106702	-1.0945196	0.35994754	-0.21909447	2.2108827	-0.020555587	-7.8019591e-05	5.510278e-05	5.0259211e-05	6.1919285e-05	0.11644664	2.3107206	2.1	1	0.2	-3.911999e-05	-1.7106841e-06	1.7045398e-05	-1.8537169e-07	-1.7943305e-05	-0.20335549	1.5273528e-05	-1.4883249e-05	1.1427464e-06	0.04904709	0.4731113	1.2411313	1.7142426	-0.61409147	-0.25509064	0.10228325	0.49730155	1.6418886	1.3879816	1.9554865	0.19914527	1.8663237	1.3683544	1.3686292	1.7343231	1.4879587	2.4964297e-07	-1.6682597e-05	9.7288841e-06	-2.2566395e-05	-2.4392811e-05	9.2445014e-05	2.545991	2.3045763e-05	0.50723872	-0.26334406	-0.88402978	-0.66446233	0.19707456	0.042568161	-0.0096095562	0.36396824	0.029079271	-0.28584159	-0.00014954246	0.00016415182	-0.00016407773	-0.000116251	-0.55329317	-0.0025045179	0.26332989	-0.50724145	-0.66446315	-0.88403602	0.042610313	0.1970127	-0.36398509	0.0096244209	-0.28547414	0.0050263907	0.00015142492	-0.00014200015	-0.0001085049	-0.00016113633	-0.014890831	-0.55402042	0.00021672632	6.1990854e-07	-1.0263869e-05	3.0726514e-07	-1.6137544e-05	2.5459531	-0.00011307855	2.2530085e-05	2	2	0	0	-85.777993	R0:S0:1	1.4879587	-66.4736	uncorrelated	2	8eae08f	v2.2.3	YY	8	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_U=nine.twofive_up_down.py	2023-10-10@09:19
2x2_2C_8b_C2v_L	4.7283444	0	0	9.25	0	-0.078277405	-4.5066953	-2.9498418	0.26423787	-4.0525871	-0.16304689	-0.16325045	-4.1023357	0	2.5	10.8042	-3.6367081e-06	-9.4187463e-06	-5.8262428e-06	-1.3209759e-05	-1.9847425e-05	-1.5119069e-05	-0.20448509	-4.7277321e-06	-0.21435217	0.095024976	2.1961133	2.2855856	-1.0953505	0.89329254	0.2191133	-0.36105377	-0.12099385	2.2156529	-5.4995956e-05	9.2119872e-05	-5.0572294e-05	-8.6533666e-05	2.3110858	0.019413354	-0.095049819	0.21438777	2.2860745	2.1967143	0.89243093	-1.0945206	0.36108701	-0.21915752	2.2126474	-0.020018041	6.9747612e-05	-4.6037023e-05	-4.822547e-05	-4.350824e-05	0.11722504	2.3142007	2.1	1	0.2	3.3587236e-05	-1.0066365e-05	-9.2295219e-06	8.2116751e-07	1.6092386e-05	-0.20437719	1.2684775e-05	5.0606985e-06	-5.1002446e-08	0.050261661	0.47268847	1.2409812	1.7136697	-0.61501308	-0.25529213	0.10240669	0.49645458	1.6456653	1.3878213	1.9550932	0.19794466	1.8676689	1.3677839	1.3679867	1.7332832	1.4870735	6.3780079e-06	1.7510159e-05	1.3835275e-05	1.318336e-05	2.7010751e-05	0.00011962588	2.5456234	-3.9731922e-05	0.50739483	-0.26049972	-0.88683585	-0.66213501	0.19911358	0.042715024	-0.0069855371	0.36526007	0.0293929	-0.28350342	0.00017853869	-0.00016100127	0.0001556217	0.00014452724	-0.55611319	-0.0024241217	0.26047821	-0.50742778	-0.6621305	-0.88691943	0.043048872	0.19864711	-0.36530879	0.0070655449	-0.28310186	0.0049002943	-0.00012036894	0.000137037	0.00010672977	0.00011700423	-0.01486913	-0.55686489	-0.00019017757	3.7917382e-06	-2.0970638e-05	-1.7819235e-06	1.6794084e-05	2.5455398	-8.0638686e-05	-1.4407778e-05	2	2	0	0	-85.812223	R0:S0:1	1.4870735	-66.4336	uncorrelated	2	8eae08f	v2.2.3	YY	8	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_U=nine.twofive_up_down.py	2023-10-10@09:38
2x2_2C_8b_C2v_L	4.7802369	0	0	9.25	0	-0.07272531	-4.5117325	-2.9046085	0.2525912	-3.9997756	-0.14195379	-0.14224909	-4.0571551	0	2.5	10.8392	-3.8446038e-06	7.494919e-06	1.4745762e-06	2.4790986e-05	1.4264695e-05	-1.5027632e-05	-0.19698945	2.3404677e-05	-0.20440687	0.10858375	2.1818522	2.2891498	-1.0945104	0.8791149	0.21968248	-0.3533168	-0.11343496	2.2033663	6.4950471e-05	-0.0001078019	8.2709048e-05	9.7947248e-05	2.2878909	0.010818696	-0.10859695	0.20441555	2.2892904	2.1820311	0.87885717	-1.0942665	0.3533175	-0.21968437	2.2006449	-0.011038621	-9.850781e-05	5.9248565e-05	8.7914587e-05	0.00012029994	0.1106342	2.2907102	2.1	1	0.2	-5.7156207e-05	-6.1625419e-06	2.3176071e-05	-1.7990369e-06	-1.0628367e-05	-0.19683979	1.5156765e-05	-2.161517e-05	-1.93789e-06	0.041768267	0.47556774	1.2420285	1.7175962	-0.60864522	-0.25381896	0.10157494	0.50229846	1.6201464	1.3895335	1.9577719	0.20499188	1.8579613	1.3718366	1.3721159	1.7407822	1.4931914	7.3611134e-06	-1.7607091e-05	-3.8354617e-06	-1.9356232e-05	-1.9992542e-05	0.00011540314	2.5470111	4.0687522e-05	0.50511778	-0.28173495	-0.86628315	-0.6784194	0.18672632	0.041407586	-0.026031173	0.35477982	0.026892011	-0.30041897	-0.00016765278	0.00020823148	-0.0002775714	-0.00019461237	-0.53604826	-0.0014086454	0.28173945	-0.50512419	-0.67841549	-0.8663116	0.041512502	0.18659343	-0.3547761	0.026032371	-0.30004365	0.0026655172	0.00020852276	-0.00017433258	-0.00019736617	-0.00029954248	-0.014912911	-0.53671215	0.00033904948	2.6510929e-06	-1.5889473e-05	4.9596134e-06	-3.9262095e-05	2.5469677	-0.00010261497	4.0832043e-05	2	2	0	0	-85.598671	R0:S0:1	1.4931914	-66.7136	uncorrelated	2	8eae08f	v2.2.3	YY	8	sharp_wc_2.0_b_50	self-energy	boucle_tempo_mu_U=nine.twofive_up_down.py	2023-10-10@09:46
