model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.1718526	0	0	11	0	-1.3942891	-5.4320826	-6.3897158	1.3272213	-5.7063804	-0.99732228	-0.99805397	-5.8289844	0	2.5	11.195	3.6666386e-05	-1.0444275e-05	3.3159798e-05	1.4538556e-05	0.00060366988	-4.7935416e-05	-0.19643658	5.1306701e-05	0.39449826	0.055889762	2.7456287	1.2636887	0.36921277	2.5314655	0.14843958	-0.47700332	-0.027660729	2.4670667	-0.00028768297	-0.00036416132	-0.0011060782	-8.8333836e-05	2.7792076	-0.0033071577	0.05661394	0.39448564	1.2584883	2.7463334	2.5344833	0.36298177	0.47708599	-0.14834165	2.466936	0.0036530209	0.00036944835	0.00017923396	0.00015716016	0.001434625	0.025141027	2.7793548	2.1	1	0.2	-0.00018670105	0.00015906238	5.7332167e-06	3.1201693e-06	8.7286512e-06	-0.19631406	4.3407648e-05	-0.00085435559	-1.2393665e-07	0.22650482	0.40885862	1.2578473	1.6667059	-0.59430856	-0.18906378	0.082221994	0.24382998	1.9567563	1.5453068	1.9581366	0.022290318	1.9903625	1.9926035	1.9925961	1.5697997	1.2356373	-3.1692453e-05	3.2194245e-06	-2.8203508e-05	-1.5515947e-05	-0.00042151983	7.7073654e-05	0.31196556	-4.2084303e-05	-0.33464068	-0.072304126	-1.100205	-0.24618255	-0.28756306	-0.09486121	0.055811481	0.24879604	0.011516217	-0.03019133	0.00035143061	2.1433919e-05	0.001368422	-2.4876569e-06	-1.1390305	3.9187968e-05	-0.072358576	-0.33450704	-0.2459784	-1.1008468	-0.095366535	-0.28533468	-0.24883185	-0.055814314	-0.030189567	-0.0015231237	-2.3718281e-05	-0.00021288047	7.1083182e-07	-0.0017780727	-0.00031665093	-1.1390901	0.00015753868	-5.7760338e-05	-7.5467792e-06	-3.1729194e-06	-2.4163292e-06	0.31182213	-7.3220684e-05	0.00056424683	2	2	0	0	-107.14484	R0:S0:1	1.2356373	-69.56	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	self-energy	boucle.py	2023-10-11@08:35
model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.1718591	0	0	11	0	-1.3940173	-5.4321421	-6.3894939	1.3272189	-5.7062537	-0.99714132	-0.99777457	-5.8289531	0	2.5	11.195	2.0740043e-05	-6.8034519e-06	3.3876806e-05	3.3810556e-06	0.00057688686	-3.9768789e-05	-0.19639813	5.3024558e-05	0.3943984	0.05594371	2.7456763	1.2637053	0.36926195	2.5314128	0.14846242	-0.477004	-0.027690544	2.4670217	-0.00028718453	-0.00039816337	-0.0010375817	-0.00010410867	2.7792035	-0.0033355516	0.05659458	0.39444341	1.2584604	2.74636	2.5344521	0.36291409	0.47707058	-0.1483359	2.4669019	0.003681923	0.00031087233	0.0001596942	0.00015024413	0.0013979372	0.025152851	2.7793327	2.1	1	0.2	-0.00018191457	0.00014994987	1.3060369e-06	6.743733e-06	-2.9114742e-06	-0.19629097	4.6775529e-05	-0.0008119865	-1.4143754e-07	0.22650627	0.40885848	1.2578475	1.666706	-0.59430798	-0.18906325	0.082221779	0.24382914	1.9567629	1.5453039	1.9581372	0.022289215	1.9903634	1.9926045	1.9925979	1.5698	1.2356368	-1.7881005e-05	2.361886e-06	-2.8966401e-05	-3.1552615e-06	-0.00040262749	6.3921658e-05	0.31192573	-3.9617664e-05	-0.33458397	-0.072305468	-1.1002152	-0.24617766	-0.28758415	-0.094854201	0.055805031	0.24879745	0.011530293	-0.030187648	0.00035154791	2.2037329e-05	0.0012826154	-1.7582587e-06	-1.1390334	4.0341775e-05	-0.072345044	-0.33451163	-0.24597541	-1.1008528	-0.095367592	-0.28531473	-0.24881889	-0.055814706	-0.030187069	-0.0015344654	-2.1315763e-05	-0.00018817112	8.7711188e-07	-0.0017329454	-0.00031515703	-1.1390904	0.00015304459	-5.4934142e-05	-2.9728604e-06	-7.4235112e-06	7.8466891e-06	0.31179694	-7.9688869e-05	0.00053804577	2	2	0	0	-107.14271	R0:S0:1	1.2356368	-69.56	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	self-energy	boucle.py	2023-10-11@08:36
2x2_2C_8b_C2v_L	5.1719185	0	0	11	0	-1.3963924	-5.4347026	-6.3946937	1.3214527	-5.7051173	-0.99233289	-0.99329622	-5.8371267	0	2.5	11.2	-0.00023682475	7.7574909e-05	-4.2580136e-05	-0.00010222749	0.00041058383	-3.6191212e-05	-0.19642809	-1.1694413e-08	0.3932018	0.055783262	2.7456122	1.2637511	0.3682489	2.5311956	0.14820568	-0.47680365	-0.028688435	2.4657697	-0.00012539652	-0.00022433316	-0.00070847071	-3.7034169e-05	2.7799485	-0.0034966963	0.056287421	0.39309318	1.2588698	2.7463271	2.5340381	0.36224539	0.47687693	-0.14809437	2.4656407	0.0038802907	0.00033768102	0.00010171685	7.2687107e-05	0.00067651035	0.026096802	2.7800914	2.1	1	0.2	0.00013641812	-0.00013563757	-4.1184563e-05	-2.2473446e-05	2.1038298e-05	-0.19627485	5.0113332e-05	-0.00050990241	3.0805573e-08	0.22652913	0.40885703	1.2578487	1.6667057	-0.5943018	-0.18905916	0.082220084	0.24380356	1.9569685	1.5449953	1.958222	0.022282202	1.990368	1.9926085	1.9926004	1.5699204	1.2356133	0.00020005519	-4.4414427e-05	4.6405116e-05	0.00011141586	-0.00029456143	6.0405443e-05	0.31186574	-2.5170233e-06	-0.33383803	-0.072104173	-1.1006196	-0.24618698	-0.28718907	-0.094747663	0.055820271	0.24876007	0.011954112	-0.030159459	0.00015219462	1.344664e-05	0.00088314116	-1.5540796e-06	-1.1389427	4.0019533e-05	-0.072159871	-0.33366521	-0.24599306	-1.1012464	-0.095232618	-0.28504569	-0.2487864	-0.055829539	-0.03015916	-0.0016206273	-1.6863223e-05	-0.0001234943	-9.706018e-08	-0.0008428343	-0.00032961843	-1.1390047	-0.00011808838	5.6300679e-05	4.518527e-05	2.1122779e-05	-1.9598017e-05	0.31169234	-8.3984498e-05	0.00032974616	2	2	0	0	-107.17856	R0:S0:1	1.2356133	-69.6	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy	boucle.py	2023-10-11@08:43
2x2_2C_8b_C2v_L	5.1718194	0	0	11	0	-1.3892404	-5.4279344	-6.3841773	1.3326063	-5.7041542	-0.99777289	-0.9979239	-5.8136953	0	2.5	11.19	3.7286853e-05	-1.3489629e-05	-8.3578188e-06	6.7584252e-06	0.0004531854	-3.0402479e-05	-0.19563894	2.2951935e-05	0.39493123	0.055783866	2.7457401	1.264968	0.36853238	2.5307029	0.14854907	-0.47699594	-0.026421577	2.4673683	-0.00020715235	-0.00025406143	-0.00090463724	-7.7906661e-05	2.776599	-0.0036046969	0.056429509	0.39492707	1.2592862	2.7465068	2.5340196	0.36161618	0.47709808	-0.14841094	2.4672662	0.0039766468	0.00031675196	0.00014686207	0.00010025047	0.0010448017	0.023957074	2.7767201	2.1	1	0.2	-1.3495158e-05	3.7909301e-06	1.721066e-06	-1.6019088e-05	1.677054e-05	-0.19559116	3.4576329e-05	-0.00063597953	4.3802045e-08	0.22647207	0.40885945	1.257848	1.6667075	-0.59431487	-0.18906352	0.082222043	0.24392407	1.9566774	1.5453257	1.9581945	0.022296665	1.9903612	1.9926309	1.9926269	1.5694538	1.2357374	-3.1495801e-05	8.5431069e-06	1.3003166e-05	-6.7899769e-06	-0.00031602648	4.8679495e-05	0.31127513	-2.0165914e-05	-0.33492397	-0.072394745	-1.1000959	-0.24629915	-0.28736636	-0.094825702	0.055820157	0.24880919	0.010995581	-0.030203894	0.00025141514	1.5982551e-05	0.0011166546	-1.6768613e-06	-1.1393314	4.3198936e-05	-0.072442155	-0.33481269	-0.24607769	-1.1007977	-0.095386557	-0.28489443	-0.24884943	-0.055826625	-0.03020341	-0.0016567499	-1.8629962e-05	-0.00017509458	1.2201398e-06	-0.0012906649	-0.00030050491	-1.1393843	9.0427723e-06	1.2682838e-06	-2.0245199e-06	1.4689362e-05	-1.3613034e-05	0.31120494	-6.0172476e-05	0.00042528881	2	2	0	0	-107.05902	R0:S0:1	1.2357374	-69.52	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy	boucle.py	2023-10-11@08:47
2x2_2C_8b_C2v_L	5.1720336	0	0	11	0	-1.3975341	-5.4375398	-6.3959441	1.3144038	-5.708749	-0.99199215	-0.99392603	-5.8521574	0	2.5	11.205	-3.269493e-05	9.3861545e-06	-5.6020379e-05	-2.1070908e-05	-1.7028231e-05	-5.1570539e-05	-0.19725637	-5.2856567e-05	0.39142351	0.055215767	2.7458677	1.2655437	0.36674179	2.5290198	0.1480006	-0.4761412	-0.029731926	2.4657636	-1.946344e-05	2.3954903e-05	-0.00030818153	-8.8328654e-05	2.782507	-0.0025907303	0.055874864	0.3914767	1.2595984	2.7466401	2.5324864	0.35948921	0.47622624	-0.14784679	2.4656223	0.0029087002	-0.00010917915	0.00011027687	-1.4455279e-05	1.7880011e-05	0.02711307	2.7826752	2.1	1	0.2	0.00018149277	-0.00018194735	-9.9146101e-06	-2.6938906e-05	-2.8651498e-05	-0.19698623	3.8970455e-05	-7.294098e-05	-1.5771919e-07	0.22657617	0.40885431	1.2578504	1.6667047	-0.59428845	-0.18905252	0.082217211	0.24371397	1.9572364	1.5445376	1.9584135	0.022231663	1.9903768	1.9925824	1.9925701	1.5702607	1.235524	2.8062039e-05	-2.9986997e-06	5.8793317e-05	2.3082717e-05	2.1831544e-05	8.204599e-05	0.31256891	4.7064939e-05	-0.33275179	-0.071839615	-1.1011912	-0.24618464	-0.28667311	-0.094420412	0.055746591	0.24848324	0.012390679	-0.030127131	2.1540287e-05	1.2874621e-06	0.00038340018	9.9241346e-07	-1.1386628	2.7611933e-05	-0.071878797	-0.33268496	-0.24595738	-1.1019129	-0.095007361	-0.28407851	-0.24851163	-0.055757607	-0.030124965	-0.0012170334	2.8344875e-06	-0.00013680804	1.4293864e-06	-2.005934e-05	-0.00034492166	-1.1387318	-0.00015879035	6.8067847e-05	1.1661927e-05	2.2813836e-05	2.2994715e-05	0.31228809	-6.8511248e-05	5.8274309e-05	2	2	0	0	-107.24842	R0:S0:1	1.235524	-69.64	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	self-energy	boucle.py	2023-10-11@08:51
2x2_2C_8b_C2v_L	5.1718676	0	0	11	0	-1.3808956	-5.4217168	-6.3801515	1.3361874	-5.6966875	-0.9930715	-0.99402947	-5.7950092	0	2.5	11.185	-3.0957763e-05	1.0082227e-05	5.8702057e-06	-1.2744657e-05	0.00019099929	-2.8738368e-05	-0.19422339	-2.6560916e-05	0.39418457	0.05519872	2.7464767	1.2687022	0.36123039	2.5285349	0.14824749	-0.47652541	-0.026384991	2.4663568	-2.64543e-05	-0.00014002075	-0.00041921015	-4.1045353e-05	2.7729751	-0.0028628539	0.055659193	0.39424229	1.2650485	2.746923	2.5306673	0.35682025	0.47657355	-0.1481498	2.466248	0.0031820721	0.00012629216	9.4671407e-05	-1.6648666e-05	0.00026806605	0.023921713	2.7731027	2.1	1	0.2	-5.557224e-05	4.3243035e-05	-1.0602621e-06	-1.8920278e-06	-1.2011461e-05	-0.19408551	3.0905351e-05	-0.00023762839	-4.0688135e-08	0.22644632	0.40885813	1.2578518	1.66671	-0.59431532	-0.18905535	0.082218919	0.24405137	1.9567808	1.5447211	1.9586728	0.022289172	1.9903664	1.9926922	1.9926855	1.5690268	1.2358802	2.6337687e-05	-5.5610784e-06	-4.4945191e-06	1.4053702e-05	-0.0001361371	4.5934407e-05	0.30993029	1.9416329e-05	-0.33446859	-0.072324612	-1.1008823	-0.24655417	-0.28475849	-0.094486128	0.055853936	0.24874072	0.010982813	-0.03018488	2.9870042e-05	7.7938669e-06	0.00051886495	-5.4420641e-08	-1.1397181	3.4606627e-05	-0.072347867	-0.33443878	-0.24641453	-1.1013159	-0.094843322	-0.28318135	-0.24875572	-0.05586172	-0.030183881	-0.0013256249	-6.7700106e-06	-0.00011584361	1.6706655e-06	-0.00033034316	-0.00029919369	-1.1397713	4.6670851e-05	-1.6157616e-05	2.5167331e-07	1.8684619e-06	9.9919761e-06	0.30977992	-5.351746e-05	0.00015610034	2	2	0	0	-106.92871	R0:S0:1	1.2358802	-69.48	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	self-energy	boucle.py	2023-10-11@08:59
2x2_2C_8b_C2v_L	5.1720321	0	0	11	0	-1.3922775	-5.4349991	-6.4023681	1.3093082	-5.7112439	-0.99145542	-0.99291916	-5.8661727	0	2.5	11.21	-0.00014177675	4.3434314e-05	5.6036344e-06	-5.7146521e-05	0.00050586289	-5.8037274e-05	-0.19790281	-5.1021767e-05	0.38725637	0.054197506	2.7449646	1.2608426	0.37081296	2.5316291	0.14783709	-0.47622109	-0.030002351	2.4654909	-0.00015884796	-0.0003907515	-0.0011773948	-0.00017357021	2.7848071	-0.003345	0.054715578	0.38713737	1.2555263	2.7457503	2.5347499	0.36424912	0.47634928	-0.14773933	2.4653549	0.0037045746	0.00025795056	0.00023717841	5.3796223e-05	0.00088860491	0.027350856	2.7849716	2.1	1	0.2	-7.0656577e-05	5.4434968e-05	-2.0754107e-05	-7.6243321e-06	-3.6995935e-05	-0.19769536	4.5922522e-05	-0.000712045	-1.5660109e-07	0.2265971	0.40885409	1.2578491	1.6667032	-0.59428602	-0.18905491	0.08221806	0.24365003	1.957888	1.5441449	1.9580774	0.022236909	1.9903747	1.9925546	1.9925441	1.5705621	1.235454	0.00012051669	-2.1844666e-05	-9.8416131e-07	6.2623366e-05	-0.00035281576	9.4699916e-05	0.3131417	4.2941951e-05	-0.33021991	-0.071240772	-1.1017038	-0.24615971	-0.28805655	-0.094747479	0.055774617	0.24851588	0.012513131	-0.030127671	0.00019108951	2.2328048e-05	0.0014723715	3.2364703e-07	-1.1383947	4.0481429e-05	-0.071299122	-0.33003635	-0.24594917	-1.1023897	-0.095280472	-0.28571168	-0.24857657	-0.055771171	-0.030125697	-0.0015464822	-1.6545413e-05	-0.00029208754	2.6137668e-06	-0.0011095946	-0.0003437315	-1.1384644	5.8206627e-05	-1.7545091e-05	2.2738665e-05	6.8361265e-06	3.0202425e-05	0.31291627	-7.8870956e-05	0.00046813631	2	2	0	0	-107.2971	R0:S0:1	1.235454	-69.68	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	self-energy	boucle.py	2023-10-11@09:01
2x2_2C_8b_C2v_L	5.1720507	0	0	11	0	-1.4023714	-5.4442347	-6.4099754	1.3050686	-5.7152594	-0.99248619	-0.99418476	-5.8827642	0	2.5	11.215	5.7913402e-05	-1.7841671e-05	2.324911e-05	2.6958407e-05	-0.0006551664	-7.3864409e-05	-0.19891089	-3.6564996e-05	0.38889811	0.054484301	2.7460615	1.2667585	0.36578307	2.5290063	0.1479933	-0.47652521	-0.033786376	2.4656339	0.00025154552	0.00041666686	0.0010791004	0.00010715202	2.7877508	-0.0055046947	0.055192213	0.38881802	1.2600822	2.746997	2.5329247	0.3575576	0.4766479	-0.14780121	2.4654503	0.0060842377	-0.00046782486	-0.00013489843	-0.00011955248	-0.001273941	0.03086106	2.7879563	2.1	1	0.2	-4.5302973e-05	5.7340362e-05	1.1055306e-05	1.6907166e-05	-1.9583501e-05	-0.19865313	6.4978944e-05	0.00084711092	-1.1283808e-07	0.22662947	0.40885403	1.2578475	1.6667015	-0.59428019	-0.1890571	0.082218755	0.24353128	1.9576526	1.5439299	1.958585	0.02224002	1.9903685	1.9925173	1.9925039	1.5709443	1.2353256	-4.8824723e-05	9.8365668e-06	-2.8875191e-05	-2.9943377e-05	0.00046445699	0.00012018408	0.31404483	3.0291239e-05	-0.33118062	-0.071412534	-1.1019273	-0.2461999	-0.28618393	-0.09413381	0.055748564	0.2485734	0.014092648	-0.03012261	-0.00030985404	-2.3543466e-05	-0.0013510797	1.2833136e-06	-1.1380484	6.5364604e-05	-0.071478094	-0.3309964	-0.24593934	-1.1027684	-0.094798874	-0.28324464	-0.24861571	-0.05576311	-0.030120105	-0.0025417815	2.5712461e-05	0.00016212537	-1.1798673e-06	0.0015974079	-0.0003910669	-1.1381345	4.0808797e-05	-2.7451505e-05	-1.2092424e-05	-1.5562123e-05	1.6921312e-05	0.31376174	-0.00010995929	-0.00054957687	2	2	0	0	-107.41956	R0:S0:1	1.2353256	-69.72	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	self-energy	boucle.py	2023-10-11@09:11
2x2_2C_8b_C2v_L	5.1717956	0	0	11	0	-1.3814604	-5.4206173	-6.3749824	1.3428146	-5.6948143	-0.99399051	-0.99478858	-5.7814413	0	2.5	11.18	-3.2910074e-05	9.3414132e-06	1.5139819e-05	-1.7102196e-05	1.596465e-05	-2.7275659e-05	-0.19358811	4.6803965e-05	0.39668563	0.055973252	2.746279	1.2669146	0.36373303	2.5299216	0.14854898	-0.47690749	-0.026900841	2.4667848	-3.1294369e-05	-1.8892836e-05	0.00016088465	4.1617564e-05	2.7707701	-0.0052982318	0.056306754	0.39662905	1.263671	2.7467455	2.5318302	0.35974044	0.4769848	-0.14846243	2.466668	0.0058766088	3.6871724e-06	-3.8142082e-05	2.1583461e-05	0.00015946605	0.024355349	2.7708999	2.1	1	0.2	-5.3053943e-05	4.8213671e-05	-5.6139923e-06	1.203598e-05	6.3642692e-06	-0.19347988	3.106475e-05	-5.2731925e-06	-2.4923446e-08	0.22641051	0.40885991	1.2578511	1.666711	-0.59432433	-0.18905889	0.08222049	0.24412206	1.9563928	1.5453876	1.9584267	0.022312567	1.9903589	1.9927142	1.9927093	1.5687371	1.2359519	2.8083749e-05	-5.9622019e-06	-1.5628948e-05	1.882181e-05	-1.2472322e-05	4.5288868e-05	0.3093905	-3.9736137e-05	-0.33601112	-0.07268863	-1.100058	-0.2464724	-0.28570334	-0.094810353	0.055866278	0.2488552	0.011191523	-0.030207719	4.0560745e-05	-2.7020134e-07	-0.000198896	-6.9966187e-07	-1.139955	6.4200193e-05	-0.072722473	-0.33590924	-0.24634385	-1.1004706	-0.095134875	-0.28427751	-0.24888688	-0.055869333	-0.030206729	-0.0024466763	-1.1601919e-06	4.8997642e-05	-3.7019893e-07	-0.00019751483	-0.00030448618	-1.140009	4.6220245e-05	-1.8265341e-05	4.0283772e-06	-1.1404602e-05	-8.478531e-07	0.3092765	-5.23877e-05	1.8641184e-06	2	2	0	0	-106.86858	R0:S0:1	1.2359519	-69.44	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	self-energy	boucle.py	2023-10-11@09:11
