model	E_kin	D	M	U	Up	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	ed	ep	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tbA1_down_1	tbA1_up_1	tbA2_down_1	tbA2_up_1	tbA3_down_1	tbA3_up_1	tbA4_down_1	tbA4_up_1	tbA5_down_1	tbA5_up_1	tbA6_down_1	tbA6_up_1	tbA7_down_1	tbA7_up_1	tbA8_down_1	tbA8_up_1	tbB1_down_1	tbB1_up_1	tbB2_down_1	tbB2_up_1	tbB3_down_1	tbB3_up_1	tbB4_down_1	tbB4_up_1	tbB5_down_1	tbB5_up_1	tbB6_down_1	tbB6_up_1	tbB7_down_1	tbB7_up_1	tbB8_down_1	tbB8_up_1	tpd	tpp	tppp	trb1_1	trb2_1	trb3_1	trb4_1	trb5_1	trb6_1	trb7_1	trb8_1	ave_D	ave_M	ave_ed	ave_ep	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tbA1_down_1	ave_tbA1_up_1	ave_tbA2_down_1	ave_tbA2_up_1	ave_tbA3_down_1	ave_tbA3_up_1	ave_tbA4_down_1	ave_tbA4_up_1	ave_tbA5_down_1	ave_tbA5_up_1	ave_tbA6_down_1	ave_tbA6_up_1	ave_tbA7_down_1	ave_tbA7_up_1	ave_tbA8_down_1	ave_tbA8_up_1	ave_tbB1_down_1	ave_tbB1_up_1	ave_tbB2_down_1	ave_tbB2_up_1	ave_tbB3_down_1	ave_tbB3_up_1	ave_tbB4_down_1	ave_tbB4_up_1	ave_tbB5_down_1	ave_tbB5_up_1	ave_tbB6_down_1	ave_tbB6_up_1	ave_tbB7_down_1	ave_tbB7_up_1	ave_tbB8_down_1	ave_tbB8_up_1	ave_trb1_1	ave_trb2_1	ave_trb3_1	ave_trb4_1	ave_trb5_1	ave_trb6_1	ave_trb7_1	ave_trb8_1	ave_ep_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.2124488	0	0	8	0	-0.080619866	-2.6152508	-4.1187132	0.22442452	-3.3603033	-0.031694055	-0.031690794	-3.3595788	0	2.5	10.6372	-6.1492021e-06	3.6666153e-06	1.4876146e-05	5.8335494e-06	-2.168498e-06	-1.2463195e-06	-0.15536029	-4.2486017e-06	-0.19914052	0.19921612	0.98093791	-0.97872581	2.1898684	2.1913535	0.29884525	-0.29889618	-0.13189306	2.1034922	4.3880493e-05	-3.8920565e-05	2.2864147e-05	2.3051602e-05	2.0993024	-0.027047277	-0.19931762	0.19923478	-0.97698169	0.97919761	2.1924964	2.1910123	0.29896439	-0.29890405	2.0995198	0.027046817	1.6505724e-05	-1.7965827e-05	-3.872741e-05	-4.8231793e-05	0.13187512	2.103262	2.1	1	0.2	5.4009227e-06	3.2202911e-05	2.1735974e-06	-1.2349284e-05	-1.0828442e-05	-0.15536645	1.6791052e-06	2.1968841e-05	-7.4599863e-08	-7.4518035e-06	0.52837423	1.2449798	1.7733541	-0.53799193	-0.26649208	0.10654264	0.67128227	1.296223	1.9938438	1.3430256	0.29906768	1.8579711	1.6549441	1.6549597	1.8579774	1.6654488	1.1351948e-05	-2.9824497e-06	-2.2520524e-05	-2.9524503e-06	2.7763572e-06	9.3256558e-06	2.1841574	6.7404373e-06	0.5078345	-0.5078763	-0.014407721	0.013377572	-0.75330259	-0.75341421	-0.28728149	0.28735474	0.015423266	-0.24598192	-0.00012455745	0.00011496191	-5.6815654e-05	-6.4424302e-05	-0.24548252	0.0031701882	0.50788331	-0.50783631	0.012542385	-0.013572739	-0.75345429	-0.75335376	-0.28742413	0.28733704	-0.24549821	-0.0031552307	-5.7835693e-05	4.9632776e-05	0.00010959054	0.00012573132	-0.01541993	-0.24592907	-5.1854193e-05	-3.4673849e-05	1.8967713e-08	9.8159455e-06	4.3267906e-05	2.1842034	-4.0404307e-06	-4.4914562e-05	2	2	0	0	-82.908	R0:S0:1	1.6654488	-65.0976	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@08:56
2x2_2C_8b_C2v_L	5.1957914	0	0	8	0	-0.080397468	-2.6100142	-4.1138006	0.22464933	-3.3573949	-0.031484572	-0.031473519	-3.3570814	0	2.5	10.6272	1.3167746e-06	2.444933e-06	8.1452718e-06	1.0314134e-06	-1.2528086e-06	1.0125845e-06	-0.15528822	1.1796824e-06	-0.19874804	0.19873257	0.97902602	-0.97844155	2.1909173	2.191324	0.29940376	-0.29939965	-0.13229891	2.1032407	-1.5008385e-06	-3.5847931e-05	6.4293344e-06	-3.4472677e-05	2.0991301	-0.02606309	-0.19876275	0.19877465	-0.97784128	0.97842052	2.1917254	2.1913153	0.29943454	-0.29943136	2.0992345	0.02605183	-5.2552852e-05	7.4861382e-06	-2.2524446e-05	1.5582869e-05	0.13227747	2.1031243	2.1	1	0.2	3.2654062e-06	6.7141887e-06	-9.3750276e-07	2.839158e-07	-8.2215631e-06	-0.15529474	2.3453225e-06	-2.497364e-06	4.6554988e-08	-2.3290898e-06	0.52774489	1.2446303	1.7723752	-0.53990244	-0.26720379	0.10676842	0.66958194	1.3000779	1.9937292	1.3416243	0.29872122	1.856224	1.6506735	1.6506963	1.8562312	1.6636905	-2.4754157e-06	-2.6565858e-06	-1.0421482e-05	-6.83109e-07	2.6581088e-06	-1.8492355e-05	2.1929046	-5.7017142e-06	0.50605669	-0.50606432	-0.013987179	0.01371418	-0.75480247	-0.75482868	-0.28620089	0.28622035	0.015660832	-0.24888535	7.2646807e-06	0.00010799824	-1.4999983e-05	9.9083107e-05	-0.24840072	0.0030911958	0.50605736	-0.50604989	0.013424375	-0.013697071	-0.754844	-0.75481854	-0.28626378	0.28623775	-0.24841173	-0.003075579	0.00014184931	-2.5468944e-05	6.6063695e-05	-4.8777e-05	-0.015647749	-0.24885511	-3.1155406e-05	-6.7011936e-06	1.4153537e-06	3.2656274e-06	1.3757084e-05	2.192964	-1.9719962e-05	3.0859623e-06	2	2	0	0	-82.812781	R0:S0:1	1.6636905	-65.0176	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:05
2x2_2C_8b_C2v_L	5.1790889	0	0	8	0	-0.080350337	-2.6059025	-4.1094458	0.2250169	-3.3552677	-0.031184309	-0.031186696	-3.3551895	0	2.5	10.6172	-8.3326212e-08	4.7367905e-05	1.1615335e-05	2.9220928e-05	-4.6957448e-06	2.4031376e-06	-0.15525673	-2.3416639e-05	-0.19834372	0.19834379	0.9795594	-0.9788098	2.1906458	2.1911725	0.29991497	-0.29992225	-0.13104646	2.1031771	0.00014411668	-0.00014074833	2.1427429e-05	3.2989182e-05	2.0992464	-0.027446921	-0.19843436	0.19844454	-0.97667669	0.97744285	2.1925896	2.1920629	0.30001742	-0.30004213	2.0992764	0.027460128	-9.9125893e-05	0.00012064697	-8.3834401e-06	-1.7489013e-05	0.13105845	2.1031522	2.1	1	0.2	-3.0502976e-05	1.827229e-05	-1.613211e-05	5.8877357e-06	-2.2855641e-05	-0.15524992	-1.3947559e-06	2.8126461e-05	-6.6183992e-08	-2.1358389e-06	0.52711214	1.2442789	1.7713911	-0.54181793	-0.26791588	0.10699605	0.66782982	1.3043763	1.9936099	1.3402595	0.29793729	1.8544451	1.646312	1.64628	1.8544523	1.6618781	4.0713311e-07	-4.7100378e-05	-6.8168745e-06	-2.2226933e-05	-6.3350149e-06	-2.8574636e-05	2.2019252	8.2378535e-05	0.50434015	-0.50436468	-0.014636109	0.014279024	-0.75621969	-0.75623514	-0.28485813	0.28489084	0.015687143	-0.25187969	-0.00042604891	0.0003969537	-5.9659803e-05	-9.1704291e-05	-0.25140639	0.0032751425	0.50432912	-0.50431749	0.013253559	-0.013610928	-0.75630461	-0.7562572	-0.28501047	0.28502914	-0.25140391	-0.003300228	0.00029852598	-0.0003265965	8.5009926e-06	5.081966e-05	-0.015702242	-0.25184755	0.00028955573	-2.6484111e-05	3.257326e-05	-8.6384474e-06	3.5130225e-05	2.2018458	-6.0003641e-06	-6.4756084e-05	2	2	0	0	-82.724255	R0:S0:1	1.6618781	-64.9376	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	3	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:23
2x2_2C_8b_C2v_L	5.1626952	0	0	8	0	-0.080530213	-2.6007648	-4.1062908	0.22545957	-3.3538196	-0.030857945	-0.030852892	-3.3537221	0	2.5	10.6072	2.9061833e-06	2.6130524e-06	1.4139985e-05	2.0268833e-06	-3.1164522e-06	-3.1867123e-06	-0.15526441	-1.4422469e-06	-0.19809759	0.19815088	0.97894081	-0.97719299	2.1912448	2.1924271	0.3005374	-0.30056456	-0.13421753	2.1032578	-3.8891991e-06	6.1773612e-06	-3.3978955e-05	-2.3457046e-05	2.0990992	-0.027053334	-0.19820685	0.19814803	-0.97631515	0.97805158	2.1930026	2.1918238	0.30059698	-0.30056934	2.099139	0.027049818	-1.3420918e-05	2.2209347e-05	5.1538657e-07	-1.0674377e-05	0.13421966	2.1032052	2.1	1	0.2	7.0538215e-06	2.8706345e-05	-1.0870855e-06	-8.8812256e-06	-3.0592484e-06	-0.15526849	1.9549441e-07	-4.4928195e-07	4.0589373e-08	-7.0081949e-06	0.52648992	1.243933	1.7704229	-0.54369661	-0.26861506	0.10721978	0.66605524	1.3089522	1.9934882	1.3390356	0.29678068	1.8526747	1.6419002	1.6419049	1.852707	1.6600417	-5.2573345e-06	-2.2475945e-06	-1.9826647e-05	-1.9124474e-06	1.1726619e-06	2.7278497e-05	2.2108078	-6.2246452e-06	0.50273159	-0.50277811	-0.01480662	0.013996775	-0.75755909	-0.75765618	-0.28352321	0.28356447	0.016259697	-0.25489822	3.3442927e-06	-2.746574e-05	9.531612e-05	7.0446826e-05	-0.25433648	0.0032838277	0.50278495	-0.50273217	0.013571109	-0.014380951	-0.75767612	-0.7575871	-0.28359685	0.28355115	-0.25438098	-0.0032722333	4.0736627e-05	-6.4105451e-05	2.9881416e-06	2.79181e-05	-0.016267921	-0.25482859	-6.7454143e-05	-3.1462836e-05	2.5350217e-06	6.6981966e-06	1.0627885e-05	2.2108229	-1.8858449e-06	-2.8695919e-06	2	2	0	0	-82.638776	R0:S0:1	1.6600417	-64.8576	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:34
2x2_2C_8b_C2v_L	5.1462937	0	0	8	0	-0.08078547	-2.5956352	-4.1034369	0.22617533	-3.3524861	-0.030649058	-0.030644086	-3.3524456	0	2.5	10.5972	-1.7101437e-06	-1.3189243e-05	5.5049852e-06	-4.2108191e-06	1.6698639e-05	2.8181569e-07	-0.15538462	4.775768e-06	-0.19799509	0.19799884	0.97757965	-0.97735393	2.1924466	2.1925983	0.30119286	-0.30118519	-0.13040165	2.1034212	4.4425043e-05	-7.6128419e-05	8.714593e-05	5.5317823e-05	2.099542	-0.027638188	-0.1980293	0.19801615	-0.97667575	0.97690029	2.1930412	2.1929002	0.30121707	-0.30122894	2.0995558	0.027635788	-6.1431011e-05	3.7014286e-05	4.7121226e-05	8.2629212e-05	0.13039679	2.1034004	2.1	1	0.2	-2.3942764e-05	1.5545015e-05	7.5482579e-06	-4.6995757e-06	-4.8816491e-06	-0.15538947	-2.8617171e-07	-1.2891805e-05	-5.3769477e-08	-6.0567698e-07	0.52586685	1.2435856	1.7694525	-0.54557456	-0.26931509	0.10744419	0.66422852	1.3139188	1.9933636	1.3378433	0.2951897	1.8508699	1.6373238	1.6373351	1.8508743	1.6581499	3.0032295e-06	1.3952839e-05	-7.1527393e-06	4.2383194e-06	-3.4264526e-05	-4.8835243e-06	2.2200495	1.0265677e-05	0.50127299	-0.50128087	-0.014657769	0.014551578	-0.75894302	-0.75895728	-0.28200939	0.28199267	0.015996619	-0.25797355	-0.0001274803	0.00022022523	-0.00025396473	-0.00016684964	-0.25749278	0.003392234	0.50127484	-0.50125505	0.01422121	-0.01432741	-0.75896747	-0.7589628	-0.28204242	0.28205701	-0.25749355	-0.0033866583	0.00018883356	-0.00010299627	-0.00014205789	-0.00023436037	-0.015988259	-0.25795803	0.00022503392	-1.7790996e-05	-1.0868126e-05	1.8663744e-06	-8.7948008e-07	2.2200793	1.0155361e-06	2.3673669e-05	2	2	0	0	-82.555996	R0:S0:1	1.6581499	-64.7776	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@09:47
2x2_2C_8b_C2v_L	5.1302101	0	0	8	0	-0.081062277	-2.5907841	-4.1008683	0.22709831	-3.3513553	-0.030579173	-0.030571693	-3.3515329	0	2.5	10.5872	-6.3515512e-06	-1.3454153e-05	-1.6361086e-05	-4.075897e-06	-2.9136072e-06	1.0438689e-06	-0.15559816	4.362069e-06	-0.19794681	0.19794891	0.97679594	-0.9769925	2.1933645	2.1932294	0.30186269	-0.30185626	-0.13156181	2.1037251	-4.2975282e-05	2.8184346e-05	-1.2297342e-05	-2.5786125e-05	2.0998208	-0.026904807	-0.19796217	0.19796405	-0.97652595	0.97633808	2.1935332	2.1936691	0.30186992	-0.30188688	2.0997713	0.026897297	1.2804941e-05	-2.9671695e-05	-1.6651906e-05	-1.1658989e-06	0.13156324	2.1037647	2.1	1	0.2	1.1394253e-05	-3.4536094e-05	5.4839421e-06	8.6214078e-06	4.743039e-06	-0.15560422	3.3333465e-07	-6.9998097e-06	5.0120393e-08	1.1638496e-07	0.52525499	1.2432437	1.7684987	-0.54741412	-0.27000251	0.10766474	0.66237108	1.3190768	1.9932374	1.3367107	0.2933141	1.8490202	1.6326387	1.6326522	1.8490309	1.6562252	1.1413685e-05	1.5199298e-05	2.0933673e-05	2.1525946e-06	1.3204684e-05	1.5724156e-06	2.2294844	-1.6431407e-05	0.49987739	-0.49988421	-0.014760735	0.014852651	-0.76024718	-0.76023533	-0.28040826	0.2803938	0.01633482	-0.26115143	0.00012229852	-7.8532103e-05	3.699044e-05	8.1515967e-05	-0.26065031	0.0033439027	0.49987583	-0.49987288	0.014627035	-0.014535233	-0.76024964	-0.76025266	-0.28041468	0.28044454	-0.26065466	-0.0033346799	-4.3406123e-05	8.8189511e-05	4.7948987e-05	5.5369703e-07	-0.016327494	-0.26113426	-0.00010664921	3.9289851e-05	-7.1232699e-06	-4.7911147e-06	-1.326673e-05	2.2295185	-1.3474773e-06	1.8981419e-05	2	2	0	0	-82.476715	R0:S0:1	1.6562252	-64.6976	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:00
2x2_2C_8b_C2v_L	5.1143294	0	0	8	0	-0.081281331	-2.5864506	-4.0984373	0.22824345	-3.3507357	-0.030703771	-0.03070332	-3.3507149	0	2.5	10.5772	-5.4776121e-08	2.6083296e-05	-1.2023654e-05	4.6779209e-06	4.4017122e-06	5.4311139e-07	-0.15592518	7.2858317e-06	-0.19792068	0.19790518	0.97681867	-0.97659725	2.1938394	2.1940278	0.30253707	-0.30254614	-0.12910056	2.1042365	3.33635e-05	-1.104799e-05	1.8717462e-05	3.795906e-05	2.1004294	-0.027069934	-0.19797061	0.19798139	-0.97572603	0.97595187	2.1945773	2.1944027	0.30256971	-0.30255997	2.1004421	0.027066437	-4.6801723e-05	6.5972234e-05	6.76681e-05	5.1092161e-05	0.12909691	2.1042195	2.1	1	0.2	-1.3153086e-05	-2.7913221e-05	-1.9613444e-05	1.0048002e-05	4.0738083e-06	-0.15592737	1.3962321e-07	-1.581191e-05	1.3913352e-07	-2.9548422e-06	0.52465002	1.242905	1.767555	-0.54922922	-0.27068134	0.10788395	0.66048531	1.324305	1.9931106	1.3356242	0.29127199	1.8471475	1.6278445	1.6278548	1.8471606	1.6542699	-1.1428876e-08	-2.7848701e-05	1.7532458e-05	-7.9165016e-06	-5.8651813e-06	4.6599726e-06	2.2391295	-2.3280937e-05	0.49854309	-0.49854185	-0.015210508	0.015113228	-0.76146023	-0.76149153	-0.27875763	0.27878095	0.016223504	-0.26440138	-9.9731415e-05	4.1153542e-05	-5.0068393e-05	-0.00011054061	-0.26389962	0.0034040383	0.49855961	-0.49854914	0.014691769	-0.014789199	-0.76150738	-0.76149031	-0.27879702	0.27876187	-0.26391297	-0.0033979361	0.00013396812	-0.00019416024	-0.00020446636	-0.00015020365	-0.016217353	-0.26437084	0.00012044505	3.0250928e-05	2.5638221e-05	-6.9261113e-06	-2.4910607e-05	2.2391537	7.3135118e-06	3.2590171e-05	2	2	0	0	-82.40134	R0:S0:1	1.6542699	-64.6176	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:14
2x2_2C_8b_C2v_L	5.0985509	0	0	8	0	-0.081414781	-2.5822171	-4.0960048	0.22956259	-3.3503254	-0.031039274	-0.031033015	-3.3498969	0	2.5	10.5672	-2.7928022e-06	3.2207948e-05	1.3840748e-05	1.1301283e-05	-1.1036545e-05	2.8228005e-07	-0.15633806	-5.0133306e-07	-0.19794412	0.19796938	0.97644164	-0.97534085	2.1946193	2.19538	0.30324059	-0.30324337	-0.13046543	2.104899	-4.2578012e-05	2.8713262e-05	-1.2626657e-05	-2.8575806e-05	2.1008885	-0.027394807	-0.19797058	0.19794936	-0.97533154	0.97643004	2.1953861	2.194626	0.30324874	-0.30324639	2.1010314	0.027386418	-2.1287278e-06	-1.3302129e-05	6.5810849e-06	2.1493129e-05	0.13045347	2.1047546	2.1	1	0.2	8.2085772e-06	1.6323074e-05	-1.6360091e-05	-2.8719011e-06	-5.8352699e-06	-0.15634128	2.5233679e-06	4.8984679e-06	-1.9592362e-07	-5.5535512e-06	0.5240485	1.2425675	1.766616	-0.5510315	-0.27135606	0.10810229	0.65858151	1.3295327	1.9929836	1.3345697	0.28914397	1.8452521	1.6229579	1.6229685	1.8452659	1.6522946	5.0284842e-06	-3.4170464e-05	-1.8671218e-05	-9.6489337e-06	1.7269816e-05	-5.8946129e-06	2.248881	7.0872664e-06	0.49723936	-0.49728431	-0.015467676	0.014957848	-0.76265548	-0.76272058	-0.27711687	0.27713214	0.01659045	-0.26769629	0.00013222663	-8.9542678e-05	3.4067274e-05	7.8675908e-05	-0.26717464	0.0034901222	0.49728014	-0.49723907	0.014953028	-0.015462599	-0.76272378	-0.76265351	-0.27713771	0.277125	-0.26721105	-0.0034765645	9.6043746e-06	3.7477819e-05	-1.6812914e-05	-5.9415165e-05	-0.016592316	-0.26765748	-7.4844144e-05	-1.6882665e-05	2.36401e-05	5.8514125e-06	3.5595039e-05	2.2489087	-2.3738635e-05	-1.2036524e-05	2	2	0	0	-82.327815	R0:S0:1	1.6522946	-64.5376	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:27
2x2_2C_8b_C2v_L	5.0829021	0	0	8	0	-0.081400011	-2.5780506	-4.0937609	0.23103159	-3.3495212	-0.031579695	-0.031573578	-3.3492782	0	2.5	10.5572	-1.4104678e-06	-2.4502615e-05	1.3402498e-05	-8.7166215e-06	-7.0668822e-06	-6.3234628e-07	-0.15682218	-1.224945e-06	-0.19793779	0.19797112	0.97633197	-0.97527439	2.195317	2.1960338	0.30393547	-0.3039495	-0.12973307	2.1055435	2.7981149e-05	-4.8103016e-05	4.6122839e-05	1.9011053e-05	2.1016368	-0.027560148	-0.1979976	0.19797054	-0.97465638	0.97570441	2.1964563	2.1957283	0.30398186	-0.3039718	2.1017231	0.02755666	-3.3954002e-05	1.0208352e-05	9.46937e-06	3.3617557e-05	0.12972613	2.1054612	2.1	1	0.2	-1.1799289e-05	2.6921201e-05	1.1454703e-05	-8.6826494e-06	-7.0474213e-06	-0.15682653	2.6609638e-07	1.0544811e-05	-1.095641e-07	-5.234516e-06	0.52345167	1.2422318	1.7656835	-0.55281726	-0.27202621	0.10831773	0.65666782	1.3345414	1.9928571	1.3335783	0.28711085	1.8433306	1.6179944	1.6180033	1.8433481	1.6503078	2.5444268e-06	2.6121972e-05	-1.8940135e-05	6.6881852e-06	1.1738131e-05	6.306268e-06	2.2586828	2.00416e-05	0.49598392	-0.49602627	-0.015866197	0.015376715	-0.76379452	-0.763852	-0.27551993	0.27554981	0.016699605	-0.27104738	-7.2572554e-05	0.00014205379	-0.00013722595	-6.5269023e-05	-0.27051579	0.0035514934	0.49601128	-0.49598048	0.015073061	-0.015562314	-0.7638752	-0.76380426	-0.27558855	0.27557295	-0.27054872	-0.0035432994	0.00010543893	-3.281088e-05	-2.6466681e-05	-9.4166366e-05	-0.016698479	-0.27100514	0.00010813026	-2.8551563e-05	-1.6789535e-05	7.5630267e-06	1.4473601e-05	2.2587068	8.1257114e-07	-1.9998798e-05	2	2	0	0	-82.255541	R0:S0:1	1.6503078	-64.4576	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:38
2x2_2C_8b_C2v_L	5.0671787	0	0	8	0	-0.081204788	-2.5738802	-4.0908118	0.23253298	-3.3487013	-0.032290868	-0.032296871	-3.3486152	0	2.5	10.5472	-4.1840445e-07	1.3334195e-05	-1.0114711e-05	5.3531524e-06	-2.4261464e-06	-9.8919477e-10	-0.15736332	5.0475673e-06	-0.1978793	0.19791418	0.97613404	-0.97509394	2.1959277	2.1966407	0.30461764	-0.30462935	-0.13108333	2.1062726	-2.4196805e-05	1.5439221e-05	-7.0173568e-06	-1.0250612e-05	2.1023281	-0.027236434	-0.19796507	0.19793012	-0.97404031	0.97508928	2.1973306	2.1966148	0.30465972	-0.30464983	2.1023616	0.027235849	1.5526918e-05	-2.2234381e-05	-1.0549536e-05	-3.0133997e-06	0.13108826	2.1062344	2.1	1	0.2	1.2584981e-05	-1.6139632e-05	-6.0077151e-06	2.3278437e-06	2.8344133e-06	-0.1573603	2.1518423e-06	5.8954527e-06	5.6260759e-08	-5.2063458e-06	0.52285094	1.2418942	1.7647452	-0.55461244	-0.27269688	0.10853487	0.65475513	1.33935	1.9927307	1.332544	0.28523569	1.8413924	1.6129784	1.612974	1.8414148	1.6483212	8.1194814e-07	-1.3923136e-05	1.228776e-05	-4.1609739e-06	3.1397647e-06	5.1870596e-06	2.2684999	-2.1428997e-05	0.49467435	-0.49471476	-0.016228757	0.015743066	-0.76492198	-0.76498437	-0.27402553	0.27404556	0.017072509	-0.27442871	6.8585224e-05	-5.0291384e-05	1.483421e-05	3.5812482e-05	-0.27388159	0.0035504455	0.49471456	-0.49467689	0.01523019	-0.015715992	-0.76501275	-0.76494607	-0.27407853	0.27406406	-0.27391246	-0.0035462258	-4.4895869e-05	6.4052054e-05	3.1263042e-05	1.2307993e-05	-0.017083647	-0.27437842	-0.00011476019	1.7301255e-05	9.3270611e-06	-3.8555894e-06	-5.0211207e-06	2.2684884	-1.5546037e-05	-1.1707709e-05	2	2	0	0	-82.182374	R0:S0:1	1.6483212	-64.3776	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D/M	boucle.py	2024-04-30@10:51
